x,y,Spec_id.x,Study_id,Spec_Latin_GBIF,Spec_Latin_GenDivRange,Genus_GBIF,Family_GBIF,Order_GBIF,Spec_common_EOL,Spec_id.y,Pop_id,Geog_1,Geog_2,Latitude,Longitude,N,A,A_mean,A_tot,A_eff,A_private,N_genot,Ar,Ho,He,GD_Nei,D_clonal,F_is,F_is_sig,Ploidy,elev,Ice,Tectonic,SeaLevel,Topography,History
-88.03924504,44.48247224,ACFU,ACFU-1,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-1-1,United States of America,Fox River,44.482756,-88.039839,70,4.83,NA,NA,NA,NA,NA,NA,0.52,0.517,NA,NA,NA,NA,diploid,186,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-86.1761274,42.64329643,ACFU,ACFU-1,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-1-2,United States of America,Kalamazoo River,42.644056,-86.174149,17,3.58,NA,NA,NA,NA,NA,NA,0.508,0.499,NA,NA,NA,NA,diploid,189,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-86.33120935,44.24770427,ACFU,ACFU-1,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-1-3,United States of America,Manistee River,44.247718,-86.331225,106,4.58,NA,NA,NA,NA,NA,NA,0.509,0.532,NA,NA,NA,NA,diploid,182,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-87.64237202,45.10608873,ACFU,ACFU-1,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-1-4,United States of America,Menominee River,45.105596,-87.641922,64,4.33,NA,NA,NA,NA,NA,NA,0.472,0.482,NA,NA,NA,NA,diploid,186,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-86.18939407,43.26222802,ACFU,ACFU-1,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-1-5,United States of America,Muskegon River,43.2623,-86.189381,58,4.42,NA,NA,NA,NA,NA,NA,0.569,0.549,NA,NA,NA,NA,diploid,193,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-91.3433591,44.93917594,ACFU,ACFU-2,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-2-3,United States of America,Chippewa  River,44.939711,-91.34305,49,4.222,NA,NA,NA,NA,NA,NA,0.446,0.439,NA,NA,NA,NA,diploid,278,Unglaciated,Stable,Unflooded,Highland,Stable Unglaciated Highland 
-90.71747988,46.63086905,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-1,United States of America,Bad River,46.63087,-90.7175,39,2.941,NA,NA,NA,NA,NA,NA,0.649,0.649,NA,NA,0,NA,diploid,185,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-88.53825575,47.12033147,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-2,United States of America,Sturgeon River,47.12061,-88.5381,30,3.134,NA,NA,NA,NA,NA,NA,0.544,0.613,NA,NA,0.112561,NA,diploid,225,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-87.76785495,45.35083884,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-3,United States of America,Menominee River,45.35058,-87.7681,47,2.907,NA,NA,NA,NA,NA,NA,0.549,0.587,NA,NA,0.064736,NA,diploid,213,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-88.07702122,45.22846383,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-4,United States of America,Peshtigo River,45.22872,-88.077,54,3.01,NA,NA,NA,NA,NA,NA,0.642,0.621,NA,NA,-0.03382,NA,diploid,225,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-88.06334211,44.85615684,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-5,United States of America,Oconto River,44.85587,-88.063,18,2.907,NA,NA,NA,NA,NA,NA,0.643,0.607,NA,NA,-0.05931,NA,diploid,207,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-88.84021745,44.22631291,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-6,United States of America,Wolf River,44.22638,-88.8401,81,3.151,NA,NA,NA,NA,NA,NA,0.591,0.626,NA,NA,0.055911,NA,diploid,234,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-88.23664687,44.29003869,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-7,United States of America,Fox River,44.28896,-88.2353,46,3.117,NA,NA,NA,NA,NA,NA,0.6,0.588,NA,NA,-0.02041,NA,diploid,207,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-85.75691839,43.41893968,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-8,United States of America,Muskegon River,43.41889,-85.7567,17,3.424,NA,NA,NA,NA,NA,NA,0.651,0.651,NA,NA,0,NA,diploid,232,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-85.87954848,44.27067998,ACFU,ACFU-3,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-3-9,United States of America,Manistee River,44.26979,-85.8781,89,3.018,NA,NA,NA,NA,NA,NA,0.541,0.588,NA,NA,0.079932,NA,diploid,260,Glaciated,Stable,Unflooded,Highland,Stable Glaciated Highland 
-88.70994104,44.11011,ACFU,ACFU-4,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-4-10,United States of America,Wolf River,44.11011,-88.7101,30,4.615,NA,NA,NA,NA,NA,NA,NA,0.5368,NA,NA,NA,NA,diploid,231,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-83.13825351,42.11006838,ACFU,ACFU-4,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-4-15,United States of America,Detroit River,42.11045,-83.1384,33,4.154,NA,NA,NA,NA,NA,NA,NA,0.5654,NA,NA,NA,NA,diploid,178,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-76.05625951,44.00115722,ACFU,ACFU-4,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-4-18,United States of America,Black River,44.00109,-76.0561,11,3.846,NA,NA,NA,NA,NA,NA,NA,0.5404,NA,NA,NA,NA,diploid,89,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
-74.77795268,44.97970449,ACFU,ACFU-4,Acipenser fulvescens Rafinesque; 1817,Acipenser fulvescens,Acipenser,Acipenseridae,Acipenseriformes,Lake Sturgeon,ACFU,ACFU-4-19,United States of America,Grasse River,44.97986,-74.7781,28,3.077,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,diploid,58,Glaciated,Stable,Unflooded,Lowland,Stable Glaciated Lowland 
