Data_source,Contributor_GenDivRange,Spec_id.x,Study_id,Spec_Latin_GenDivRange,Life_form,DOI_study,DOI_data,Spec_Latin_publication,Marker_type,N_pops,N_loci,GBIF_id,Spec_Latin_GBIF,Genus_GBIF,Family_GBIF,Order_GBIF,Class_GBIF,Phylum_GBIF,EOL_id,Spec_common_EOL,BIOME,Habitat_fishbase,Habitat_breeding,Habitat_adulthood,GBIF_doi,Spec_id.y,Pop_id,Spec_Latin_sub,Geog_1,Geog_2,Geog_3,Geog_4,Geog_5,Geog_6,N,A,A_mean,A_tot,A_eff,A_private,N_genot,Ar,Ho,He,GD_Nei,D_clonal,F_is,F_is_sig,Ploidy,min_dist_to_flowline,snapped_lon,snapped_lat,stream_order,catch_area,slope,AREA,PERIMETER,ICE18K_,ICE18K_ID,SYMB,WSA9,WSA9_NAME,Ice,Tectonic,SeaLevel,elev,relief,Topography,SeaShort,History,Spec_Latin_clean,AREAKM2.x,PATCHES.x,FECUNDITY.x,LONGEVITY.x,MAXTL.x,AREAKM2.y,PATCHES.y,FECUNDITY.y,LONGEVITY.y,MAXTL.y
MacroPopGen,NA,ACFU,ACFU-1,Acipenser fulvescens,Fishes,10.1080/00028487.2012.694829,NA,Acipenser fulvescens,SSR,6,12,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-1-1,NA,United States of America,Fox River,NA,NA,NA,NA,70,4.83,NA,NA,NA,NA,NA,NA,0.52,0.517,NA,NA,NA,NA,diploid,56.75102669572011,-88.03924503668948,44.48247223854151,6,7.1289,3.6484e-4,17000000000000,41206792,150,15,ICE,TPL,Temperate Plains,Glaciated,Stable,Unflooded,187,39,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
MacroPopGen,NA,ACFU,ACFU-1,Acipenser fulvescens,Fishes,10.1080/00028487.2012.694829,NA,Acipenser fulvescens,SSR,6,12,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-1-2,NA,United States of America,Kalamazoo River,NA,NA,NA,NA,17,3.58,NA,NA,NA,NA,NA,NA,0.508,0.499,NA,NA,NA,NA,diploid,182.23965267011906,-86.17612739841502,42.64329643042441,6,1.2195,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,190,20,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
MacroPopGen,NA,ACFU,ACFU-1,Acipenser fulvescens,Fishes,10.1080/00028487.2012.694829,NA,Acipenser fulvescens,SSR,6,12,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-1-3,NA,United States of America,Manistee River,NA,NA,NA,NA,106,4.58,NA,NA,NA,NA,NA,NA,0.509,0.532,NA,NA,NA,NA,diploid,1.9732488021740544,-86.33120934965834,44.2477042735802,5,2.0439,4.6263e-4,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,185,34,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
MacroPopGen,NA,ACFU,ACFU-1,Acipenser fulvescens,Fishes,10.1080/00028487.2012.694829,NA,Acipenser fulvescens,SSR,6,12,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-1-4,NA,United States of America,Menominee River,NA,NA,NA,NA,64,4.33,NA,NA,NA,NA,NA,NA,0.472,0.482,NA,NA,NA,NA,diploid,65.24199914571066,-87.64237201661523,45.10608872596562,6,2.5974,0.00437876,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,187,15,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
MacroPopGen,NA,ACFU,ACFU-1,Acipenser fulvescens,Fishes,10.1080/00028487.2012.694829,NA,Acipenser fulvescens,SSR,6,12,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-1-5,NA,United States of America,Muskegon River,NA,NA,NA,NA,58,4.42,NA,NA,NA,NA,NA,NA,0.569,0.549,NA,NA,NA,NA,diploid,8.107051459476999,-86.18939407114057,43.26222801620369,6,0.9486,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,190,20,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
MacroPopGen,NA,ACFU,ACFU-2,Acipenser fulvescens,Fishes,10.1038/s41597-019-0024-7,NA,Acipenser fulvescens,SSR,11,9,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-2-3,NA,United States of America,Chippewa  River,NA,NA,NA,NA,49,4.222,NA,NA,NA,NA,NA,NA,0.446,0.439,NA,NA,NA,NA,diploid,64.33910984766408,-91.34335909546215,44.93917594063975,6,11.3085,4.4292e-4,NA,NA,NA,NA,NA,UMW,Upper Midwest,Unglaciated,Stable,Unflooded,277,41,Highland,,Stable Unglaciated Highland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-1,NA,United States of America,Bad River,NA,NA,NA,NA,39,2.941,NA,NA,NA,NA,NA,NA,0.649,0.649,NA,NA,0,NA,diploid,1.5498475170617068,-90.71747987641562,46.630869046979676,3,3.9969,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,187,3,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-2,NA,United States of America,Sturgeon River,NA,NA,NA,NA,30,3.134,NA,NA,NA,NA,NA,NA,0.544,0.613,NA,NA,0.112561,NA,diploid,33.020651924980136,-88.53825575196647,47.12033146819081,2,37.629,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,263,110,Highland,,Stable Glaciated Highland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-3,NA,United States of America,Menominee River,NA,NA,NA,NA,47,2.907,NA,NA,NA,NA,NA,NA,0.549,0.587,NA,NA,0.064736,NA,diploid,34.592988233378804,-87.76785495114909,45.350838839614866,6,0.5256,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,212,17,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-4,NA,United States of America,Peshtigo River,NA,NA,NA,NA,54,3.01,NA,NA,NA,NA,NA,NA,0.642,0.621,NA,NA,-0.03382,NA,diploid,28.538693437021493,-88.07702121889972,45.22846383372975,5,10.4967,0.00123566,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,226,60,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-5,NA,United States of America,Oconto River,NA,NA,NA,NA,18,2.907,NA,NA,NA,NA,NA,NA,0.643,0.607,NA,NA,-0.05931,NA,diploid,41.8130433096219,-88.06334211143812,44.8561568413331,5,3.0699,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,207,32,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-6,NA,United States of America,Wolf River,NA,NA,NA,NA,81,3.151,NA,NA,NA,NA,NA,NA,0.591,0.626,NA,NA,0.055911,NA,diploid,11.97641558230145,-88.84021745058527,44.2263129129152,6,9.8073,1e-5,17000000000000,41206792,150,15,ICE,TPL,Temperate Plains,Glaciated,Stable,Unflooded,231,9,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-7,NA,United States of America,Fox River,NA,NA,NA,NA,46,3.117,NA,NA,NA,NA,NA,NA,0.6,0.588,NA,NA,-0.02041,NA,diploid,161.06069292624383,-88.23664687367663,44.29003868625218,6,1.278,8.279e-5,17000000000000,41206792,150,15,ICE,TPL,Temperate Plains,Glaciated,Stable,Unflooded,206,41,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-8,NA,United States of America,Muskegon River,NA,NA,NA,NA,17,3.424,NA,NA,NA,NA,NA,NA,0.651,0.651,NA,NA,0,NA,diploid,18.455150432091926,-85.75691839337729,43.41893968338379,6,45.5247,0.00132893,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,230,45,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-3,Acipenser fulvescens,Fishes,10.1577/t05-213.1,NA,Acipenser fulvescens,SSR,11,8,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-3-9,NA,United States of America,Manistee River,NA,NA,NA,NA,89,3.018,NA,NA,NA,NA,NA,NA,0.541,0.588,NA,NA,0.079932,NA,diploid,152.094332946713,-85.87954848002921,44.27067997512223,4,17.1459,1e-5,17000000000000,41206792,150,15,ICE,UMW,Upper Midwest,Glaciated,Stable,Unflooded,252,94,Highland,,Stable Glaciated Highland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-4,Acipenser fulvescens,Fishes,10.1577/m06-184.1,NA,Acipenser fulvescens,SSR,22,13,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-4-10,NA,United States of America,Wolf River,NA,NA,NA,NA,30,4.615,NA,NA,NA,NA,NA,NA,NA,0.5368,NA,NA,NA,NA,diploid,12.682669042151202,-88.70994104185719,44.110110004524635,6,0.8685,1e-5,17000000000000,41206792,150,15,ICE,TPL,Temperate Plains,Glaciated,Stable,Unflooded,232,9,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-4,Acipenser fulvescens,Fishes,10.1577/m06-184.1,NA,Acipenser fulvescens,SSR,22,13,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-4-15,NA,United States of America,Detroit River,NA,NA,NA,NA,33,4.154,NA,NA,NA,NA,NA,NA,NA,0.5654,NA,NA,NA,NA,diploid,44.34657852124507,-83.13825350982279,42.11006838230992,6,0.7479,1.282e-5,17000000000000,41206792,150,15,ICE,NA,NA,Glaciated,Stable,Unflooded,178,8,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-4,Acipenser fulvescens,Fishes,10.1577/m06-184.1,NA,Acipenser fulvescens,SSR,22,13,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-4-18,NA,United States of America,Black River,NA,NA,NA,NA,11,3.846,NA,NA,NA,NA,NA,NA,NA,0.5404,NA,NA,NA,NA,diploid,14.7883434304467,-76.05625951468228,44.00115722310026,6,1.7064,0.0014258,17000000000000,41206792,150,15,ICE,NAP,Northern Appalachians,Glaciated,Stable,Unflooded,87,49,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
VarVer,NA,ACFU,ACFU-4,Acipenser fulvescens,Fishes,10.1577/m06-184.1,NA,Acipenser fulvescens,SSR,22,13,2402120,Acipenser fulvescens Rafinesque; 1817,Acipenser,Acipenseridae,Acipenseriformes,NA,Chordata,https://eol.org/pages/46561177,Lake Sturgeon,Lake,freshwater; brackish;  demersal; potamodromous   temperate; ;,Freshwater,Freshwater,doi.org/10.15468/dl.a9fdqp,ACFU,ACFU-4-19,NA,United States of America,Grasse River,NA,NA,NA,NA,28,3.077,NA,NA,NA,NA,NA,NA,NA,0.446,NA,NA,NA,NA,diploid,20.836142673942952,-74.77795268025726,44.97970448798872,5,37.2492,1e-5,17000000000000,41206792,150,15,ICE,NAP,Northern Appalachians,Glaciated,Stable,Unflooded,57,32,Lowland,,Stable Glaciated Lowland ,acipenser fulvescens,3943409,3,1000000,43,274,3943409,3,1000000,43,274
