"x","y","Spec_id.x","Study_id","Spec_Latin_GBIF","Spec_Latin_GenDivRange","Genus_GBIF","Family_GBIF","Order_GBIF","Spec_common_EOL","Spec_id.y","Pop_id","Geog_1","Geog_2","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","elev","Ice","Tectonic","SeaLevel","Topography","History","stream_size","elevation","slope"
-88.03924504,44.48247224,"ACFU","ACFU-1","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-1-1","United States of America","Fox River",70,4.83,NA,NA,NA,NA,NA,NA,0.52,0.517,NA,NA,NA,NA,"diploid",186,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,176,1.3914927026178e-15
-86.1761274,42.64329643,"ACFU","ACFU-1","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-1-2","United States of America","Kalamazoo River",17,3.58,NA,NA,NA,NA,NA,NA,0.508,0.499,NA,NA,NA,NA,"diploid",189,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0246926125903715,176,7.95138679647378e-16
-86.33120935,44.24770427,"ACFU","ACFU-1","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-1-3","United States of America","Manistee River",106,4.58,NA,NA,NA,NA,NA,NA,0.509,0.532,NA,NA,NA,NA,"diploid",182,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,179,0.566601276397705
-87.64237202,45.10608873,"ACFU","ACFU-1","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-1-4","United States of America","Menominee River",64,4.33,NA,NA,NA,NA,NA,NA,0.472,0.482,NA,NA,NA,NA,"diploid",186,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,178,0.833154439926147
-86.18939407,43.26222802,"ACFU","ACFU-1","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-1-5","United States of America","Muskegon River",58,4.42,NA,NA,NA,NA,NA,NA,0.569,0.549,NA,NA,NA,NA,"diploid",193,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0246926125903715,178,1.01877141840895e-15
-91.3433591,44.93917594,"ACFU","ACFU-2","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-2-3","United States of America","Chippewa  River",49,4.222,NA,NA,NA,NA,NA,NA,0.446,0.439,NA,NA,NA,NA,"diploid",278,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",1.31828315050335,256,2.42875742912292
-90.71747988,46.63086905,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-1","United States of America","Bad River",39,2.941,NA,NA,NA,NA,NA,NA,0.649,0.649,NA,NA,0,NA,"diploid",185,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,183,0.0862973183393478
-88.53825575,47.12033147,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-2","United States of America","Sturgeon River",30,3.134,NA,NA,NA,NA,NA,NA,0.544,0.613,NA,NA,0.112561,NA,"diploid",225,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,183,0.255883693695068
-87.76785495,45.35083884,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-3","United States of America","Menominee River",47,2.907,NA,NA,NA,NA,NA,NA,0.549,0.587,NA,NA,0.064736,NA,"diploid",213,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,204,0.196531772613525
-88.07702122,45.22846383,"ACFU","ACFU-3","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-3-4","United States of America","Peshtigo River",54,3.01,NA,NA,NA,NA,NA,NA,0.642,0.621,NA,NA,-0.03382,NA,"diploid",225,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,223,1.85270977020264
