Chain #10
Seed for random number generator: 10 51 52 8 11

Acceptance rates for chain #10 (%)
ptild: 26.2901
theta: 25.9294
p: 31.444
F: 35.187
Mt: 11.2705
nm: 28.4698
m: 67.6872

Migration rates
Into/From	1	2	3	4	5
1	0.375485	0.176438	0.341748	0.0761897	0.0301401
2	1.01261e-008	1	1.01071e-008	1.02446e-008	1.03165e-008
3	0.0563085	0.10369	0.0927136	0.647937	0.0993518
4	4.61661e-009	4.79174e-009	4.71291e-009	1	4.70697e-009
5	7.44944e-009	7.47406e-009	7.48602e-009	7.51458e-009	1
Standard deviation
1	0.0503559	0.045334	0.0496963	0.0353083	0.0234195
2	7.88458e-009	-1.#IND	7.91768e-009	7.90651e-009	7.96783e-009
3	0.0518609	0.0690482	0.0801905	0.0916122	0.064645
4	1.06441e-008	1.14093e-008	1.09179e-008	-1.#IND	1.08975e-008
5	5.8116e-009	5.81196e-009	5.76798e-009	5.7978e-009	-1.#IND

Inbreeding coefficients
Population	Mean	Sd
1	0.0730344	0.0518005
2	0.0721777	0.0252424
3	0.0941741	0.0617622
4	0.0525062	0.0131989
5	0.0413039	0.0245893

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.047556	0.0222893
2	0.0554273	0.0248087
3	0.119465	0.0499948
4	0.0468824	0.0231788
5	0.0407406	0.0219479
6	0.0398242	0.0205374
7	0.0271107	0.0187427
8	0.0395729	0.0194085
9	0.0745825	0.0293111
10	0.0107662	0.0104727
11	0.0334435	0.0192928
12	0.0980281	0.0387256
13	0.0310868	0.0171989
14	0.0412436	0.0215309
15	0.0123099	0.0110236
16	0.0357495	0.0173621
17	0.0596168	0.0298766
18	0.0180818	0.0123527
19	0.00763648	0.00727246
20	0.0311773	0.0181736
21	0.010011	0.00934036
22	0.0367816	0.0200226
23	0.0307541	0.01901
24	0.0240993	0.0159052
25	0.0146239	0.0123574
26	0.00801527	0.00795843
27	0.0054131	0.0063759
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.138087	0.0366951
2	0.101368	0.0356114
3	0.150299	0.0394373
4	0.105543	0.0343225
5	0.0290386	0.0174992
6	0.129276	0.0352811
7	0.0276051	0.0170398
8	0.0463918	0.0237577
9	0.0176993	0.0127578
10	0.00694855	0.00785101
11	0.0556657	0.0288824
12	0.00499806	0.00606677
13	0.00525147	0.00632932
14	0.028072	0.017273
15	0.0415895	0.0218865
16	0.0065284	0.00675218
17	0.0271142	0.0179909
18	0.0132441	0.0105102
19	0.00545915	0.00631795
20	0.012179	0.0105661
21	0.00643919	0.00733197
22	0.00869517	0.00830281
23	0.00398373	0.00505793
24	0.00384058	0.00486923
25	0.00344143	0.00478001
26	0.00417319	0.00527407
27	0.00470832	0.00558298
28	0.00373815	0.0048854
29	0.00331788	0.00463619
30	0.00530487	0.00593959
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.259989	0.0455593
2	0.285606	0.0495274
3	0.391953	0.0533955
4	0.0438966	0.0225804
5	0.0144823	0.0122866
6	0.00110038	0.00241622
7	0.00297252	0.00418985
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.174877	0.0408247
2	0.211201	0.0450182
3	0.444125	0.0553605
4	0.062554	0.0253218
5	0.0103102	0.00915521
6	0.0788445	0.029207
7	0.018089	0.0133583
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.827934	0.0537071
2	0.0266972	0.0162987
3	0.0243549	0.0169328
4	0.00348239	0.0046735
5	0.0534707	0.0274695
6	0.011874	0.0108063
7	0.00705157	0.00769196
8	0.0267793	0.0168698
9	0.00647609	0.00692973
10	0.00635008	0.00690427
11	0.00338351	0.00472755
12	0.00214666	0.00347083
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.353843	0.0528051
2	0.325444	0.0505757
3	0.064007	0.0260897
4	0.0470576	0.0216256
5	0.0557278	0.0247771
6	0.0236437	0.0159494
7	0.0563557	0.0239599
8	0.0102477	0.0095225
9	0.0164879	0.0131908
10	0.0377397	0.0199353
11	0.00944622	0.00926543
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.12825	0.0374438
2	0.0615487	0.0271627
3	0.129481	0.0442483
4	0.0396972	0.0218769
5	0.172892	0.0416696
6	0.225152	0.0457794
7	0.0787917	0.0306528
8	0.0901937	0.0312722
9	0.0110378	0.00983037
10	0.0086702	0.00867316
11	0.0347771	0.0196935
12	0.00960166	0.00892747
13	0.00403966	0.00518926
14	0.00381737	0.00484045
15	0.00204981	0.00331941
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.14074	0.0464793
2	0.227498	0.0476533
3	0.0425112	0.0223031
4	0.0278063	0.0179336
5	0.117214	0.035891
6	0.158598	0.0404993
7	0.0650743	0.0301529
8	0.0223227	0.0155256
9	0.0398749	0.0206515
10	0.0228619	0.0147721
11	0.00508941	0.00622803
12	0.0251737	0.0158413
13	0.0446438	0.0216947
14	0.0150916	0.0117556
15	0.0110741	0.0100815
16	0.0104334	0.0103977
17	0.00760032	0.00823108
18	0.00395202	0.0050332
19	0.00635542	0.00692932
20	0.00608473	0.00657019
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.194226	0.0451039
2	0.23733	0.0469531
3	0.189546	0.0426816
4	0.171899	0.0584211
5	0.0293336	0.0170163
6	0.098804	0.0325419
7	0.0100725	0.0100944
8	0.0558912	0.0252759
9	0.00411647	0.00526351
10	0.00341858	0.00467102
11	0.00335061	0.00471325
12	0.00201217	0.00334837
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.0059973	0.00676857
2	0.0747016	0.0293434
3	0.0648646	0.0287586
4	0.0716077	0.0295856
5	0.0526986	0.0290931
6	0.0284524	0.0171526
7	0.0609689	0.0250741
8	0.0268553	0.0173942
9	0.0245143	0.0165807
10	0.0607694	0.026527
11	0.0787843	0.0369274
12	0.0317884	0.0191079
13	0.0783338	0.0317736
14	0.0142805	0.0121552
15	0.0415328	0.0207607
16	0.0318693	0.0194681
17	0.0649929	0.0274625
18	0.00289753	0.00435511
19	0.0266786	0.0157933
20	0.0208871	0.0151096
21	0.0136612	0.0113399
22	0.00341882	0.00472946
23	0.0171675	0.013359
24	0.00407793	0.00522823
25	0.00597949	0.00682444
26	0.0140445	0.0118532
27	0.00638577	0.00719493
28	0.016905	0.0122275
29	0.0162043	0.0126446
30	0.0177868	0.0132832
31	0.00862134	0.00883764
32	0.00796336	0.00862503
33	0.0032437	0.00466623
34	0.00106486	0.00225525

In population 2
At locus 1
1	0.0777264	0.0252093
2	0.100419	0.0299134
3	0.0395671	0.0213538
4	0.126275	0.03231
5	0.0704538	0.0261549
6	0.0193758	0.0153214
7	0.0117342	0.0128427
8	0.0366042	0.0178159
9	0.120978	0.0312264
10	0.0301877	0.0159261
11	0.014522	0.0129445
12	0.121403	0.0329512
13	0.0267835	0.014677
14	0.0477893	0.0219359
15	0.00637013	0.0083068
16	0.0418743	0.0179647
17	0.0133752	0.0129925
18	0.00774608	0.00906967
19	0.00190836	0.00375038
20	0.0184531	0.0149603
21	0.00425203	0.00620261
22	0.0173998	0.0147589
23	0.00926503	0.0104048
24	0.00716904	0.008266
25	0.0200144	0.0141778
26	0.00379252	0.00594418
27	0.00456066	0.00670498
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.182589	0.0382078
2	0.0495105	0.0238663
3	0.0804031	0.0295443
4	0.0917398	0.0293931
5	0.0235715	0.0156904
6	0.208179	0.0394189
7	0.0220499	0.0152964
8	0.0920234	0.0284083
9	0.0044204	0.00615271
10	0.00463294	0.00715593
11	0.0316267	0.0171913
12	0.00342857	0.00571952
13	0.00452558	0.00665444
14	0.00822146	0.00983696
15	0.0276995	0.0190962
16	0.0137187	0.00996745
17	0.055837	0.0222253
18	0.0167088	0.0117557
19	0.00522591	0.00694533
20	0.00339199	0.0055059
21	0.00725489	0.00911217
22	0.00275831	0.00488725
23	0.00293944	0.00493337
24	0.00172366	0.00352274
25	0.00204809	0.00411261
26	0.00299873	0.00469091
27	0.00187172	0.00373735
28	0.00233763	0.00432565
29	0.0233131	0.0124486
30	0.0232499	0.0123567
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.363401	0.0483046
2	0.247054	0.045257
3	0.353584	0.0486432
4	0.0282077	0.0173547
5	0.00458838	0.00669155
6	0.000932992	0.00243357
7	0.00223286	0.00387149
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.120014	0.0322877
2	0.164679	0.039681
3	0.56499	0.0499334
4	0.0790517	0.0259853
5	0.00561255	0.00731362
6	0.0579011	0.02457
7	0.00775121	0.00892104
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.713015	0.0439643
2	0.0412169	0.0182852
3	0.00989788	0.0110824
4	0.00247912	0.00440529
5	0.149341	0.0339613
6	0.00919009	0.0108108
7	0.00496503	0.0071236
8	0.0504014	0.020025
9	0.00215801	0.00406012
10	0.00214137	0.003883
11	0.00209666	0.00395415
12	0.0130978	0.00891039
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.300598	0.0458195
2	0.341064	0.0459912
3	0.137799	0.0330639
4	0.0522176	0.0215467
5	0.0528819	0.0198231
6	0.0227269	0.0146883
7	0.0322577	0.0180281
8	0.0352281	0.0160124
9	0.00925442	0.00997179
10	0.01058	0.0102035
11	0.00539171	0.00749978
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.20068	0.0389168
2	0.0489431	0.0226281
3	0.0726029	0.0267335
4	0.0921459	0.0279717
5	0.0851914	0.0296019
6	0.217357	0.0431322
7	0.0519949	0.0253094
8	0.0886266	0.0272583
9	0.00540506	0.00736063
10	0.00398771	0.00581712
11	0.116602	0.0289609
12	0.00444406	0.00668183
13	0.00248218	0.0045101
14	0.00217664	0.00409311
15	0.00736149	0.00666513
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0483028	0.0237137
2	0.295415	0.0445961
3	0.0349512	0.0180248
4	0.0149596	0.0133079
5	0.0823254	0.0292162
6	0.122987	0.0338348
7	0.0269075	0.0175792
8	0.0927742	0.0260691
9	0.0699224	0.0240489
10	0.0289875	0.0149535
11	0.00253987	0.00481739
12	0.0477145	0.0190515
13	0.0375621	0.0186359
14	0.0178927	0.0127373
15	0.00548296	0.00797052
16	0.0525973	0.0199994
17	0.00272724	0.00502051
18	0.00199495	0.0036892
19	0.00289397	0.00509688
20	0.0110617	0.00863583
21	0	0
22	0	0
23	0	0
