Chain #2
Seed for random number generator: 2 51 52 8 11

Acceptance rates for chain #2 (%)
ptild: 27.8169
theta: 30.8688
p: 32.84
F: 38.5445
Mt: 12.9127
nm: 28.0043
m: 51.8858

Migration rates
Into/From	1	2	3	4	5
1	0.385294	0.205012	0.320066	0.0549693	0.0346582
2	2.41842e-008	1	2.39416e-008	2.42462e-008	2.44263e-008
3	0.0547881	0.11178	0.0800322	0.534515	0.218885
4	0.0308167	0.0196494	0.0477141	0.593174	0.308645
5	1.87849e-008	1.86654e-008	1.85903e-008	1.84452e-008	1
Standard deviation
1	0.0544907	0.0476054	0.0566312	0.0308611	0.0244095
2	3.57257e-008	-1.#IND	3.53272e-008	3.52049e-008	3.62634e-008
3	0.0502089	0.0722161	0.0718498	0.0970403	0.0970935
4	0.0277808	0.0179896	0.0331769	0.0642928	0.0630767
5	1.48774e-008	1.49265e-008	1.47941e-008	1.467e-008	9.51752e-007

Inbreeding coefficients
Population	Mean	Sd
1	0.0859857	0.0797127
2	0.0719496	0.02484
3	0.187198	0.131333
4	0.0909183	0.0366413
5	0.0488158	0.0262591

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.0460261	0.0214727
2	0.0528891	0.0236807
3	0.123196	0.0478752
4	0.0430736	0.0214584
5	0.0401732	0.0210453
6	0.0414888	0.0204005
7	0.0265425	0.017257
8	0.0402924	0.0193196
9	0.0738741	0.0284524
10	0.00909078	0.00940192
11	0.0358667	0.0198337
12	0.0972626	0.0361812
13	0.0315417	0.01667
14	0.0410626	0.0219401
15	0.0119758	0.0105721
16	0.0348941	0.0172022
17	0.0624236	0.0271607
18	0.0177008	0.0118194
19	0.00787988	0.0070065
20	0.0318214	0.0178323
21	0.0115466	0.00993051
22	0.0356126	0.0187195
23	0.0307412	0.0185233
24	0.0267985	0.0158321
25	0.0133259	0.0116609
26	0.00792655	0.00784272
27	0.00497321	0.00594529
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.138516	0.0346958
2	0.108791	0.0351761
3	0.148905	0.0361909
4	0.107088	0.0325003
5	0.0295185	0.0166721
6	0.127243	0.0340888
7	0.0257318	0.0158175
8	0.0446669	0.0220022
9	0.0191931	0.0134404
10	0.00595549	0.00705795
11	0.0565209	0.0264361
12	0.00485277	0.00602185
13	0.00494565	0.00609918
14	0.029048	0.0171038
15	0.0420237	0.0208729
16	0.00581756	0.0064465
17	0.0259903	0.0167965
18	0.0125626	0.0101395
19	0.005167	0.00600299
20	0.0119914	0.00976224
21	0.00594354	0.00703433
22	0.0088272	0.00820415
23	0.00424568	0.00561532
24	0.00291968	0.00441443
25	0.00321545	0.00453902
26	0.00394863	0.00518635
27	0.00462653	0.00528019
28	0.00349741	0.00469048
29	0.00315803	0.00442239
30	0.00508921	0.0058631
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.258961	0.0439856
2	0.284139	0.0475011
3	0.392307	0.0510828
4	0.0441391	0.0214714
5	0.0146696	0.0116554
6	0.00274653	0.0042291
7	0.00303734	0.00417852
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.180856	0.0392979
2	0.211096	0.0434004
3	0.438204	0.0524604
4	0.0642014	0.02506
5	0.00968362	0.00877552
6	0.0779494	0.0273607
7	0.018009	0.0130282
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.834787	0.0497977
2	0.0252937	0.0157328
3	0.0242999	0.0159079
4	0.00290267	0.00437595
5	0.0494371	0.0252466
6	0.0116308	0.010313
7	0.00686033	0.00738553
8	0.0270232	0.016907
9	0.00652265	0.00670501
10	0.00606257	0.00656021
11	0.00312929	0.00453818
12	0.00205113	0.00329746
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.355244	0.0513217
2	0.325484	0.0494726
3	0.0620566	0.0246745
4	0.0469865	0.0207175
5	0.0544405	0.0233149
6	0.0244471	0.0158499
7	0.057595	0.0230856
8	0.00982946	0.00926007
9	0.0155302	0.0129027
10	0.0391483	0.0196829
11	0.00923812	0.00895054
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.125592	0.03536
2	0.0604242	0.0257126
3	0.12843	0.0400489
4	0.0376292	0.0211545
5	0.177518	0.0403732
6	0.224874	0.0435844
7	0.0832918	0.0302192
8	0.0909044	0.0301686
9	0.0107057	0.00937547
10	0.00855729	0.008363
11	0.0329365	0.0185629
12	0.00934009	0.00852356
13	0.00463052	0.00590106
14	0.00325964	0.00449703
15	0.00190617	0.00314839
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.14354	0.0429819
2	0.224789	0.0451047
3	0.0417966	0.0207885
4	0.0285242	0.0184806
5	0.119	0.0345952
6	0.160486	0.0381487
7	0.0654712	0.0296687
8	0.0210907	0.0150224
9	0.0389876	0.0199302
10	0.0219463	0.0144305
11	0.00539781	0.00615643
12	0.0247429	0.015076
13	0.0452667	0.0203692
14	0.014095	0.011187
15	0.011093	0.00983733
16	0.00918709	0.00948712
17	0.00789177	0.00787488
18	0.00419928	0.00534173
19	0.006097	0.00666672
20	0.00639705	0.00683008
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.191382	0.0446198
2	0.238229	0.0457173
3	0.191029	0.0411709
4	0.172863	0.0524236
5	0.02856	0.0167355
6	0.0979801	0.0315282
7	0.00940943	0.00938276
8	0.0571517	0.024604
9	0.00406457	0.00518824
10	0.00317395	0.00460284
11	0.00313299	0.00447532
12	0.00302465	0.00454665
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00611596	0.00666592
2	0.0712921	0.028152
3	0.0629965	0.0267659
4	0.0713043	0.0279045
5	0.0523507	0.0265047
6	0.0276144	0.0164379
7	0.0602467	0.0248112
8	0.0258586	0.016772
9	0.0252707	0.0167522
10	0.0609656	0.0259791
11	0.0785962	0.0339716
12	0.0310678	0.0188305
13	0.0835512	0.0329227
14	0.01392	0.0117781
15	0.0440574	0.0208261
16	0.0323341	0.0188136
17	0.0653371	0.0266903
18	0.00291476	0.0042952
19	0.0257182	0.0150513
20	0.0216164	0.013983
21	0.0144324	0.0118915
22	0.00339077	0.00463778
23	0.0167714	0.0125077
24	0.00409762	0.00520798
25	0.00604793	0.00659929
26	0.0138077	0.0115745
27	0.00595729	0.00689634
28	0.0167228	0.0119285
29	0.0165135	0.0126128
30	0.0175163	0.0125446
31	0.007799	0.00834624
32	0.00872607	0.00860825
33	0.00289573	0.00444557
34	0.00219303	0.00360453

In population 2
At locus 1
1	0.0757019	0.0243583
2	0.102027	0.029819
3	0.0386752	0.0207252
4	0.124884	0.0308976
5	0.0679802	0.0251857
6	0.0202421	0.0155329
7	0.0125272	0.0128936
8	0.0368766	0.0175291
9	0.123586	0.0313126
10	0.0289513	0.0146978
11	0.0144685	0.012693
12	0.119521	0.0317659
13	0.0263761	0.0142174
14	0.0492561	0.0218519
15	0.00714655	0.00886858
16	0.0392463	0.0170311
17	0.0150694	0.013666
18	0.00821082	0.00934136
19	0.001954	0.00358989
20	0.0195713	0.0150397
21	0.00452689	0.00613419
22	0.0177146	0.0144049
23	0.00975415	0.0104931
24	0.00825966	0.0085437
25	0.0193722	0.0133243
26	0.00365473	0.00567402
27	0.00444492	0.00644678
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.186231	0.0371326
2	0.0508244	0.0234263
3	0.0846621	0.0308024
4	0.0931456	0.0286946
5	0.0237372	0.015026
6	0.203145	0.0381554
7	0.022161	0.0145713
8	0.0919444	0.0279666
9	0.0039404	0.00570337
10	0.00445809	0.00668751
11	0.0307442	0.0167132
12	0.00354792	0.00562259
13	0.00421723	0.00609407
14	0.0086073	0.0102617
15	0.0314679	0.0195683
16	0.0126136	0.00921714
17	0.0552706	0.0212951
18	0.015735	0.0109119
19	0.00515472	0.00651172
20	0.00327459	0.00536728
21	0.00703575	0.00859554
22	0.00294965	0.00486351
23	0.00237498	0.0041569
24	0.00122739	0.00276778
25	0.00210149	0.00398534
26	0.00259117	0.00417976
27	0.00186021	0.00359689
28	0.00209245	0.00393819
29	0.0215686	0.0112675
30	0.0213164	0.0114039
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.356374	0.0465028
2	0.250474	0.0441457
3	0.356469	0.0479644
4	0.0285917	0.0172794
5	0.00458377	0.00628543
6	0.0013759	0.00289501
7	0.00213209	0.00361636
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
