iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-9556.43	-12744.8	-69.2617	15.8903	3278.51	-36.7693
1000200	-9510.84	-12704.8	-81.8012	15.8903	3300.31	-40.4082
1000300	-9558.51	-12720.7	-70.9634	15.8903	3258.92	-41.6297
1000400	-9566.08	-12699.6	-84.0802	15.8903	3241.65	-39.9187
1000500	-9531.84	-12703.8	-68.6439	15.8903	3264.87	-40.1745
1000600	-9597.1	-12726.6	-67.2809	15.8903	3221.25	-40.4025
1000700	-9581.77	-12688.3	-65.8697	15.8903	3193.68	-37.1868
1000800	-9549.06	-12709.3	-77.0504	15.8903	3257.77	-36.3286
1000900	-9598.01	-12724.5	-76.4109	15.8903	3226.6	-39.5999
1001000	-9563.2	-12705.4	-72.8569	15.8903	3237.94	-38.8175
1001100	-9564.46	-12694.4	-79.8969	15.8903	3234.11	-40.1914
1001200	-9611.37	-12704	-78.8522	15.8903	3195.88	-40.2806
1001300	-9617.23	-12714.3	-73.1274	15.8903	3194.64	-40.3454
1001400	-9632.41	-12730	-78.8859	15.8903	3200.41	-39.8573
1001500	-9610.53	-12739.2	-69.7132	15.8903	3223.48	-40.9599
1001600	-9588.37	-12716.7	-75.5997	15.8903	3228.15	-40.1125
1001700	-9611.07	-12755.3	-71.4934	15.8903	3242.6	-42.802
1001800	-9642.5	-12791	-73.4118	15.8903	3253.53	-47.4763
1001900	-9667.41	-12795.2	-72.046	15.8903	3229.71	-45.7904
1002000	-9629.69	-12712.5	-82.1871	15.8903	3193.76	-44.6699
1002100	-9677.42	-12731.4	-87.7847	15.8903	3170.87	-44.9644
1002200	-9644.2	-12710.7	-84.0527	15.8903	3176.42	-41.7244
1002300	-9614.42	-12714.1	-75.6088	15.8903	3203.64	-44.2166
1002400	-9649.78	-12762.3	-78.1385	15.8903	3219.54	-44.7736
1002500	-9618.71	-12746.5	-68.1711	15.8903	3227.22	-47.1904
1002600	-9635.96	-12732.9	-68.5894	15.8903	3195.86	-46.2625
1002700	-9646.55	-12750.7	-75.8243	15.8903	3207.31	-43.1694
1002800	-9576.82	-12695.5	-72.1458	15.8903	3219.66	-44.6993
1002900	-9645.38	-12749.7	-84.3042	15.8903	3215.47	-42.707
1003000	-9683.65	-12761.3	-74.4372	15.8903	3178.08	-41.9081
1003100	-9657.58	-12749.6	-69.6123	15.8903	3186.33	-40.573
1003200	-9678.59	-12740.6	-62.8719	15.8903	3149.64	-40.6289
1003300	-9670.16	-12756.3	-80.9103	15.8903	3192.15	-41.0295
1003400	-9575.93	-12712.5	-74.1539	15.8903	3235.66	-40.7844
1003500	-9597.3	-12684.4	-77.474	15.8903	3189	-40.3073
1003600	-9665.22	-12757.2	-83.5979	15.8903	3198.09	-38.4464
1003700	-9671.96	-12769.4	-81.2608	15.8903	3202.93	-40.088
1003800	-9662.77	-12733.2	-77.7976	15.8903	3172.71	-40.3537
1003900	-9602.77	-12720.3	-81.0505	15.8903	3224.08	-41.3929
1004000	-9611.65	-12742.8	-75.754	15.8903	3234.61	-43.6214
1004100	-9582.35	-12692.8	-72.4681	15.8903	3209.25	-42.1891
1004200	-9597.47	-12717.8	-68.6365	15.8903	3215.69	-42.6025
1004300	-9624.99	-12730.9	-78.9171	15.8903	3210.78	-41.8067
1004400	-9568	-12706	-80.1245	15.8903	3247.59	-45.3867
1004500	-9556.4	-12736.7	-71.4277	15.8903	3279.78	-43.9058
1004600	-9595.51	-12748.6	-83.232	15.8903	3266.33	-45.9295
1004700	-9628.34	-12753.8	-77.8984	15.8903	3232.55	-45.0412
1004800	-9640.33	-12757.8	-67.9423	15.8903	3214.7	-45.1708
1004900	-9636.26	-12754.6	-80.8935	15.8903	3229.25	-45.9553
1005000	-9636.02	-12760	-75.9045	15.8903	3231.31	-47.2794
1005100	-9651.17	-12741.1	-71.0271	15.8903	3190.27	-45.2145
1005200	-9677.35	-12779.7	-78.6992	15.8903	3211.63	-46.5164
1005300	-9634.3	-12740	-71.2677	15.8903	3201.29	-40.2267
1005400	-9618.28	-12716.6	-58.1723	15.8903	3183.28	-42.6894
1005500	-9643.39	-12730.7	-70.6575	15.8903	3184.88	-42.8089
1005600	-9606.88	-12703.1	-75.5665	15.8903	3198.62	-42.6856
1005700	-9643.31	-12719.6	-88.1112	15.8903	3188.25	-39.7436
1005800	-9627.95	-12706.7	-78.5128	15.8903	3180.89	-39.5047
1005900	-9585.77	-12671.6	-73.9863	15.8903	3183.45	-39.5387
1006000	-9569.57	-12663.1	-78.4508	15.8903	3195.3	-39.1888
1006100	-9602.68	-12683.8	-70.0998	15.8903	3175.07	-39.7691
1006200	-9612.59	-12749.3	-66.0941	15.8903	3227.87	-40.909
1006300	-9589.42	-12690.7	-83.0406	15.8903	3208.54	-40.1611
1006400	-9591.87	-12714	-66.0577	15.8903	3212.13	-39.855
1006500	-9573.65	-12689.6	-62.551	15.8903	3205.17	-42.5218
1006600	-9635.64	-12726.4	-75.8267	15.8903	3191.72	-41.0631
1006700	-9639.96	-12703.4	-80.0712	15.8903	3169.12	-41.4709
1006800	-9625.63	-12731.1	-75.9634	15.8903	3208.56	-43.0311
1006900	-9598.78	-12705.3	-68.2596	15.8903	3199.16	-40.2695
1007000	-9612.91	-12717.1	-71.3506	15.8903	3201.82	-42.1646
1007100	-9592.55	-12696.2	-92.2593	15.8903	3222.07	-42.0475
1007200	-9564.06	-12703.9	-72.3448	15.8903	3240.6	-44.2842
1007300	-9673.18	-12745.6	-72.8652	15.8903	3169.65	-40.2123
1007400	-9595.91	-12726.9	-69.7419	15.8903	3226.2	-41.4063
1007500	-9584.22	-12718.1	-84.3971	15.8903	3243.48	-41.0585
1007600	-9620.62	-12712.3	-91.3287	15.8903	3208.13	-40.9749
1007700	-9593.95	-12754.7	-71.2156	15.8903	3258.38	-42.2915
1007800	-9564.62	-12746.4	-71.5168	15.8903	3280.98	-43.5916
1007900	-9524.02	-12704	-68.8313	15.8903	3274.93	-41.9604
1008000	-9560.76	-12751.5	-68.848	15.8903	3289.05	-45.3572
1008100	-9569.01	-12755.1	-73.6032	15.8903	3289.01	-45.1687
1008200	-9562.92	-12764.7	-68.9998	15.8903	3297.93	-43.059
1008300	-9483.67	-12717.7	-67.205	15.8903	3328.36	-42.9896
1008400	-9537.01	-12723.3	-69.0952	15.8903	3282.59	-43.1363
1008500	-9555.48	-12763	-74.9974	15.8903	3311.47	-44.808
1008600	-9578.94	-12779.1	-77.9159	15.8903	3307.86	-45.6523
1008700	-9601.3	-12779.4	-80.2421	15.8903	3286.54	-44.1072
1008800	-9637.49	-12773.3	-73.2465	15.8903	3235.47	-42.3473
1008900	-9607.15	-12767.8	-69.5403	15.8903	3255.82	-41.5298
1009000	-9617.82	-12766.8	-69.7039	15.8903	3243.43	-40.613
1009100	-9582.13	-12703.4	-70.3556	15.8903	3214.58	-38.7962
1009200	-9622.05	-12776.9	-79.6704	15.8903	3259.4	-40.7369
1009300	-9629.27	-12754.2	-79.4001	15.8903	3225.68	-37.2289
1009400	-9574.98	-12726.3	-73.4264	15.8903	3249.38	-40.4718
1009500	-9583.1	-12762.1	-79.8765	15.8903	3280.95	-37.9581
1009600	-9529.34	-12718.1	-74.029	15.8903	3286.74	-39.8198
1009700	-9609.5	-12796.5	-67.9918	15.8903	3280.18	-41.0549
1009800	-9566.32	-12790.1	-74.3685	15.8903	3325.06	-42.7638
1009900	-9582.73	-12817.4	-74.6591	15.8903	3335.2	-41.8042
1010000	-9597.99	-12787.8	-77.3286	15.8903	3292.73	-41.4375
1010100	-9582.56	-12774	-77.9309	15.8903	3294.98	-41.5258
1010200	-9596.58	-12773.5	-79.8935	15.8903	3283.36	-42.459
1010300	-9541.25	-12762.6	-60.0323	15.8903	3305.55	-40.0862
1010400	-9528.25	-12737.7	-67.3306	15.8903	3301.4	-40.5573
1010500	-9525.2	-12725.9	-65.7746	15.8903	3290.27	-39.7167
1010600	-9492.73	-12687.5	-72.2719	15.8903	3289.77	-38.6286
1010700	-9493.56	-12662.4	-73.014	15.8903	3266.48	-40.4762
1010800	-9476.49	-12677.3	-70.0549	15.8903	3292.95	-38.0082
1010900	-9493.2	-12649.3	-71.9736	15.8903	3250	-37.8339
1011000	-9555.91	-12670.7	-82.1676	15.8903	3218.31	-37.2391
1011100	-9474.06	-12691.3	-73.7605	15.8903	3316.68	-41.5261
1011200	-9485.83	-12693.8	-79.4431	15.8903	3315.94	-44.3729
1011300	-9494.92	-12697.4	-74.9087	15.8903	3304.07	-42.5593
1011400	-9592.58	-12752.6	-85.6281	15.8903	3270.4	-40.6887
1011500	-9533.5	-12699.6	-70.7393	15.8903	3261.53	-40.5474
1011600	-9534.8	-12671.2	-70.4827	15.8903	3230.91	-39.94
1011700	-9560.42	-12701.2	-76.0222	15.8903	3241.02	-40.1601
1011800	-9515.01	-12676.5	-83.6776	15.8903	3268.73	-39.4187
1011900	-9573.29	-12738.5	-76.6267	15.8903	3265.35	-39.4413
1012000	-9574.82	-12745.9	-77.3824	15.8903	3273.84	-41.2458
