Chain #6
Seed for random number generator: 6 51 52 8 11

Acceptance rates for chain #6 (%)
ptild: 25.9395
theta: 30.8874
p: 30.9348
F: 38.6244
Mt: 12.9984
nm: 27.9706
m: 51.8468

Migration rates
Into/From	1	2	3	4	5
1	0.388152	0.197451	0.322667	0.057393	0.0343377
2	1.67314e-009	1	1.6566e-009	1.66539e-009	1.66382e-009
3	0.0528455	0.111779	0.0824217	0.538493	0.21446
4	0.0328817	0.0195871	0.0464716	0.592397	0.308662
5	2.7514e-008	2.68768e-008	2.74261e-008	2.77745e-008	1
Standard deviation
1	0.0582785	0.0477084	0.0613588	0.0322482	0.0245628
2	1.30067e-009	-1.#IND	1.28466e-009	1.28409e-009	1.29609e-009
3	0.0488816	0.0725612	0.0738599	0.0949853	0.0965177
4	0.0294142	0.0179957	0.0344184	0.0620904	0.0628664
5	4.78688e-008	4.58355e-008	4.73992e-008	4.86022e-008	-1.#IND

Inbreeding coefficients
Population	Mean	Sd
1	0.0970069	0.0882518
2	0.0706267	0.0250587
3	0.187676	0.139917
4	0.0883681	0.0345384
5	0.0501918	0.0267703

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.0458435	0.0204376
2	0.0534926	0.0233096
3	0.115936	0.0449159
4	0.042574	0.0206937
5	0.0398848	0.0199942
6	0.0421386	0.020115
7	0.0272412	0.0171082
8	0.0407787	0.0189584
9	0.0737519	0.027411
10	0.010928	0.00996549
11	0.036305	0.0189112
12	0.0948426	0.0347348
13	0.0321325	0.0161158
14	0.0427465	0.0212755
15	0.0125237	0.0102365
16	0.0357979	0.0170907
17	0.0606512	0.0259618
18	0.0177671	0.0117668
19	0.00763996	0.00678466
20	0.0323293	0.0179215
21	0.0121782	0.00981098
22	0.0358908	0.0183635
23	0.0319773	0.0182576
24	0.0266323	0.0153118
25	0.0142068	0.0115997
26	0.00827761	0.00767511
27	0.005532	0.00612256
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.137465	0.0347329
2	0.106288	0.032725
3	0.147903	0.0349663
4	0.10768	0.0320482
5	0.0280886	0.0161533
6	0.126817	0.0335349
7	0.0266651	0.0154544
8	0.0456462	0.0223567
9	0.0188082	0.0129013
10	0.00705225	0.00748124
