Chain #7
Seed for random number generator: 7 51 52 8 11

Acceptance rates for chain #7 (%)
ptild: 28.2878
theta: 25.7565
p: 32.7043
F: 41.2075
Mt: 12.888
nm: 30.5517
m: 51.1409

Migration rates
Into/From	1	2	3	4	5
1	0.370705	0.173357	0.104611	0.0191511	0.332175
2	3.20325e-008	1	3.19633e-008	3.17021e-008	3.1725e-008
3	1.38329e-008	1.38139e-008	1	1.37941e-008	1.36529e-008
4	0.0357355	0.0253795	0.521725	0.383062	0.0340982
5	0.0468486	0.297819	0.0687831	0.521189	0.0653605
Standard deviation
1	0.060575	0.0472126	0.0424769	0.0150325	0.0613025
2	2.50482e-008	3.74461e-007	2.50909e-008	2.47514e-008	2.49284e-008
3	1.16697e-008	1.17048e-008	-1.#IND	1.17714e-008	1.15692e-008
4	0.0297093	0.0215726	0.0688865	0.0679038	0.0296487
5	0.0439408	0.100114	0.0629857	0.0919816	0.065341

Inbreeding coefficients
Population	Mean	Sd
1	0.119633	0.0997218
2	0.0805924	0.0258126
3	0.0534044	0.0221477
4	0.184588	0.120783
5	0.131678	0.132448

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.0448309	0.0197589
2	0.0551542	0.0234284
3	0.0919646	0.0432032
4	0.043289	0.0203243
5	0.0429823	0.0198237
6	0.0441397	0.0205519
7	0.0291283	0.0178
8	0.0436966	0.0194716
9	0.0806471	0.0278589
10	0.0132583	0.0104499
11	0.0364179	0.0188742
12	0.0897881	0.0336565
13	0.0302048	0.0160535
14	0.047014	0.0213626
15	0.0152221	0.0109978
16	0.0364132	0.0171855
17	0.0497702	0.0250902
18	0.0182451	0.012069
19	0.00672108	0.00654068
20	0.0361845	0.0183148
21	0.0133645	0.0101733
22	0.0356602	0.0184839
23	0.034005	0.0189957
24	0.0281948	0.0157896
25	0.0188539	0.012739
26	0.00911156	0.00794412
27	0.00573785	0.00628044
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.134031	0.0341358
2	0.0922266	0.0320487
3	0.142585	0.0352206
4	0.109143	0.0331768
5	0.0252545	0.0147881
6	0.131176	0.0344178
7	0.0291465	0.0158386
8	0.0483042	0.0220218
9	0.0184276	0.0131312
10	0.00888417	0.00806387
11	0.0427729	0.0244951
12	0.0071401	0.00661798
13	0.00700859	0.00657769
14	0.0268391	0.0157353
15	0.0444305	0.020171
16	0.00692846	0.00675621
17	0.0318671	0.0173004
18	0.0144189	0.0100723
19	0.00613082	0.00617262
20	0.0113927	0.00951208
21	0.00822094	0.00778079
22	0.00926242	0.00791702
23	0.00662499	0.00651183
24	0.00484737	0.00519602
25	0.00472696	0.00505322
26	0.00759049	0.00727334
27	0.0059194	0.0056123
28	0.00464608	0.00501656
29	0.00310551	0.00447343
30	0.00694808	0.00662853
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.262732	0.0430198
2	0.270586	0.0464196
3	0.398482	0.0502959
4	0.0425863	0.0214661
5	0.0178773	0.0119478
6	0.00417431	0.0050481
7	0.00356236	0.00447393
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.172646	0.0385896
2	0.201137	0.0428528
3	0.4507	0.0516848
4	0.0695709	0.025053
5	0.0099417	0.00810247
6	0.0736999	0.0262971
7	0.022305	0.0137766
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.800241	0.0492354
2	0.0272915	0.0154266
3	0.0253105	0.015095
4	0.00450385	0.00496147
5	0.0645717	0.0268852
6	0.013047	0.010762
7	0.00956407	0.0080082
8	0.032221	0.0175718
