Chain #8
Seed for random number generator: 8 51 52 8 11

Acceptance rates for chain #8 (%)
ptild: 27.9065
theta: 30.8101
p: 32.507
F: 38.7601
Mt: 12.7429
nm: 27.8942
m: 51.8359

Migration rates
Into/From	1	2	3	4	5
1	0.382384	0.205823	0.320646	0.0564976	0.0346495
2	1.80219e-008	1	1.73017e-008	1.72151e-008	1.71718e-008
3	0.053198	0.116375	0.0805025	0.535498	0.214426
4	0.0269693	0.0201692	0.0559641	0.587051	0.309846
5	2.15577e-008	2.23033e-008	2.15263e-008	2.15868e-008	1
Standard deviation
1	0.0522633	0.0474264	0.0553637	0.0322879	0.0245076
2	4.05474e-008	8.92454e-007	3.86513e-008	3.80207e-008	3.82284e-008
3	0.0488141	0.073196	0.0734666	0.0964644	0.0967656
4	0.0248074	0.018216	0.0348457	0.0616161	0.0609728
5	4.54479e-008	4.71434e-008	4.46e-008	4.51253e-008	-1.#IND

Inbreeding coefficients
Population	Mean	Sd
1	0.0681766	0.0684126
2	0.0706934	0.0249189
3	0.207339	0.114655
4	0.0903855	0.0352661
5	0.0487652	0.0266342

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.0447501	0.0221897
2	0.0517165	0.0247711
3	0.146115	0.044503
4	0.0413477	0.0228538
5	0.0347602	0.0204191
6	0.0407501	0.0217267
7	0.0263224	0.0188852
8	0.0384841	0.0200496
9	0.0664383	0.0275047
10	0.00812287	0.00927815
11	0.0337991	0.0204679
12	0.104764	0.0365439
13	0.0329045	0.018144
14	0.0374999	0.0217664
15	0.00998286	0.0102417
16	0.0337883	0.0176729
17	0.0701878	0.0277803
18	0.0185965	0.0124268
19	0.0084878	0.00737944
20	0.0299706	0.0185604
21	0.00986379	0.00961667
22	0.0351973	0.0205679
23	0.0284326	0.0190078
24	0.0251066	0.0164321
25	0.0115624	0.0115168
26	0.00690383	0.00775828
27	0.00414436	0.00578093
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.136788	0.0365052
2	0.116042	0.036064
3	0.155317	0.0390605
4	0.110439	0.0357243
5	0.0314547	0.0179533
6	0.123572	0.0360308
7	0.0240011	0.0164747
8	0.0417944	0.0232169
9	0.0192313	0.014134
10	0.00532122	0.00693858
11	0.0661235	0.0259297
12	0.00349792	0.00533861
13	0.00433887	0.00592084
14	0.0294712	0.0183275
15	0.0375779	0.0210037
16	0.00494645	0.00617846
17	0.0235942	0.0172777
18	0.0108036	0.00975041
19	0.00448646	0.00605318
20	0.0135754	0.0111312
21	0.0047326	0.00687628
22	0.00867529	0.00873959
23	0.00230152	0.00447311
24	0.00276284	0.00433691
25	0.00247371	0.00420208
26	0.00295027	0.00464009
27	0.00431759	0.00546766
28	0.00285502	0.00447711
29	0.00265395	0.00420473
30	0.00390028	0.00497529
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.260053	0.0464819
2	0.289936	0.0495479
3	0.385391	0.0530275
4	0.0478794	0.0230602
5	0.0128192	0.0116092
6	0.00164771	0.00329461
7	0.00227318	0.00360969
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.185465	0.0417389
2	0.214934	0.0456841
3	0.430469	0.0549942
4	0.0620138	0.0262863
5	0.00916863	0.00912931
6	0.0821704	0.0293175
7	0.0157788	0.0131209
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.853507	0.0444637
2	0.0235897	0.0160357
3	0.0239239	0.0172333
4	0.00246323	0.00398502
5	0.0427463	0.0241794
6	0.0108221	0.0105525
7	0.00529206	0.00696332
8	0.022926	0.0159195
9	0.00609648	0.00701611
10	0.00528042	0.00664905
11	0.00174987	0.00343285
12	0.0016034	0.00299553
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.356637	0.0536234
2	0.328896	0.0521453
3	0.0593539	0.025595
4	0.0457338	0.0218767
5	0.0592794	0.0246357
6	0.0216299	0.0156777
7	0.0621396	0.0247058
8	0.00851303	0.00898342
9	0.0118074	0.011508
10	0.0384981	0.0209892
11	0.007512	0.00858973
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.13007	0.0370772
2	0.0563557	0.0268259
3	0.143685	0.0407185
4	0.033057	0.0201416
5	0.187357	0.0412136
6	0.221542	0.0461573
7	0.0768401	0.0306979
8	0.0887054	0.0313814
9	0.00990225	0.00955979
10	0.00552515	0.0075347
11	0.0295713	0.0184484
12	0.00950976	0.00933884
13	0.00337947	0.00522177
14	0.00317135	0.00477383
15	0.00132762	0.00278827
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.160089	0.0422765
2	0.232468	0.0473403
3	0.0468268	0.021657
4	0.0238795	0.0173446
5	0.122262	0.0362946
6	0.157651	0.0403657
7	0.0589952	0.0290273
8	0.0170936	0.0138494
9	0.0371106	0.0211478
10	0.0185248	0.013729
11	0.00426568	0.00584694
12	0.0245551	0.0159482
13	0.0442878	0.0208343
14	0.0136968	0.0117422
15	0.0116671	0.0102244
16	0.00725446	0.00891463
17	0.00656662	0.00788639
18	0.00302366	0.00493167
19	0.00484379	0.00627942
20	0.00493847	0.00596469
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.194084	0.0461321
2	0.229282	0.0452413
3	0.189993	0.0430501
4	0.194455	0.050273
5	0.0268792	0.0170673
6	0.0929384	0.0319504
7	0.00821044	0.00938125
8	0.0547999	0.0256329
9	0.00308223	0.00455614
10	0.0022255	0.00388328
11	0.00202139	0.00363459
12	0.00202968	0.00372083
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00485763	0.00647685
2	0.0670491	0.0290238
3	0.0608676	0.0280285
4	0.076652	0.0302146
5	0.0623417	0.0255454
6	0.0291582	0.0177218
7	0.0605893	0.0262306
8	0.0234315	0.0169413
9	0.0223851	0.0168106
10	0.0555696	0.0262485
11	0.0918269	0.0323218
12	0.0265554	0.0183062
13	0.0932681	0.0325614
14	0.0115266	0.0117599
15	0.048503	0.0219099
16	0.0290174	0.01938
17	0.061083	0.0275605
18	0.00220499	0.00373335
19	0.0254871	0.0157793
20	0.0213791	0.0149208
21	0.0130069	0.0122789
22	0.00315427	0.00481795
23	0.0166791	0.0135624
24	0.00358462	0.00501947
25	0.00508457	0.00651246
26	0.0133796	0.0116183
27	0.0052755	0.0067068
28	0.0154634	0.012238
29	0.014559	0.0129021
30	0.0185783	0.013769
31	0.00708181	0.00862345
32	0.00714556	0.0080394
33	0.0020037	0.00365116
34	0.00125019	0.00279745

In population 2
At locus 1
1	0.0755446	0.0244261
2	0.103289	0.0293453
3	0.0360456	0.0205344
4	0.125377	0.0318728
5	0.0696904	0.0255385
6	0.0194591	0.0154159
7	0.0124506	0.0130951
8	0.0368178	0.0178411
9	0.124569	0.0316502
10	0.0289094	0.0149418
11	0.0138392	0.0126541
12	0.12304	0.0330451
13	0.0261318	0.0142755
14	0.0494144	0.0222114
15	0.00734824	0.00896471
16	0.0393904	0.01705
17	0.0142175	0.0134849
18	0.00782348	0.00926008
19	0.0018281	0.00345803
20	0.019083	0.0149027
21	0.00447585	0.00609914
22	0.0169612	0.0144303
23	0.00925558	0.0105619
24	0.00741603	0.00809656
25	0.0197047	0.0136324
26	0.00329326	0.00538124
27	0.0046258	0.00664699
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.186903	0.0375941
2	0.0498699	0.0236811
3	0.0825945	0.0300677
4	0.0919021	0.0287686
5	0.023772	0.0154373
6	0.207352	0.0386361
7	0.0219727	0.0146518
8	0.0945363	0.0284445
9	0.00382381	0.00582227
10	0.00428302	0.00645976
11	0.0303315	0.016406
12	0.00316956	0.00533426
13	0.0038835	0.00601025
14	0.00835101	0.0101342
15	0.0321786	0.0202563
16	0.0127349	0.00930549
17	0.0563467	0.0214089
18	0.0158137	0.0111415
19	0.00493976	0.00654088
20	0.00263404	0.00511038
21	0.00709172	0.00894458
22	0.00159044	0.00387916
23	0.00195791	0.00381211
24	0.00145675	0.00302181
25	0.00200991	0.00383687
26	0.00204054	0.00398365
27	0.001778	0.00353537
28	0.00184372	0.00365328
29	0.0215626	0.0114499
30	0.0212763	0.0115447
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.358621	0.0466659
2	0.251299	0.0447468
3	0.354955	0.0485976
4	0.0278919	0.0173004
5	0.00437877	0.00617731
6	0.000938838	0.00244006
7	0.00191545	0.00342329
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.118771	0.031706
2	0.166135	0.0396599
3	0.567485	0.0497212
4	0.076667	0.0252371
5	0.00543963	0.00731726
6	0.0578449	0.0240281
7	0.00765797	0.00872625
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.717046	0.0427178
2	0.0424769	0.0182682
3	0.0109499	0.0117124
4	0.002325	0.00413571
5	0.14478	0.0328448
6	0.00924128	0.010441
7	0.00528705	0.00723134
8	0.0510351	0.019836
9	0.0014896	0.00323176
10	0.00180177	0.00346881
11	0.00136432	0.00297294
12	0.0122032	0.0081841
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.30272	0.0454385
2	0.342461	0.0457746
3	0.136515	0.0321192
4	0.0514198	0.0211388
5	0.0502936	0.0191139
6	0.024431	0.0152103
7	0.0326726	0.0177992
8	0.0342173	0.0154998
9	0.00847103	0.00944694
10	0.0108258	0.0105887
11	0.00597302	0.00777104
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.197635	0.0378959
2	0.0510215	0.0232883
3	0.0706715	0.0265072
4	0.091676	0.0273255
5	0.0866389	0.0296769
6	0.220981	0.0421868
7	0.0576907	0.0264643
8	0.0863989	0.0266664
9	0.00540974	0.00726875
10	0.00382579	0.00584312
11	0.112725	0.0277521
12	0.0040731	0.00652945
13	0.00230672	0.00416055
14	0.00222224	0.00408217
15	0.0067246	0.00611171
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0477442	0.0234671
2	0.296098	0.0438504
3	0.0342741	0.0175144
4	0.0153007	0.0135219
5	0.0829648	0.0297133
6	0.123449	0.0341375
7	0.0298137	0.0193593
8	0.0942751	0.0256513
9	0.0706469	0.0235651
10	0.0271338	0.0143514
11	0.00303301	0.00501578
12	0.0463145	0.0182936
13	0.0355686	0.01773
14	0.0186658	0.0128052
15	0.00543172	0.00779591
16	0.0515535	0.0191478
17	0.00304723	0.00503722
18	0.00182937	0.00344848
19	0.0025877	0.00451497
20	0.0102689	0.00803495
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.216168	0.0414213
2	0.286634	0.0421674
3	0.179118	0.0372301
4	0.077632	0.0292138
5	0.0382272	0.0185112
6	0.124843	0.0313797
7	0.0277121	0.0147548
8	0.0419877	0.0201291
9	0.00272735	0.0044846
10	0.00195726	0.00368393
11	0.00157767	0.00339494
12	0.00141505	0.00281246
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.0034118	0.00558763
2	0.139326	0.0337332
3	0.0958044	0.028
4	0.0959808	0.0291042
5	0.0227919	0.0158232
6	0.0472558	0.0194692
7	0.0842179	0.0261891
8	0.0376633	0.0170685
9	0.0478572	0.0220477
10	0.0617404	0.024099
11	0.0167947	0.0154343
12	0.0874698	0.0261911
13	0.0141434	0.0126038
14	0.0188056	0.0129194
15	0.0135168	0.0119194
16	0.0208167	0.0169925
17	0.0832676	0.0280482
18	0.0107584	0.00821262
19	0.0194224	0.0131043
20	0.00598243	0.00837047
21	0.00727188	0.00890591
22	0.0029263	0.00498378
23	0.00447448	0.00658576
24	0.0020712	0.00364935
25	0.00286913	0.00501082
26	0.00492415	0.00703032
27	0.0030747	0.00511061
28	0.0160101	0.0113426
29	0.00550853	0.00716458
30	0.00408422	0.00636517
31	0.0033816	0.00597446
32	0.0054583	0.00739456
33	0.0101104	0.00800573
34	0.000808189	0.00236572

In population 3
At locus 1
1	0.0491877	0.0209515
2	0.0565173	0.0229594
3	0.068326	0.0355582
4	0.0491743	0.0217315
5	0.0493251	0.0209712
6	0.0456287	0.0202996
7	0.0261622	0.0162511
8	0.0471863	0.019521
9	0.0874267	0.0282164
10	0.0139882	0.01021
11	0.0402513	0.0187892
12	0.0717001	0.0298977
13	0.0319522	0.0163461
14	0.0548277	0.021929
15	0.0163078	0.0107873
16	0.0399214	0.0177077
17	0.039652	0.0221314
18	0.0163118	0.0111933
19	0.00642511	0.00620934
20	0.0379339	0.0181973
21	0.0154874	0.0103136
22	0.0371729	0.0181981
23	0.034399	0.0185475
24	0.0280017	0.0154666
25	0.0189021	0.012244
26	0.0104173	0.00817906
27	0.00741373	0.00659206
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
