Chain #9
Seed for random number generator: 9 51 52 8 11

Acceptance rates for chain #9 (%)
ptild: 25.7857
theta: 30.8224
p: 30.5209
F: 38.5488
Mt: 12.7887
nm: 27.8664
m: 51.8736

Migration rates
Into/From	1	2	3	4	5
1	0.380735	0.200792	0.326946	0.0565157	0.0350109
2	9.419e-009	1	9.38492e-009	9.33256e-009	9.44241e-009
3	0.0548966	0.111746	0.0808797	0.537961	0.214516
4	0.0289892	0.0198357	0.0527344	0.599095	0.299346
5	2.96116e-009	2.96934e-009	2.93587e-009	2.96394e-009	1
Standard deviation
1	0.0535587	0.0482112	0.0538039	0.0322639	0.0247811
2	7.26411e-009	6.91741e-007	7.2715e-009	7.18571e-009	7.31612e-009
3	0.0490184	0.0728884	0.073091	0.0963813	0.0950424
4	0.0270436	0.0180325	0.0332843	0.0627555	0.0622306
5	2.29459e-009	2.29316e-009	2.29422e-009	2.28762e-009	4.28003e-007

Inbreeding coefficients
Population	Mean	Sd
1	0.0746829	0.0752952
2	0.070909	0.0248625
3	0.197413	0.108257
4	0.088933	0.0350903
5	0.047796	0.0258005

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.046367	0.0225814
2	0.0509238	0.0243409
3	0.142548	0.0454407
4	0.0416675	0.0223286
5	0.0364123	0.0206597
6	0.0408715	0.021535
7	0.026844	0.0184913
8	0.0381154	0.0197846
9	0.0679751	0.0278363
10	0.00842296	0.00924495
11	0.0334972	0.0200443
12	0.104805	0.0363236
13	0.0324282	0.0176422
14	0.0381951	0.0215343
15	0.0103498	0.0101411
16	0.0343619	0.0178122
17	0.0675646	0.0278811
18	0.0178895	0.0122354
19	0.00814206	0.00734323
20	0.0298078	0.0181346
21	0.0100509	0.00958674
22	0.035996	0.0197396
23	0.0301109	0.0190518
24	0.0246674	0.0161937
25	0.0116183	0.0113242
26	0.00729581	0.00787007
27	0.00307173	0.0051681
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.138671	0.0366457
2	0.114476	0.0360222
3	0.155266	0.0384294
4	0.111012	0.0346414
5	0.0316259	0.0177322
6	0.123745	0.0360066
7	0.0243694	0.0163372
8	0.0430304	0.0231419
9	0.0193473	0.0137805
10	0.00497843	0.00675732
11	0.0635826	0.0265881
12	0.00373835	0.00533262
13	0.00410499	0.00590601
14	0.0284136	0.0177703
15	0.0374514	0.0210274
16	0.00508607	0.00615631
17	0.0237305	0.0168061
18	0.010714	0.00987918
19	0.00485445	0.00610986
20	0.0125006	0.0107374
21	0.00563094	0.00703444
22	0.00849799	0.0084793
23	0.003021	0.00499195
24	0.0027451	0.00428866
25	0.00262154	0.00420694
26	0.00345335	0.00486232
27	0.0037227	0.0050742
28	0.00287506	0.00437998
29	0.00250841	0.00405643
30	0.00422468	0.00534634
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.260923	0.0458118
2	0.287917	0.0499171
3	0.385847	0.0530552
4	0.046943	0.0229608
5	0.0134424	0.0117177
6	0.0023771	0.00398638
7	0.00255188	0.00383269
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.184889	0.0409335
2	0.214705	0.0454076
3	0.430475	0.053756
4	0.0626097	0.0261392
5	0.00949543	0.00925682
6	0.081006	0.0289053
7	0.0168198	0.0133326
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.851713	0.0464127
2	0.0236862	0.0156137
3	0.0245735	0.0169901
4	0.00213683	0.00375406
5	0.043203	0.0243933
6	0.0107328	0.0105564
7	0.00547169	0.0069182
8	0.0236274	0.0162723
9	0.00656743	0.00704785
10	0.00491013	0.0062697
11	0.00168423	0.0035242
12	0.00169388	0.00312613
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.357519	0.0530052
2	0.328585	0.0519123
3	0.0595577	0.0253353
4	0.0448594	0.0216
5	0.0596887	0.0244757
6	0.0224662	0.015824
7	0.0602386	0.0246029
8	0.00891293	0.00897351
9	0.0124636	0.0117243
10	0.038116	0.0204514
11	0.00759243	0.00860998
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.128837	0.0366902
2	0.0575784	0.0265364
3	0.142245	0.0406662
4	0.0336741	0.0203158
5	0.185748	0.0410877
6	0.22218	0.0454086
7	0.0793597	0.0304998
8	0.0875777	0.0307226
9	0.00952624	0.00923522
10	0.00697083	0.00781287
11	0.0300209	0.0183668
12	0.0096211	0.00897722
13	0.00345907	0.00535516
14	0.00217673	0.00417879
15	0.00102584	0.00240442
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.154446	0.0414061
2	0.230139	0.0461585
3	0.046572	0.0214432
4	0.024741	0.0176591
5	0.123937	0.0362297
6	0.157978	0.0401383
7	0.0609488	0.0291039
8	0.0181625	0.0142272
9	0.0373185	0.0207593
10	0.019367	0.0139091
11	0.00451363	0.005931
12	0.0242674	0.015679
13	0.0439842	0.020822
14	0.0139126	0.0118477
15	0.0114597	0.0101172
16	0.00826899	0.00914617
17	0.00607324	0.0076403
18	0.00368745	0.00509302
19	0.00513401	0.00638015
20	0.00508793	0.00606847
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.196428	0.0454301
2	0.230486	0.045274
3	0.190269	0.0429562
4	0.189744	0.051527
5	0.0272744	0.0171153
6	0.0943184	0.0321277
7	0.00838612	0.00929859
8	0.0544461	0.0250325
9	0.00247391	0.00427474
10	0.0017755	0.00332583
11	0.0020598	0.00373199
12	0.00233911	0.00403347
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00522327	0.00655561
2	0.0693169	0.028921
3	0.061282	0.028058
4	0.075673	0.029837
5	0.0612695	0.0262497
6	0.0293101	0.0174426
7	0.0600293	0.0257322
8	0.0233443	0.0163681
9	0.0233718	0.0167937
10	0.056904	0.0265726
11	0.0892201	0.032433
12	0.02685	0.0181042
13	0.0901616	0.0328302
14	0.0126478	0.0116505
15	0.0472141	0.0218373
16	0.029647	0.0188561
17	0.061495	0.0268317
18	0.00242573	0.00390582
19	0.0248707	0.0155155
20	0.0209916	0.0147163
21	0.0132259	0.0120275
22	0.0034366	0.0048313
23	0.0175496	0.013657
24	0.00357773	0.00499074
25	0.00496641	0.0063106
26	0.0135244	0.0115375
27	0.00536696	0.0067093
28	0.0153938	0.0119602
29	0.014298	0.012405
30	0.0174922	0.013092
31	0.00772563	0.00843402
32	0.00731488	0.00792719
33	0.00280768	0.00425056
34	0.00207241	0.00349185

In population 2
At locus 1
1	0.0759594	0.0247425
2	0.103888	0.0304088
3	0.0366787	0.0209204
4	0.126401	0.0321679
5	0.0694304	0.0254817
6	0.0193981	0.0155293
7	0.0126341	0.0132522
8	0.0369896	0.0180555
9	0.124525	0.0313167
10	0.0285339	0.0148534
11	0.014134	0.0128767
12	0.121293	0.0329529
13	0.0259446	0.0142711
14	0.0491339	0.0219486
15	0.00728893	0.00898175
16	0.0389871	0.01726
17	0.013949	0.0132713
18	0.008128	0.0094292
19	0.00180098	0.00349344
20	0.0192109	0.0148959
21	0.00471901	0.00622498
22	0.0166749	0.0142986
23	0.00920421	0.0104469
24	0.00799427	0.00862921
25	0.0194244	0.0136074
26	0.00335409	0.00555352
27	0.00432125	0.00668592
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.187611	0.0379417
2	0.050217	0.0235157
3	0.0833242	0.0314697
4	0.0929394	0.0286717
5	0.0232374	0.0153099
6	0.206287	0.0393962
7	0.0218029	0.0146655
8	0.0920991	0.028629
9	0.0038107	0.00564723
10	0.00334614	0.00614521
11	0.0308675	0.0167255
12	0.00316614	0.00532309
13	0.0038959	0.00612454
14	0.00858402	0.0102075
15	0.0319299	0.0208547
16	0.0127825	0.00933448
17	0.0570047	0.0224865
18	0.0155857	0.0110621
19	0.00503633	0.00655542
20	0.0030228	0.00537657
21	0.00594229	0.00835477
22	0.00273093	0.00472157
23	0.00207062	0.00391936
24	0.00149437	0.0030423
25	0.00212114	0.00401084
26	0.00245679	0.00408005
27	0.00150797	0.00326934
28	0.00181945	0.00369569
29	0.0218792	0.0114273
30	0.0214268	0.0115312
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.358395	0.0475569
2	0.250136	0.0451095
3	0.355549	0.0489416
4	0.0281524	0.0175047
5	0.0041297	0.00600039
6	0.00152949	0.00307901
7	0.00210896	0.00367397
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.118104	0.031572
2	0.166426	0.0398358
3	0.568128	0.0489988
4	0.0768489	0.0254116
5	0.00504012	0.0069929
6	0.0576509	0.0242716
7	0.00780215	0.00876851
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.716063	0.0424948
2	0.0429621	0.0185659
3	0.0105521	0.0116547
4	0.0021018	0.00397764
5	0.145603	0.032697
6	0.00893291	0.0104618
7	0.00501028	0.00717157
8	0.0516589	0.0204443
9	0.00191111	0.00373374
10	0.00174586	0.00345685
11	0.00103462	0.00269079
12	0.0124247	0.00849867
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.300499	0.0454919
2	0.343986	0.0458392
3	0.137182	0.0324816
4	0.0517727	0.0210748
5	0.0509445	0.0194123
6	0.0244962	0.0153233
7	0.032385	0.0177096
8	0.0342165	0.0156656
9	0.00860537	0.00945511
10	0.0106666	0.0107133
11	0.0052454	0.00746144
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.198748	0.0380286
2	0.0508185	0.0234231
3	0.0714485	0.0266623
4	0.0917714	0.0275406
5	0.0862745	0.0295252
6	0.220242	0.0429002
7	0.0563644	0.0262848
8	0.0872938	0.0267638
9	0.00541051	0.00729234
10	0.00360358	0.00555123
11	0.113864	0.0282059
12	0.00387718	0.00644089
13	0.00182848	0.00371585
14	0.00187153	0.00382735
15	0.00658327	0.00610149
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0482393	0.0235333
2	0.296329	0.0433872
3	0.0345027	0.0179853
4	0.0151782	0.0132603
5	0.0813021	0.0299575
6	0.124763	0.0345736
7	0.0300709	0.0194986
8	0.0939793	0.0258182
9	0.070325	0.0240319
10	0.0274464	0.0144839
11	0.00289487	0.00490691
12	0.0467083	0.0183223
13	0.0355067	0.0178545
14	0.0185369	0.0127112
15	0.00551946	0.00789611
16	0.0508935	0.0192818
17	0.00284846	0.00494674
18	0.00196612	0.00357716
19	0.00270541	0.00466971
20	0.0102851	0.00809351
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.215093	0.0413612
2	0.287196	0.0427277
3	0.179267	0.0372339
4	0.0789905	0.0297212
5	0.0380638	0.0185208
6	0.124875	0.0316627
7	0.0278249	0.0149185
8	0.0424672	0.0202067
9	0.00209039	0.00401149
10	0.00122293	0.00302523
11	0.00159485	0.00340356
12	0.00131428	0.00277972
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00324066	0.00556352
2	0.140065	0.0334096
3	0.0968115	0.0286013
4	0.0964521	0.0293443
5	0.023009	0.016228
6	0.0473881	0.0195138
7	0.0841165	0.0260547
8	0.0379576	0.0175086
9	0.0463119	0.0213633
10	0.0602903	0.0237426
11	0.0171331	0.015638
12	0.0889207	0.0270241
13	0.0144073	0.0133679
14	0.0182287	0.0124876
15	0.0133204	0.0119718
16	0.0200253	0.016412
17	0.0825417	0.0276989
18	0.010911	0.00848667
19	0.0200204	0.0132793
