POP	IND	HAP	Dlulu276	Dlulu276	Dlu233	Dlu233	Dlu434	Dlu434	Dlu27	Dlu27	Dlu409	Dlu409	Dlu257	Dlu257	Dlu4184	Dlu4184	Dlu209	Dlu209	Dlu229	Dlu229	Dlu4300	Dlu4300	Dlu245	Dlu245	Dlu230	Dlu230	Dlu482	Dlu482	Dlu4153	Dlu4153	Dlu4235	Dlu4235	Dlu456	Dlu456
S1	0001	JX871904	117	121	127	137	242	250	193	193	180	212	167	183	198	202	138	148	126	134	254	266	191	191	106	106	168	184	203	227	247	279	210	234
S1	0002	JX871905	117	121	125	127	234	250	193	193	152	172	177	179	190	202	138	146	126	126	210	314	191	191	104	104	168	172	211	215	219	267	202	206
S1	0003	JX871904	121	127	125	127	246	246	193	193	152	212	173	183	194	198	138	146	126	134	230	234	187	191	104	104	160	164	219	223	263	283	190	202
S1	0004	JX871904	121	123	127	127	222	222	193	193	152	208	175	181	210	226	138	138	132	132	215	254	191	191	104	106	172	184	219	239	215	263	202	222
S1	0005	JX871929	121	121	125	125	222	262	193	193	152	200	177	183	182	210	138	138	134	134	215	262	191	191	104	104	160	208	207	211	199	259	182	182
S1	0006	JX871904	117	121	125	127	234	258	193	193	144	168	181	189	226	242	138	146	126	126	258	266	191	191	104	104	156	180	231	235	219	271	194	206
S1	0007	JX871904	121	123	127	127	230	230	193	193	168	172	185	185	206	206	138	146	134	134	270	270	191	191	104	106	164	172	223	227	199	243	158	206
S1	0008	JX871930	117	121	125	127	230	242	193	193	160	168	175	187	226	226	146	146	126	134	246	282	191	191	104	104	160	176	219	227	227	251	210	230
S1	0009	x	121	123	125	127	230	234	193	193	168	188	181	189	202	226	138	146	126	134	0	0	191	191	104	106	156	160	207	231	215	271	222	246
S1	0010	x	117	121	125	127	234	250	193	193	160	184	179	185	194	206	146	146	126	134	246	258	191	191	104	104	164	168	215	231	207	251	182	222
S1	0011	x	121	121	125	125	234	246	193	193	200	208	173	173	206	206	146	146	126	134	238	250	191	191	104	104	156	156	211	211	215	223	206	210
S1	0012	x	121	121	125	137	230	246	193	193	168	172	173	179	198	206	138	146	126	134	250	250	191	191	104	104	160	164	211	219	211	259	234	242
S1	0013	x	117	121	127	129	250	250	193	193	152	188	177	183	194	210	138	146	120	134	254	262	191	191	106	106	160	176	207	227	227	255	218	222
