Chain #2
Seed for random number generator: 2 51 43 1 13

Acceptance rates for chain #2 (%)
ptild: 30.9383
theta: 31.9612
p: 29.5597
F: 35.9949
Mt: 11.6287
nm: 28.5171
m: 48.5857

Migration rates
Into/From	1	2	3	4
1	0.47668	0.25985	0.0391295	0.224341
2	0.0553512	0.453713	0.00987323	0.481063
3	0.0152523	0.0418139	0.840521	0.102413
4	1.84808e-007	1.83576e-007	1.83521e-007	0.999999
Standard deviation
1	0.0742967	0.0801528	0.03164	0.0804288
2	0.0279726	0.0510791	0.00935279	0.0510987
3	0.0156118	0.0377507	0.0512163	0.0491403
4	3.4728e-007	3.45335e-007	3.38458e-007	6.96938e-007

Inbreeding coefficients
Population	Mean	Sd
1	0.0589667	0.0454605
2	0.0373131	0.0321845
3	0.0128968	0.0123077
4	0.0114109	0.00983224

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.537024	0.0644252
2	0.128291	0.0459875
3	0.0885458	0.0350632
4	0.0255495	0.0160392
5	0.0320071	0.0223736
6	0.0126972	0.0112421
7	0.0371929	0.0246095
8	0.0195045	0.0145593
9	0.0415837	0.0247718
10	0.0266137	0.0200782
11	0.0110938	0.012085
12	0.01263	0.0113629
13	0.0131493	0.0112253
14	0.0141179	0.0114054
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.414758	0.0677076
2	0.242249	0.0621076
3	0.0418058	0.0205707
4	0.0639461	0.0283177
5	0.0858383	0.039927
6	0.0117912	0.0116548
7	0.0125629	0.0117227
8	0.0211983	0.0173764
9	0.0209004	0.0174591
10	0.00892616	0.0101792
11	0.016139	0.014544
12	0.0107787	0.0119353
13	0.00623022	0.00847627
14	0.00734471	0.0093498
15	0.00936619	0.0108445
16	0.0261659	0.0161022
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0312062	0.0229513
2	0.252684	0.0626796
3	0.0811405	0.0368889
4	0.0430692	0.0220423
5	0.0634983	0.0284781
6	0.0431764	0.0213786
7	0.0143252	0.0115812
8	0.255779	0.0565836
9	0.0257736	0.020903
10	0.00988937	0.0123508
11	0.00919103	0.0102018
12	0.0516719	0.0264827
13	0.047705	0.0295125
14	0.0184893	0.0144458
15	0.0230191	0.0161802
16	0.0113024	0.0130773
17	0.0121468	0.0111855
18	0.00593226	0.00772919
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.0461514	0.0268124
2	0.0616091	0.0287793
3	0.0993575	0.0375343
4	0.0321633	0.0223825
5	0.0167663	0.0127874
6	0.0936649	0.0333638
7	0.0744378	0.0385265
8	0.0444224	0.0246898
9	0.0452371	0.0266487
10	0.0129031	0.0142239
11	0.0276404	0.0192789
12	0.049007	0.0289874
13	0.0552361	0.0306588
14	0.0386288	0.023231
15	0.0694851	0.0311766
16	0.018201	0.0157499
17	0.0261701	0.0172992
18	0.0142742	0.0125903
19	0.0536765	0.0293589
20	0.0161107	0.0154281
21	0.0299431	0.0194831
22	0.0141992	0.0141115
23	0.0230368	0.0147585
24	0.00938425	0.0111285
25	0.00912881	0.0105296
26	0.00701362	0.00982725
27	0.00699992	0.00878235
28	0.00515177	0.00734306
At locus 5
1	0.0380957	0.0244846
2	0.0445112	0.0252744
3	0.0768752	0.0358458
4	0.124076	0.0453225
5	0.0605225	0.0336821
6	0.129434	0.0450515
7	0.0947456	0.0385654
8	0.0448802	0.0274769
9	0.0920738	0.0414082
10	0.138963	0.0483805
11	0.0508853	0.0304683
12	0.0943486	0.0354942
13	0.0105883	0.0120426
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.0973727	0.0415596
2	0.11672	0.0386536
3	0.109849	0.0428892
4	0.0636197	0.0297558
5	0.0442674	0.0276492
6	0.0861712	0.0329116
7	0.0912331	0.0358255
8	0.17559	0.0484525
9	0.0536921	0.0294154
10	0.0621737	0.0320011
11	0.0252144	0.0194532
12	0.0200086	0.0160515
13	0.0367162	0.0239889
14	0.0141031	0.0113351
15	0.00326905	0.0064732
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0329548	0.0222242
2	0.0372346	0.0238776
3	0.158528	0.0534981
4	0.120914	0.0402687
5	0.188436	0.0494822
6	0.0129027	0.0109894
7	0.0223387	0.0143761
8	0.0204646	0.0179046
9	0.0160149	0.0144611
10	0.0451132	0.0265901
11	0.108452	0.0415154
12	0.0771677	0.0371007
13	0.0351148	0.0220579
14	0.0151403	0.0136814
15	0.0127739	0.0134638
16	0.0217378	0.017229
17	0.00742255	0.0091768
18	0.00821117	0.0100404
19	0.00729957	0.00953376
20	0.00749732	0.00954535
21	0.0121304	0.0108952
22	0.0130566	0.0114108
23	0.013582	0.0112764
24	0.00551234	0.00761211
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.122084	0.0435552
2	0.0653151	0.0331698
3	0.0632719	0.0322567
4	0.156975	0.0440205
5	0.123957	0.0445229
6	0.186745	0.0511586
7	0.0141274	0.0115242
8	0.0263122	0.0188565
9	0.0393025	0.032129
10	0.0384254	0.0247151
11	0.0194981	0.0143986
12	0.0445335	0.0231939
13	0.0151374	0.0133281
14	0.0150268	0.0144808
15	0.0136281	0.0138474
16	0.0309903	0.0190879
17	0.0115527	0.0123004
18	0.0131172	0.0112912
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.238434	0.0579614
2	0.0278987	0.0207224
3	0.246656	0.0539255
4	0.154956	0.0484853
5	0.29946	0.0619132
6	0.0215724	0.0150692
7	0.00553152	0.00756965
8	0.00549167	0.00744944
