iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1000100	-6197.67	-8294.64	-45.4565	7.16704	2161.93	-26.6742
1000200	-6210.98	-8292.08	-54.9908	7.16704	2154.65	-25.7224
1000300	-6209.43	-8318.95	-45.3193	7.16704	2173.1	-25.4281
1000400	-6195.78	-8314.23	-51.4277	7.16704	2190.82	-28.103
1000500	-6214.84	-8297.08	-49.9242	7.16704	2152.48	-27.4821
1000600	-6168.81	-8307.95	-46.343	7.16704	2205.07	-26.7566
1000700	-6141.36	-8311.79	-50.3503	7.16704	2242.54	-28.9351
1000800	-6122.23	-8291.48	-39.2581	7.16704	2229.04	-27.6928
1000900	-6164.48	-8307.51	-49.4161	7.16704	2211.51	-26.2294
1001000	-6191.81	-8300.17	-48.7698	7.16704	2175.23	-25.2638
1001100	-6214.26	-8306.36	-49.0218	7.16704	2157.68	-23.7355
1001200	-6200.23	-8279.09	-48.6219	7.16704	2143.95	-23.6366
1001300	-6201.51	-8304.75	-47.1471	7.16704	2167.21	-23.9894
1001400	-6202.5	-8284.26	-46.3545	7.16704	2146.05	-25.0965
1001500	-6202.41	-8313.99	-43.959	7.16704	2174.61	-26.2394
1001600	-6213.53	-8319.92	-43.6074	7.16704	2168.36	-25.5242
1001700	-6196.32	-8261.88	-53.8365	7.16704	2135.37	-23.1406
1001800	-6236.21	-8276.42	-56.9439	7.16704	2113.45	-23.4673
1001900	-6213.47	-8298.46	-41.2936	7.16704	2144.16	-25.0494
1002000	-6210.38	-8303.09	-64.4063	7.16704	2176.3	-26.3531
1002100	-6245.72	-8299.55	-48.1444	7.16704	2119.75	-24.9361
1002200	-6234.35	-8312.19	-48.388	7.16704	2143.88	-24.8206
1002300	-6228.82	-8290.8	-53.1271	7.16704	2133.62	-25.6822
1002400	-6196.83	-8293.69	-52.1534	7.16704	2169.56	-27.7109
1002500	-6178.15	-8275.98	-48.3616	7.16704	2162.57	-23.5409
1002600	-6173.49	-8285.16	-43.9326	7.16704	2172.74	-24.2977
1002700	-6172.43	-8276.78	-53.2684	7.16704	2173.96	-23.5109
1002800	-6155.85	-8267.92	-56.4791	7.16704	2186.43	-25.0421
1002900	-6146.48	-8282.92	-60.2256	7.16704	2215.01	-25.5056
1003000	-6195.19	-8311.62	-51.7261	7.16704	2186.74	-25.7529
1003100	-6203.78	-8297.38	-44.8514	7.16704	2157.64	-26.3537
1003200	-6185.75	-8284.02	-50.3981	7.16704	2167.57	-26.0704
1003300	-6194.84	-8308.65	-43.1582	7.16704	2175.01	-25.21
1003400	-6147.29	-8265.05	-41.267	7.16704	2176.34	-24.4809
1003500	-6180.55	-8273.31	-54.7895	7.16704	2162.25	-21.8772
1003600	-6160.89	-8275.16	-55.316	7.16704	2184.8	-22.393
1003700	-6195.7	-8296.94	-52.4745	7.16704	2168.45	-21.9114
1003800	-6168.79	-8294.56	-45.1145	7.16704	2186.71	-22.9849
1003900	-6133.28	-8264.25	-38.3418	7.16704	2184.23	-22.0861
1004000	-6179.17	-8261.12	-48.0944	7.16704	2145.14	-22.2673
1004100	-6180.5	-8281.48	-52.0339	7.16704	2168.92	-23.0738
1004200	-6198.31	-8266.63	-54.7156	7.16704	2141.1	-25.2362
1004300	-6242.9	-8311.23	-46.7655	7.16704	2131.06	-23.1347
1004400	-6215.37	-8296.72	-44.4431	7.16704	2143.36	-24.7309
