Chain #7
Seed for random number generator: 7 51 43 1 13

Acceptance rates for chain #7 (%)
ptild: 28.8577
theta: 27.0689
p: 28.9949
F: 38.9201
Mt: 14.9907
nm: 37.7001
m: 43.7319

Migration rates
Into/From	1	2	3	4
1	0.398161	0.193551	0.0993466	0.308941
2	0.251899	0.469901	0.0338187	0.244381
3	1.61802e-008	1.62247e-008	1	1.62402e-008
4	0.236327	0.28158	0.100075	0.382018
Standard deviation
1	0.133964	0.0933988	0.0531644	0.145128
2	0.179452	0.0603587	0.0253367	0.161239
3	2.04022e-008	2.05844e-008	-1.#IND	2.06502e-008
4	0.167275	0.138029	0.0564913	0.213395

Inbreeding coefficients
Population	Mean	Sd
1	0.0454378	0.0388602
2	0.0306359	0.0273617
3	0.0104819	0.00964752
4	0.0474534	0.0415197

Allele frequencies	Mean	Sd
In population 1
At locus 1
1	0.587427	0.0760833
2	0.150879	0.0473927
3	0.0717188	0.0369371
4	0.010828	0.0139216
5	0.038483	0.0274508
6	0.00627549	0.00886848
7	0.0453442	0.0255399
8	0.00966915	0.0118427
9	0.0267335	0.0202236
10	0.018755	0.0159813
11	0.0161404	0.0150404
12	0.00566091	0.00857458
13	0.00612616	0.00871333
14	0.00595989	0.00834299
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.381349	0.0801328
2	0.333371	0.0976959
3	0.0178862	0.0205966
4	0.0524741	0.029541
5	0.0945535	0.0424353
6	0.00605719	0.00845478
7	0.00576088	0.00874425
8	0.0196393	0.0164076
9	0.032482	0.0250148
10	0.00743634	0.00944057
11	0.0103066	0.0110795
12	0.00975812	0.010568
13	0.00588802	0.00746513
14	0.00296633	0.0053771
15	0.00681388	0.00829908
16	0.013257	0.0154992
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0343128	0.0232626
2	0.321031	0.0833221
3	0.0901144	0.0558339
4	0.0227647	0.0213484
5	0.043428	0.0282073
6	0.0187638	0.0217743
7	0.00643174	0.00895783
8	0.240608	0.0622851
9	0.0381687	0.0267858
10	0.0128803	0.0151866
11	0.00523703	0.00768498
12	0.0400393	0.0280039
13	0.078673	0.0424455
14	0.0101408	0.0119882
15	0.0135121	0.014371
16	0.0142421	0.0127408
17	0.00562363	0.00795135
18	0.00402832	0.00649213
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.0605247	0.0330207
2	0.0527897	0.0284351
3	0.0867849	0.0403981
4	0.03289	0.0238124
5	0.0100273	0.0106613
6	0.0684423	0.0362277
7	0.0917271	0.0395731
8	0.0353078	0.0234196
9	0.0466107	0.0257614
10	0.0291384	0.0266357
11	0.0176348	0.015384
12	0.074955	0.0392151
13	0.0675782	0.0378344
14	0.032049	0.0224613
15	0.0593201	0.0308092
16	0.0233777	0.0227624
17	0.0130932	0.0148249
18	0.00889612	0.00975498
19	0.0678541	0.044627
20	0.0289515	0.0248201
21	0.0240624	0.017363
22	0.0161213	0.0139348
23	0.0105782	0.012719
24	0.00821427	0.0105638
25	0.0117554	0.0132116
26	0.0123966	0.0119891
27	0.00616065	0.00809074
28	0.0027585	0.00502364
At locus 5
1	0.0344366	0.0238441
2	0.0484348	0.0266444
3	0.0500591	0.0325649
4	0.126437	0.0445493
5	0.125321	0.0604552
6	0.144098	0.0456505
7	0.0728577	0.0350202
8	0.0485663	0.0269908
9	0.115992	0.0424197
10	0.117677	0.0463646
11	0.0654902	0.032389
12	0.0391614	0.0362483
13	0.0114698	0.0118478
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.113471	0.0450687
2	0.0679672	0.0438057
3	0.149744	0.0614507
4	0.0559134	0.0282479
5	0.060562	0.0330817
6	0.0767576	0.0319458
7	0.0943113	0.044259
8	0.158817	0.0482907
9	0.0603295	0.030324
10	0.0605721	0.0335803
11	0.0292103	0.0245866
12	0.0200938	0.020692
13	0.0409872	0.0265648
14	0.00673365	0.00922246
15	0.00453018	0.00672102
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0332732	0.0217214
2	0.035491	0.0220259
3	0.224568	0.0945278
4	0.118293	0.0419294
5	0.110385	0.0638065
6	0.0062725	0.00889554
7	0.00964505	0.0124031
8	0.0200769	0.0168872
9	0.0106872	0.0111961
10	0.0391937	0.0238406
11	0.104483	0.0438649
12	0.130176	0.0579632
13	0.0280405	0.01952
14	0.0125461	0.0131916
15	0.0309296	0.0292557
16	0.028495	0.026481
17	0.00990499	0.0113522
18	0.00964732	0.0103225
19	0.00827559	0.00938827
20	0.0072073	0.0086681
21	0.00598612	0.00854564
22	0.00575384	0.00829946
23	0.00538888	0.00773473
24	0.00528129	0.00746063
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.128465	0.0440942
2	0.0660928	0.0363255
3	0.0760454	0.0446817
4	0.125257	0.0447313
5	0.149407	0.0685184
6	0.138683	0.0682239
7	0.00633959	0.00865798
8	0.023886	0.017337
9	0.0836691	0.0402711
10	0.0541252	0.0360378
11	0.0097773	0.0117641
12	0.0256651	0.0225241
13	0.0127787	0.0134384
14	0.0256354	0.0225113
15	0.0219416	0.0203269
16	0.0312693	0.0224048
17	0.0150282	0.0156257
18	0.00593393	0.00866468
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.267693	0.0672838
2	0.0401545	0.0249513
3	0.226583	0.0549702
4	0.134356	0.0510284
5	0.313854	0.0655918
6	0.0104408	0.0127252
7	0.00351033	0.00591939
8	0.00340745	0.00575597
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0

In population 2
At locus 1
1	0.612423	0.0584259
2	0.171254	0.0461886
3	0.0539417	0.028495
4	0.00137077	0.00291752
5	0.0654585	0.0334771
6	0.00161703	0.00325292
7	0.0450324	0.0245134
8	0.00188536	0.00364817
9	0.015682	0.0136285
10	0.0118453	0.0124589
11	0.0157609	0.0157566
12	0.0013005	0.00276254
13	0.00122747	0.00259196
14	0.00120091	0.00256471
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.399465	0.0845886
2	0.338167	0.0766431
3	0.00228575	0.00390936
4	0.0415641	0.0248735
5	0.127497	0.0446204
6	0.00181927	0.00354784
7	0.00154533	0.00326042
8	0.0291834	0.0183181
9	0.025787	0.0260522
