Site No.,Long,Lat,PopID,Location
1,-119.108607,34.299011,LSCR,Lower Santa Clara River (west of the Piru Gap)
2,-119.05615,34.373897,LSCR,Lower Santa Clara River (west of the Piru Gap)
3,-118.927172,34.441886,LSCR,Lower Santa Clara River (west of the Piru Gap)
4,-118.67444,34.4055,VAL,"Upper Santa Clara River, Valencia-Del Valle Reach"
5,-118.674655,34.405137,VAL,"Upper Santa Clara River, Valencia-Del Valle Reach"
6,-118.52922,34.5274,SFC,"Upper Santa Clara River, San Francisquito Canyon tributary"
7,-118.6353,34.41875,VAL,"Upper Santa Clara River, Valencia-Del Valle Reach"
8,-118.5765,34.42671,VAL,"Upper Santa Clara River, Valencia-Del Valle Reach"
9,-118.221828,34.283402,BTC,"Los Angeles River, Big Tujunga Canyon"
10,-118.224208,34.284447,BTC,"Los Angeles River, Big Tujunga Canyon"
11,-118.232071,34.288469,BTC,"Los Angeles River, Big Tujunga Canyon"
12,-118.34907,34.26767,HAC,"Los Angeles River, Haines Creek tributary"
13,-117.76898,34.22934,SGR,"East Fork San Gabriel River, Cattle Canyon tributary"
14,-117.81924,34.23656,SGR,"East Fork San Gabriel River, Fire Camp"
16,-117.39451,33.99105,SAR,"Santa Ana River, Mission Blvd. bridge crossing"
15,-117.431917,33.969003,SAR,"Santa Ana River, Sunny Slope Channel"
