npops=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nloci=16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1212,,701,,2064,,95,,1587,,2062,,29,,3090,,1235,,1714,,1977,,Cs290,,Dlu4171,,Dlu4131,,Dlu416,,Dlu434,
pop = SFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFC_01,148,148,169,178,251,251,171,171,150,150,149,158,163,175,213,213,284,284,205,205,195,197,235,292,131,139,135,135,155,211,?,?
SFC_02,148,148,178,181,251,257,171,177,150,150,149,158,163,175,213,219,287,353,209,209,195,197,231,235,131,139,135,135,187,215,?,?
SFC_03,148,148,181,181,257,257,171,171,150,150,149,158,151,163,219,219,236,236,209,209,195,197,231,235,131,139,135,135,215,215,?,?
SFC_04,148,148,178,178,251,257,171,177,147,150,149,149,151,167,213,219,236,284,209,209,195,197,279,288,135,139,135,135,155,207,?,?
SFC_05,148,148,181,181,257,257,171,177,150,150,149,158,151,163,207,213,287,353,209,209,197,197,231,235,131,139,135,135,187,227,?,?
SFC_06,148,148,178,181,251,251,171,171,150,150,149,158,163,175,213,219,236,350,205,205,195,197,235,235,131,139,135,135,155,215,?,?
SFC_07,148,148,178,181,251,257,177,177,150,150,149,158,151,163,213,219,236,353,209,209,195,197,231,231,131,139,135,135,155,211,?,?
SFC_08,148,148,178,178,251,251,171,171,150,150,149,158,151,167,213,219,236,281,205,205,197,197,231,231,131,135,135,135,155,155,?,?
SFC_09,148,148,181,181,251,251,171,171,150,150,149,158,151,175,207,219,353,356,209,209,195,197,235,235,131,135,135,135,215,235,?,?
SFC_10,148,148,178,178,251,251,171,177,150,150,149,158,163,163,213,219,284,353,209,209,195,197,235,235,131,131,135,135,187,227,?,?
SFC_11,148,148,178,178,251,251,177,177,150,150,158,158,163,167,207,219,353,353,209,209,195,195,231,231,131,131,135,135,211,227,?,?
SFC_12,148,148,178,178,251,257,171,171,150,150,158,158,167,167,213,219,233,353,209,209,195,197,231,235,131,135,135,135,211,215,?,?
SFC_13,148,148,178,181,251,257,171,171,147,150,158,158,167,175,213,219,236,353,209,209,195,197,231,235,131,139,135,135,211,215,?,?
SFC_14,148,148,178,181,251,251,171,177,150,150,149,158,163,175,207,213,287,353,209,209,197,197,239,239,131,139,135,135,187,227,?,?
SFC_15,148,148,178,178,251,251,171,171,150,150,149,158,175,175,213,219,236,284,209,209,195,197,231,235,131,139,135,135,187,187,?,?
SFC_16,148,148,178,178,251,257,177,177,150,150,158,158,167,175,207,219,236,353,209,209,195,195,231,231,131,131,135,135,155,227,?,?
SFC_17,148,148,178,178,251,251,171,171,150,150,149,158,163,167,213,219,233,284,209,209,195,195,231,235,135,139,135,135,211,215,?,?
SFC_18,148,148,178,181,251,257,171,171,150,150,149,158,175,175,213,219,236,236,209,209,193,195,235,235,131,135,135,135,155,215,?,?
SFC_19,148,148,178,181,251,257,171,177,150,150,149,158,151,167,213,213,284,353,209,209,195,195,231,235,131,131,135,135,215,227,?,?
SFC_20,148,148,178,178,251,251,171,177,150,150,149,158,163,175,213,219,284,350,209,209,195,197,231,235,131,139,135,135,211,215,?,?
SFC_21,148,148,181,181,251,257,171,177,150,150,149,158,151,175,207,213,284,353,209,209,195,197,231,235,131,139,135,135,187,211,?,?
SFC_22,148,148,181,181,251,257,171,171,150,150,149,158,151,151,213,219,284,350,209,209,197,197,235,235,131,131,135,135,187,191,?,?
SFC_23,148,148,178,178,251,257,177,177,150,150,149,158,167,167,213,213,335,353,209,209,195,195,235,292,131,135,135,135,215,227,?,?
SFC_24,148,148,178,178,251,257,171,177,150,150,158,158,167,167,213,219,236,284,205,205,195,197,235,235,131,135,135,135,215,215,?,?
pop = VAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL_01,148,148,169,178,251,251,162,171,141,150,149,158,163,167,207,207,335,356,205,215,197,197,231,292,131,139,131,131,158,211,?,?
VAL_02,148,148,169,181,251,251,171,171,141,150,158,158,167,167,207,219,284,359,209,209,195,197,279,283,131,135,131,131,155,158,?,?
VAL_03,148,148,169,178,251,251,171,171,141,150,149,158,167,167,213,219,356,356,205,205,197,197,231,291,131,139,135,135,155,187,?,?
VAL_04,140,148,169,181,251,257,162,171,141,150,149,158,163,167,207,219,284,356,195,209,195,195,227,231,131,135,131,135,158,223,?,?
VAL_05,148,148,169,178,257,257,171,171,141,150,149,158,163,163,213,213,284,284,209,209,195,197,231,279,131,139,135,135,187,235,?,?
VAL_06,148,148,169,178,257,257,162,171,141,150,149,158,163,167,213,219,350,350,197,209,197,197,231,279,135,139,135,135,227,227,?,?
VAL_07,148,148,169,178,239,251,171,171,141,150,158,158,163,175,213,213,236,236,209,209,197,197,231,231,127,131,135,135,211,227,?,?
VAL_08,148,148,169,169,257,257,171,171,141,150,149,149,175,175,207,219,284,284,205,205,197,197,231,295,135,139,135,135,187,187,238,238
VAL_09,148,148,169,178,251,251,171,171,150,150,149,149,151,163,207,219,236,236,209,209,197,197,231,279,139,139,135,135,155,155,?,?
VAL_10,148,148,178,181,251,251,171,171,150,150,149,149,151,151,213,219,284,284,205,205,197,197,231,287,127,135,135,135,187,211,?,?
VAL_11,148,148,169,178,251,251,171,171,150,150,149,158,163,167,207,213,236,284,209,209,195,197,231,231,127,135,135,135,155,155,?,?
VAL_12,148,148,169,178,251,251,171,171,150,150,149,158,163,167,213,213,236,284,205,205,195,197,231,291,127,135,135,135,211,211,?,?
VAL_13,148,148,169,178,251,251,171,171,150,150,149,149,167,175,207,207,233,236,209,209,197,197,231,231,131,135,135,135,191,207,?,?
VAL_14,148,148,181,181,251,257,171,171,150,150,149,158,163,163,213,213,236,236,209,209,197,197,291,291,127,135,135,135,155,227,?,?
VAL_15,148,148,169,178,251,251,171,171,150,150,149,149,163,167,213,213,236,281,209,209,197,197,231,291,131,139,135,135,155,215,?,?
VAL_16,148,148,178,178,251,251,171,171,150,150,149,158,151,167,213,213,284,284,209,209,197,197,231,231,131,139,135,135,155,155,?,?
VAL_17,148,148,169,169,251,251,171,171,150,150,158,158,163,167,213,213,236,236,205,205,197,197,231,291,131,135,135,135,155,155,?,?
VAL_18,148,148,178,181,251,251,171,171,150,150,149,158,151,163,213,213,236,236,209,209,197,197,231,279,131,139,135,135,187,211,?,?
VAL_19,148,148,178,178,251,251,171,171,150,150,149,149,151,163,207,213,236,236,209,209,195,197,231,279,127,135,135,135,155,215,?,?
VAL_20,148,148,169,178,251,251,171,177,150,150,149,158,151,151,207,213,236,284,209,209,195,197,231,291,131,139,135,135,155,207,?,?
VAL_21,148,148,169,178,251,251,171,171,150,150,149,149,151,163,213,213,284,335,209,209,195,197,231,231,127,135,135,135,155,227,?,?
VAL_22,148,148,169,178,251,251,171,177,150,150,149,149,151,163,207,207,284,284,205,205,195,197,235,291,135,139,135,135,191,215,?,?
VAL_23,148,148,178,178,251,251,171,171,150,150,149,149,151,163,213,219,236,284,209,209,195,197,231,235,131,139,135,135,155,211,?,?
VAL_24,148,148,178,178,251,257,171,171,150,150,149,149,151,175,213,213,236,236,209,209,195,195,279,287,131,135,135,135,155,191,?,?
VAL_25,148,148,178,178,251,251,171,177,150,150,149,149,163,175,207,207,236,284,205,205,197,197,231,231,135,139,135,135,187,215,?,?
VAL_26,148,148,169,178,251,251,171,171,150,150,149,158,163,167,213,219,233,233,209,209,195,197,231,231,131,139,135,135,155,227,?,?
VAL_27,148,148,169,178,251,251,171,171,150,150,149,149,151,163,207,213,284,338,209,209,197,197,291,291,131,139,135,135,155,207,?,?
VAL_28,148,148,169,181,251,251,171,171,150,150,149,149,167,175,219,219,284,284,205,205,195,197,231,291,127,131,135,135,155,227,?,?
VAL_29,148,148,178,181,251,251,171,171,150,150,158,158,167,167,207,207,233,236,209,209,195,197,231,279,131,139,135,135,155,187,?,?
VAL_30,148,148,169,178,251,251,171,171,150,150,149,149,167,175,213,213,284,284,205,205,197,197,231,287,131,135,135,135,187,187,?,?
VAL_31,148,148,178,181,251,251,171,171,150,150,149,158,151,151,213,219,335,347,205,205,195,197,231,231,131,139,135,135,155,227,?,?
VAL_32,148,148,169,181,251,257,171,171,150,150,149,149,151,151,207,219,284,284,209,209,195,197,279,291,135,139,135,135,187,215,?,?
VAL_33,148,148,169,169,251,251,171,171,150,150,158,158,175,175,207,207,356,356,209,209,197,197,223,231,135,135,135,135,187,187,?,?
VAL_34,148,148,169,178,251,251,171,171,150,150,149,158,151,151,213,219,236,284,205,205,197,197,231,287,131,131,135,135,155,211,?,?
VAL_35,148,148,169,181,251,251,171,177,150,150,149,149,151,163,213,213,284,335,205,205,195,197,287,295,135,139,135,135,211,215,?,?
VAL_36,148,148,169,178,251,251,171,171,150,150,158,158,167,167,207,219,236,236,209,209,197,197,231,292,131,135,135,135,215,215,?,?
VAL_37,148,148,169,178,251,251,171,171,150,150,158,158,167,175,207,213,284,284,205,205,197,197,231,283,131,131,135,135,155,155,?,?
VAL_38,148,148,178,181,251,251,171,171,141,141,158,158,167,175,213,219,236,335,209,209,195,195,231,231,135,139,135,135,187,227,?,?
VAL_39,148,148,169,178,251,251,171,171,150,150,158,158,175,175,213,213,284,284,205,205,197,197,231,239,131,139,135,135,155,227,?,?
