# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
V05	73	9.59716	0.48838	0.00594	0.88667	0.02354	0.00130	0.14976	0.04579	0.00182	0.85024	0.04579	0.00182	0.15389	0.03543	0.00160	0.84611	0.03543	0.00160	0.16257	0.03954	0.00169	0.03882	0.06973	0.00594
V03	117	9.58407	0.51809	0.00592	0.88383	0.02322	0.00125	0.15508	0.04648	0.00177	0.84492	0.04648	0.00177	0.15891	0.03529	0.00155	0.84109	0.03529	0.00155	0.16794	0.03941	0.00163	0.03910	0.07261	0.00592
V02	155	9.61885	0.50107	0.00587	0.88904	0.02296	0.00126	0.15698	0.04999	0.00185	0.84302	0.04999	0.00185	0.15138	0.03481	0.00155	0.84862	0.03481	0.00155	0.15990	0.03884	0.00164	0.01371	0.06195	0.00587
V01	13	7.61845	0.23599	0.00482	0.90281	0.02151	0.00146	0.14270	0.04804	0.00217	0.85730	0.04804	0.00217	0.13247	0.03301	0.00180	0.86753	0.03301	0.00180	0.14193	0.03790	0.00193	0.00075	0.04500	0.00482
V04	85	9.68583	0.41574	0.00548	0.88971	0.02321	0.00129	0.15010	0.04762	0.00185	0.84990	0.04762	0.00185	0.14984	0.03508	0.00159	0.85016	0.03508	0.00159	0.15819	0.03909	0.00168	0.02613	0.06569	0.00548
M05	113	9.63187	0.44777	0.00567	0.83195	0.02487	0.00134	0.24446	0.05583	0.00200	0.75554	0.05583	0.00200	0.22988	0.03473	0.00158	0.77012	0.03473	0.00158	0.24264	0.03869	0.00167	0.00521	0.08188	0.00567
M01	111	9.66585	0.44858	0.00562	0.83522	0.02410	0.00130	0.23115	0.05082	0.00189	0.76885	0.05082	0.00189	0.22706	0.03386	0.00154	0.77294	0.03386	0.00154	0.23956	0.03768	0.00163	0.02843	0.08422	0.00562
M02	56	9.01222	0.46198	0.00609	0.83619	0.02425	0.00140	0.22929	0.05047	0.00201	0.77071	0.05047	0.00201	0.22545	0.03437	0.00166	0.77455	0.03437	0.00166	0.23882	0.03857	0.00176	0.02934	0.08195	0.00609
M03	364	9.44335	0.65918	0.00614	0.83856	0.02273	0.00114	0.22764	0.04753	0.00165	0.77236	0.04753	0.00165	0.22529	0.03148	0.00134	0.77471	0.03148	0.00134	0.23802	0.03509	0.00142	0.03476	0.08669	0.00614
M04	62	8.86326	0.13439	0.00322	0.83496	0.02453	0.00138	0.23492	0.05229	0.00201	0.76508	0.05229	0.00201	0.22654	0.03457	0.00163	0.77346	0.03457	0.00163	0.24015	0.03884	0.00173	0.01881	0.07991	0.00322
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
V05	73	3159715	13859	6497	0.20562	9.49992	0.60095	0.00044	0.99950	0.00016	0.00001	0.00066	0.00030	0.00001	0.99934	0.00030	0.00001	0.00067	0.00026	0.00001	0.99933	0.00026	0.00001	0.00071	0.00029	0.00001	0.00017	0.00031	0.00044
V03	117	3399949	14779	7246	0.21312	9.50943	0.60814	0.00042	0.99950	0.00016	0.00001	0.00067	0.00031	0.00001	0.99933	0.00031	0.00001	0.00069	0.00026	0.00001	0.99931	0.00026	0.00001	0.00073	0.00029	0.00001	0.00017	0.00032	0.00042
V02	155	3364787	14527	6792	0.20186	9.51222	0.62725	0.00043	0.99952	0.00015	0.00001	0.00068	0.00032	0.00001	0.99932	0.00032	0.00001	0.00065	0.00025	0.00001	0.99935	0.00025	0.00001	0.00069	0.00028	0.00001	0.00006	0.00027	0.00043
V01	13	2235051	10156	4122	0.18443	7.67826	0.21873	0.00031	0.99956	0.00014	0.00001	0.00065	0.00031	0.00001	0.99935	0.00031	0.00001	0.00060	0.00023	0.00001	0.99940	0.00023	0.00001	0.00064	0.00026	0.00001	0.00000	0.00020	0.00031
V04	85	2997525	13843	6327	0.21107	9.66429	0.46312	0.00039	0.99949	0.00016	0.00001	0.00069	0.00032	0.00001	0.99931	0.00032	0.00001	0.00069	0.00027	0.00001	0.99931	0.00027	0.00001	0.00073	0.00030	0.00001	0.00012	0.00031	0.00039
M05	113	2905225	13927	9862	0.33946	9.71811	0.40055	0.00037	0.99919	0.00025	0.00001	0.00117	0.00055	0.00001	0.99883	0.00055	0.00001	0.00110	0.00042	0.00001	0.99890	0.00042	0.00001	0.00116	0.00047	0.00001	0.00002	0.00039	0.00037
M01	111	2984421	14209	10140	0.33976	9.67817	0.45592	0.00039	0.99922	0.00024	0.00001	0.00110	0.00050	0.00001	0.99890	0.00050	0.00001	0.00108	0.00041	0.00001	0.99892	0.00041	0.00001	0.00114	0.00045	0.00001	0.00014	0.00040	0.00039
M02	56	2603622	12439	8706	0.33438	9.02562	0.43728	0.00041	0.99922	0.00024	0.00001	0.00110	0.00049	0.00001	0.99890	0.00049	0.00001	0.00108	0.00041	0.00001	0.99892	0.00041	0.00001	0.00114	0.00046	0.00001	0.00014	0.00040	0.00041
M03	364	3840950	17485	13194	0.34351	9.41736	0.69493	0.00043	0.99927	0.00022	0.00001	0.00104	0.00045	0.00001	0.99896	0.00045	0.00001	0.00103	0.00037	0.00001	0.99897	0.00037	0.00001	0.00108	0.00042	0.00001	0.00016	0.00040	0.00043
M04	62	2718707	12974	9079	0.33395	8.89089	0.12002	0.00021	0.99921	0.00025	0.00001	0.00112	0.00051	0.00001	0.99888	0.00051	0.00001	0.00108	0.00041	0.00001	0.99892	0.00041	0.00001	0.00115	0.00046	0.00001	0.00009	0.00038	0.00021
