Individual	Population	Location	Sex	Environment	CV1	CV2	CV3	CV4	CV5	CV6	CV7
GLD18aM	GLD	Lake	M	Lake	0.034383051	-2.202507321	0.010842163	0.213803938	0.730323602	-0.164003552	-0.436149535
GLD19aF	GLD	Lake	F	Lake	0.778049746	-2.750281923	-1.393065756	2.266826441	0.131788088	-0.004011933	-2.118287052
GLD20aF	GLD	Lake	F	Lake	-1.105748042	-3.218215601	-2.442127804	-0.006603691	-0.063705874	-0.005764127	0.076996475
GLD21aF	GLD	Lake	F	Lake	-0.072581588	0.678908798	-2.20995659	-0.701102999	-1.009890296	1.50509673	-2.812536315
GLD22aF	GLD	Lake	F	Lake	-0.175977201	-2.809857086	0.584296113	1.531204506	-0.015519887	3.102298331	0.666702052
GLD23aM	GLD	Lake	M	Lake	0.095848441	-3.434038382	-1.636219675	0.116747229	0.780291132	0.028326966	0.640429372
GLD24aM	GLD	Lake	M	Lake	-0.870878456	-1.657395299	0.084860607	1.20303093	-1.601371457	1.115127379	-0.294705779
GLD25aF	GLD	Lake	F	Lake	1.099660538	-2.740362365	-3.078773826	-1.926151772	-0.445615152	3.688033148	1.012800395
GLD26aM	GLD	Lake	M	Lake	-1.399272518	-1.29355234	-0.965776262	-0.273547576	1.434279522	-1.401034455	-1.851433032
LWC10aF	LWC	Downstream	F	Stream	-2.156350549	0.125651216	-0.055309321	0.062753626	1.055501534	-0.293670579	0.802464872
LWC11aF	LWC	Downstream	F	Stream	-2.02119944	-0.198007196	0.321462891	-0.073434299	0.558386205	1.233568875	-1.231392713
LWC12aF	LWC	Downstream	F	Stream	-1.246018791	-0.82318076	-0.805943305	-1.301208282	-0.92930204	1.651999824	-0.204322985
LWC01aM	LWC	Downstream	M	Stream	-1.44380972	0.762768474	0.973170079	1.266488373	1.028048312	0.356341187	-0.222066292
LWC02aF	LWC	Downstream	F	Stream	-0.210836433	0.712462659	0.729741974	-2.122738213	1.201130538	0.863061122	-0.711497959
LWC03aF	LWC	Downstream	F	Stream	-1.618899054	-0.208188807	0.885685679	-1.301935869	2.78085223	1.373821066	-3.296959536
LWC04aF	LWC	Downstream	F	Stream	0.015114753	-1.133019641	0.720707652	0.4921984	1.835435526	1.824344854	0.257626112
LWC05aF	LWC	Downstream	F	Stream	-1.055271759	-0.377876537	0.983621996	-0.750034373	1.907341124	0.799130294	-2.048475694
LWC06aM	LWC	Downstream	M	Stream	-1.695938634	0.239152258	0.646826805	-0.036784359	-0.017306406	-0.272676986	1.013027825
LWC07aM	LWC	Downstream	M	Stream	-1.354238818	0.585310798	0.169159596	-1.444414628	-0.64066714	0.160212004	0.47234767
LWC08aF	LWC	Downstream	F	Stream	-1.495418639	1.28125053	0.077042508	-0.206756626	1.785354865	-0.232696205	-0.022989309
LWC09aF	LWC	Downstream	F	Stream	-1.085879034	-1.867119356	0.357253338	0.36673721	-1.199861975	2.431615498	1.422347641
MKR10aF	MKR	Mainstem	F	Stream	-2.330867498	-0.906149364	-0.351194873	-1.437043424	-0.101872572	-1.699023314	-1.650691442
MKR11aF	MKR	Mainstem	F	Stream	-1.400078594	-0.657155924	-0.192223794	0.572627096	0.77580448	-1.076996217	0.28252192
MKR12aM	MKR	Mainstem	M	Stream	-1.739563722	-1.341896533	0.473791158	-0.071743381	0.672805442	-1.63616408	-0.881088689
MKR13aF	MKR	Mainstem	F	Stream	-1.116573633	-1.054733883	-0.432210856	1.275485224	0.107222582	1.269091765	-1.363602782
MKR14aM	MKR	Mainstem	M	Stream	-1.280488898	-0.365498934	0.397162506	-0.959034962	-0.178447162	-0.908464507	0.505664335
MKR15aF	MKR	Mainstem	F	Stream	-1.778963319	0.381720637	-0.844609634	0.60021991	-0.216568897	-0.006526111	-1.434770381
MKR16aM	MKR	Mainstem	M	Stream	-1.499810771	0.389158746	0.376070928	0.074350789	0.96722839	0.142878252	1.202517148
MKR01aM	MKR	Mainstem	M	Stream	-0.806496877	1.119709433	1.086599661	0.277331633	-0.712905563	-0.255115763	0.859366586
