Id	Environment	Individual	Lake -- Stream
GLD18aM	Lake	GLD18aM	-2.1289805917709916
GLD19aF	Lake	GLD19aF	-6.032128243156716
GLD20aF	Lake	GLD20aF	-5.976238226748791
GLD21aF	Lake	GLD21aF	-0.20507881583271648
GLD22aF	Lake	GLD22aF	-2.3373448014393996
GLD23aM	Lake	GLD23aM	-6.1982101878060085
GLD24aM	Lake	GLD24aM	-0.3658521539857912
GLD25aF	Lake	GLD25aF	-7.377586937100629
GLD26aM	Lake	GLD26aM	-0.9252651640763545
LWC10aF	Stream	LWC10aF	3.840670898975794
LWC11aF	Stream	LWC11aF	3.1501903056586125
LWC12aF	Stream	LWC12aF	0.4835288937694275
LWC01aM	Stream	LWC01aM	5.320401352899192
LWC02aF	Stream	LWC02aF	4.216737796494481
LWC03aF	Stream	LWC03aF	3.0423356620794317
LWC04aF	Stream	LWC04aF	0.603657350317488
LWC05aF	Stream	LWC05aF	2.755467768869021
LWC06aM	Stream	LWC06aM	4.71967949210886
LWC07aM	Stream	LWC07aM	4.5199503514256385
LWC08aF	Stream	LWC08aF	5.323825988861998
LWC09aF	Stream	LWC09aF	0.15904654016766617
MKR10aF	Stream	MKR10aF	1.5600200574507208
MKR11aF	Stream	MKR11aF	1.5988513028977653
MKR12aM	Stream	MKR12aM	1.349197915595461
MKR13aF	Stream	MKR13aF	-0.16197217560151966
MKR14aM	Stream	MKR14aM	3.058643708207246
MKR15aF	Stream	MKR15aF	2.504642855092399
MKR16aM	Stream	MKR16aM	4.423531618979329
MKR01aM	Stream	MKR01aM	6.128878949235613
MKR02aF	Stream	MKR02aF	0.9338260695478456
MKR03aF	Stream	MKR03aF	1.570572973923872
MKR04aF	Stream	MKR04aF	4.886556077746088
MKR05aF	Stream	MKR05aF	3.3596837516244693
MKR06aM	Stream	MKR06aM	3.7378751595073485
MKR07aF	Stream	MKR07aF	3.6132689933008724
MKR08aM	Stream	MKR08aM	5.766355912746626
MKR09aF	Stream	MKR09aF	3.943330909281171
UWC10aF	Stream	UWC10aF	0.9441278063191285
UWC11aF	Stream	UWC11aF	2.523582015045291
UWC12aM	Stream	UWC12aM	3.891165985271778
UWC13aM	Stream	UWC13aM	1.534313869647041
UWC14aM	Stream	UWC14aM	4.824920815675539
UWC15aF	Stream	UWC15aF	3.5732594372923105
UWC01aF	Stream	UWC01aF	3.44546647271644
UWC02aF	Stream	UWC02aF	4.2123669718297325
UWC03aF	Stream	UWC03aF	3.9189266865495505
UWC04aF	Stream	UWC04aF	4.371905239434168
UWC05aF	Stream	UWC05aF	-0.4318642244778929
UWC06aF	Stream	UWC06aF	-1.9546212569078487
UWC07aF	Stream	UWC07aF	4.347564653222126
UWC08aM	Stream	UWC08aM	1.038536643307082
UWC09aF	Stream	UWC09aF	0.19767026546147232
GLD10aF	Lake	GLD10aF	-3.1878002737047213
GLD11aF	Lake	GLD11aF	-2.080076828488309
GLD12aF	Lake	GLD12aF	-4.179247211238897
GLD13aF	Lake	GLD13aF	-2.3351071003393393
GLD14aM	Lake	GLD14aM	-0.7091041710192579
GLD15aM	Lake	GLD15aM	1.5539548664344527
GLD16aF	Lake	GLD16aF	0.5689753108719817
GLD02aM	Lake	GLD02aM	-3.3393060866578548
GLD03aM	Lake	GLD03aM	6.024648768519215
GLD04aF	Lake	GLD04aF	-1.4159036645985479
GLD05aF	Lake	GLD05aF	-6.560323042301245
GLD06aF	Lake	GLD06aF	-5.058247152684874
GLD07aF	Lake	GLD07aF	-8.142496405307249
GLD08aF	Lake	GLD08aF	-2.3545908499204593
GLD09aM	Lake	GLD09aM	-4.471637041140605
KFB10aF	Stream	KFB10aF	0.49045863858765737
KFB11aM	Stream	KFB11aM	7.350093806735671
KFB12aM	Stream	KFB12aM	3.025002594412608
KFB13aF	Stream	KFB13aF	6.793661864239297
KFB14aF	Stream	KFB14aF	3.4293484529882985
KFB15aM	Stream	KFB15aM	5.002127081436203
KFB16aF	Stream	KFB16aF	-3.0044530455970686
KFB17aM	Stream	KFB17aM	6.637392257688701
KFB01aM	Stream	KFB01aM	3.6690518540611845
KFB02aF	Stream	KFB02aF	-1.8724911890119214
KFB03aF	Stream	KFB03aF	1.6718392906301414
KFB04aF	Stream	KFB04aF	1.3855546689108904
KFB05aF	Stream	KFB05aF	-0.9048182117304318
KFB06aM	Stream	KFB06aM	3.6577744291134495
KFB07aM	Stream	KFB07aM	0.613699738324879
KFB08aM	Stream	KFB08aM	0.9528480511872208
KFB09aF	Stream	KFB09aF	2.3511249214671492
LGC10aF	Stream	LGC10aF	1.0018011323659506
LGC11aM	Stream	LGC11aM	0.9205854454101463
LGC12aF	Stream	LGC12aF	2.6746275794815677
LGC13aF	Stream	LGC13aF	2.260023269924573
LGC14aF	Stream	LGC14aF	0.343182022590067
LGC15aM	Stream	LGC15aM	3.761470542577986
LGC16aM	Stream	LGC16aM	6.792870057917873
LGC17aF	Stream	LGC17aF	3.1393113396818544
LGC18aM	Stream	LGC18aM	1.18957446960995
LGC19aM	Stream	LGC19aM	1.7933821639901257
LGC01aF	Stream	LGC01aF	1.8419940494113725
LGC02aM	Stream	LGC02aM	3.677019867842395
LGC03aM	Stream	LGC03aM	4.692098369967066
LGC04aF	Stream	LGC04aF	-0.1183202714184236
LGC05aF	Stream	LGC05aF	3.058565216380596
LGC06aM	Stream	LGC06aM	0.2495385694494594
LGC07aF	Stream	LGC07aF	4.295477772945089
LGC08aF	Stream	LGC08aF	1.5693116648691379
LGC09aM	Stream	LGC09aM	2.8002011332007477
UAC10aF	Stream	UAC10aF	4.058476210948916
UAC11aF	Stream	UAC11aF	5.618538413211997
UAC12aM	Stream	UAC12aM	4.929797191349824
UAC13aM	Stream	UAC13aM	8.038859123547995
UAC14aF	Stream	UAC14aF	1.070177817058239
UAC15aF	Stream	UAC15aF	2.78342711572662
UAC16aM	Stream	UAC16aM	7.7474192245870785
UAC01aM	Stream	UAC01aM	6.008062985084322
UAC02aM	Stream	UAC02aM	5.760603522223167
UAC03aM	Stream	UAC03aM	4.537390813873321
