TITLE = RD StreamTree Data
SAMPLES = GLD, UGC, LGC, KFB, UAC, UWC, LWC, MKR
NSECTIONS = 8
GLD UGC	0.0349811 1
GLD LGC	0.0490902 2
GLD KFB	0.0203984 2 3 6 5
GLD UAC	0.0499761 2 3 6 5 4
GLD UWC	0.0169189 2 3 6 7 8
GLD LWC	0.0230326 2 3 6 7
GLD MKR	0.017538 2 3
UGC LGC	0.0212559 1 2
UGC KFB	0.0405759 1 2 3 6 5
UGC UAC	0.0219437 1 2 3 6 5 4
UGC UWC	0.0500419 1 2 3 6 7 8
UGC LWC	0.0517925 1 2 3 6 7
UGC MKR	0.0443262 1 2 3
LGC KFB	0.0544989 3 6 5
LGC UAC	0.0182247 3 6 5 4
LGC UWC	0.0664543 3 6 7 8
LGC LWC	0.0687796 3 6 7
LGC MKR	0.0604811 3
KFB UAC	0.0559421 4
KFB UWC	0.0231603 5 7 8
KFB LWC	0.0235254 5 7
KFB MKR	0.0219609 5 6
UAC UWC	0.0677761 4 5 7 8
UAC LWC	0.070075 4 5 7
UAC MKR	0.0613023 4 5 6
UWC LWC	0.0256335 8
UWC MKR	0.020258 8 7 6
LWC MKR	0.0246423 7 6
