Comparison,G'ST,Lower 95%CI,Upper 95%CI,FST,Lower 95%CI,Upper 95%CI
ChIS vs. ChML1,0.02,-0.0214,0.0696,0.0063,-0.0103,0.0272
ChIS vs. ChMalE1,0.0183,-0.043,0.104,0.0036,-0.0225,0.042
ChIS vs. ChMalE2,0.0084,-0.0351,0.0559,0.0016,-0.0158,0.022
ChIS vs. ChMalW,0.0226,-0.0119,0.0773,0.0071,-0.0066,0.0285
ChIS vs. ChML2,0.001,-0.054,0.0866,-0.0011,-0.0218,0.0329
ChIS vs. IBADAF,0.363,0.2982,0.4273,0.2215,0.1824,0.2607
ChIS vs. IBADBF,0.3597,0.2944,0.4323,0.1957,0.159,0.242
ChIS vs. IBBDBF,0.3741,0.3103,0.4535,0.2222,0.1856,0.2763
ChIS vs. LADAF1,0.1918,0.1422,0.2507,0.0934,0.0692,0.1256
ChIS vs. LADAF2,0.208,0.1533,0.2583,0.1056,0.0794,0.1304
ChIS vs. LBDAF1,0.189,0.1414,0.2546,0.0909,0.0653,0.1184
ChIS vs. LBDAF2,0.2064,0.1406,0.2715,0.0957,0.0632,0.1298
ChIS vs. LBDAF3,0.213,0.1647,0.2744,0.0975,0.0713,0.1372
ChIS vs. LBFBD1,0.1836,0.1382,0.2313,0.0895,0.0679,0.1137
ChIS vs. LBFBD2,0.1702,0.1222,0.231,0.0788,0.0562,0.1062
ChIS vs. MissAD,0.0266,-0.0035,0.069,0.0097,-0.0023,0.0297
ChIS vs. MissBD,0.0567,0.0213,0.1028,0.0221,0.0066,0.0432
ChML1 vs. ChMalE1,-0.0033,-0.0645,0.1013,-0.005,-0.0315,0.0457
ChML1 vs. ChMalE2,0.0089,-0.0383,0.0686,0.0015,-0.019,0.0285
ChML1 vs. ChMalW,7.00E-04,-0.0327,0.0399,-0.0015,-0.0159,0.0153
ChML1 vs. ChML2,0.0171,-0.042,0.1121,0.0052,-0.0187,0.0466
ChML1 vs. IBADAF,0.2335,0.1813,0.2861,0.1574,0.1215,0.1915
ChML1 vs. IBADBF,0.2222,0.1724,0.2786,0.1316,0.0965,0.1678
ChML1 vs. IBBDBF,0.2323,0.1757,0.2868,0.1526,0.1145,0.1916
ChML1 vs. LADAF1,0.2567,0.2103,0.3122,0.1284,0.1012,0.1604
ChML1 vs. LADAF2,0.2988,0.2416,0.3598,0.1545,0.1245,0.1933
ChML1 vs. LBDAF1,0.2441,0.1906,0.3046,0.1207,0.0951,0.1475
ChML1 vs. LBDAF2,0.2671,0.2082,0.3216,0.1281,0.0937,0.1586
ChML1 vs. LBDAF3,0.2658,0.2022,0.3353,0.1257,0.0974,0.164
ChML1 vs. LBFBD1,0.2351,0.1846,0.2926,0.1182,0.0927,0.148
ChML1 vs. LBFBD2,0.2468,0.1961,0.3129,0.1164,0.0918,0.1516
ChML1 vs. MissAD,0.01,-0.0215,0.0493,0.0031,-0.0103,0.0206
ChML1 vs. MissBD,0.0152,-0.0283,0.055,0.0057,-0.0127,0.0224
ChMalE1 vs. ChMalE2,0.0184,-0.052,0.1161,0.0031,-0.0285,0.0599
ChMalE1 vs. ChMalW,0.0188,-0.0467,0.1023,0.0033,-0.0242,0.0417
ChMalE1 vs. ChML2,0.0525,-0.0248,0.1451,0.0166,-0.0193,0.068
ChMalE1 vs. IBADAF,0.327,0.2233,0.463,0.2363,0.1681,0.3287
ChMalE1 vs. IBADBF,0.3017,0.2068,0.4393,0.1958,0.1334,0.2902
ChMalE1 vs. IBBDBF,0.3022,0.194,0.4383,0.2149,0.1426,0.2968
ChMalE1 vs. LADAF1,0.2286,0.1179,0.3363,0.1208,0.064,0.1887
ChMalE1 vs. LADAF2,0.2733,0.1537,0.4006,0.1516,0.092,0.2269
ChMalE1 vs. LBDAF1,0.2083,0.1249,0.3349,0.109,0.0647,0.1826
ChMalE1 vs. LBDAF2,0.2311,0.1315,0.3385,0.116,0.0596,0.1821
ChMalE1 vs. LBDAF3,0.2206,0.0997,0.3416,0.1076,0.0421,0.2005
ChMalE1 vs. LBFBD1,0.1884,0.0902,0.3087,0.1009,0.0498,0.1836
ChMalE1 vs. LBFBD2,0.184,0.0911,0.2973,0.0912,0.0476,0.1494
