WKT,site,abbrev,lat,lon
"POINT (-79.82033 41.3895)",1.0,ARF,41.3895,-79.82033
"POINT (-77.5035821 41.0990995)",2.0,BEC,41.0990995,-77.5035821
"POINT (-76.234 41.054)",3.0,BW,41.054,-76.234
"POINT (-76.8127626 40.9677589)",4.0,CHIL,40.9677589,-76.8127626
"POINT (-76.6068199 40.9422223)",5.0,DAN,40.9422223,-76.6068199
"POINT (-75.8846376 41.4542578)",6.0,FA,41.4542578,-75.8846376
"POINT (-76.931 40.469)",7.0,HAL,40.469,-76.931
"POINT (-77.1133561 40.4687949)",8.0,JRH,40.4687949,-77.1133561
"POINT (-76.986 41.247)",9.0,LOY,41.247,-76.986
"POINT (-77.2835185 41.1684111)",10.0,PCM,41.1684111,-77.2835185
"POINT (-77.3334812 41.2601184)",11.0,PCR,41.2601184,-77.3334812
"POINT (-76.864267 40.77274)",12.0,PEC,40.77274,-76.864267
"POINT (-76.916 40.66)",13.0,SMA,40.66,-76.916
"POINT (-76.9077303 40.317892)",14.0,SRH,40.317892,-76.9077303
"POINT (-76.540207 40.0508468)",15.0,SRM,40.0508468,-76.540207
"POINT (-76.8157738 40.8400268)",16.0,SSN,40.8400268,-76.8157738
"POINT (-76.7278286 40.2400414)",17.0,SW,40.2400414,-76.7278286
"POINT (-77.4889675 40.4853123)",18.0,TC,40.4853123,-77.4889675
"POINT (-78.030665 40.8186924)",19.0,UBE,40.8186924,-78.030665
"POINT (-76.93914 40.63897)",20.0,WBM,40.63897,-76.93914
"POINT (-77.36 41.14)",21.0,WSM,41.14,-77.36
"POINT (-76.23077 41.69702)",22.0,WYA,41.69702,-76.23077
