"site_id","site_name","lat","lon"
1,"Lake Harding",32.686,-85.1576
2,"Lake Eufaula",31.8982,-85.1602
3,"Harris Reservoir",33.2834,-85.6095
4,"Lake Martin",32.7262,-85.9458
5,"Yates Reservoir",32.5741,-85.8891
6,"Weiss Reservoir",34.199,-85.6161
7,"Neely Henry Reservoir",33.8889,-86.0476
8,"Logan Martin Reservoir",33.5305,-86.1882
9,"Lay Lake",33.0188,-86.552
10,"Lake Guntersville",34.4231,-86.3922
11,"Wheeler Reservoir",34.6695,-87.0472
12,"Wilson Reservoir",34.8006,-87.6259
13,"Pickwick Reservoir",34.9023,-88.0387
14,"Bear Creek Reservoir",34.38,-87.95
15,"Jones Bluff",32.3242,-86.7843
16,"Miller's Ferry",32.1001,-87.3978
17,"Claiborne",31.5468,-87.5125
18,"Lewis Smith Reservoir",33.9417,-87.1083
19,"Lake Tuscaloosa",33.3427,-87.5561
20,"Sipsey River",33.2571,-87.7764
21,"Demopolis",32.5212,-87.8792
22,"Big Bayou Canot",30.7857,-88.0128
23,"Crab Creek",30.731,-87.9756
24,"Tensaw Lake",31.048,-87.8875
25,"D'Olive Bay",30.6383,-87.9162
26,"Dog River",30.5649,-88.0883
27,"Fowl River",30.4305,-88.1358
28,"Fish River",30.4602,-87.8039
29,"Styx River",30.5183,-87.4628
