WKT,site,lat,lon
"POINT (-115.4068887 41.7453471)",WMR,41.7453471,-115.4068887
"POINT (-115.3529012 41.7388437)",EMR1,41.7388437,-115.3529012
"POINT (-115.3948122 41.716375)",EMR2,41.716375,-115.3948122
"POINT (-115.3568275 41.7097391)",MRBC1,41.7097391,-115.3568275
"POINT (-115.3835914 41.6981619)",MRBC2,41.6981619,-115.3835914
"POINT (-115.4102902 41.6805303)",QCK,41.6805303,-115.4102902
"POINT (-115.3897436 41.6732197)",BC,41.6732197,-115.3897436
"POINT (-115.3958829 41.6440542)",MS,41.6440542,-115.3958829
"POINT (-115.3616921 41.619599)",CC1,41.619599,-115.3616921
"POINT (-115.3610015 41.6018702)",CC2,41.6018702,-115.3610015
"POINT (-115.3371469 41.6756583)",TC1,41.6756583,-115.3371469
"POINT (-115.303381 41.6283924)",TC2,41.6283924,-115.303381
"POINT (-115.312721 41.6630831)",DC1,41.6630831,-115.312721
"POINT (-115.2872778 41.6286313)",DC2,41.6286313,-115.2872778
"POINT (-115.2698572 41.6648212)",WC1,41.6648212,-115.2698572
"POINT (-115.2315041 41.6232376)",WC2,41.6232376,-115.2315041
