"site_id","site_name","lat","lon","locality_label"
1,"Big Jacks Creek",42.56,-116.04,"Table 1 coordinates from publication"
2,"Little Jacks Creek",42.73,-116.11,"Table 1 coordinates from publication"
3,"Deer Creek",42.06,-115.11,"Table 1 coordinates from publication"
4,"Sheep Creek",41.94,-115.21,"Table 1 coordinates from publication"
5,"McDonald Creek",41.92,-115.77,"Table 1 coordinates from publication"
6,"Meadow Creek",41.84,-115.71,"Table 1 coordinates from publication"
7,"Salmon Creek",41.96,-115.87,"Table 1 coordinates from publication"
8,"Robinson Creek",41.92,-115.31,"Table 1 coordinates from publication"
9,"Slide Creek",41.84,-115.26,"Table 1 coordinates from publication"
10,"Jack Creek",41.9,-115.4,"Table 1 coordinates from publication"
11,"WF Jarbidge River",41.83,-115.42,"Table 1 coordinates from publication"
12,"Fawn Creek",41.87,-116.06,"Table 1 coordinates from publication"
13,"Mill Creek",41.82,-116.01,"Table 1 coordinates from publication"
14,"Martin Creek",41.75,-115.67,"Table 1 coordinates from publication"
15,"EF Owyhee River",41.74,-115.92,"Table 1 coordinates from publication"
16,"Skull Creek",41.92,-116.06,"Table 1 coordinates from publication"
17,"Trail Creek",41.69,-116.02,"Table 1 coordinates from publication"
18,"Van Duzer Creek",41.76,-116.02,"Table 1 coordinates from publication"
19,"Jordan Creek",43.01,-116.73,"Table 1 coordinates from publication"
20,"Williams Creek",42.84,-116.93,"Table 1 coordinates from publication"
21,"Squaw Creek",42.55,-117,"Table 1 coordinates from publication"
22,"SF Owyhee Jack Creek",41.51,-116.06,"Table 1 coordinates from publication"
23,"SF Owyhee Mill Creek",41.35,-116.05,"Table 1 coordinates from publication"
24,"Snow Canyon Creek",41.41,-116.05,"Table 1 coordinates from publication"
25,"SF Owyhee Spring Creek",41.85,-116.38,"Table 1 coordinates from publication"
26,"Camp Creek",41.72,-115.24,"Table 1 coordinates from publication"
27,"Lime Creek",41.92,-115.01,"Table 1 coordinates from publication"
28,"MF Canyon Creek",41.85,-115.16,"Table 1 coordinates from publication"
29,"MF Deer Creek",41.62,-115.06,"Table 1 coordinates from publication"
30,"Castle Creek",42.9,-116.43,"Table 1 coordinates from publication"
31,"Jump Creek",43.48,-116.92,"Table 1 coordinates from publication"
32,"Reynolds Creek",43.26,-116.75,"Table 1 coordinates from publication"
33,"Shoofly Creek",42.76,-116.2,"Table 1 coordinates from publication"
34,"Wildhorse Res.",41.67,-115.8,"Table 1 coordinates from publication"
35,"Mountain View Res.",42.05,-116.17,"Table 1 coordinates from publication"
36,"Castle Rock Fork",43.1,-122.58,"Table 1 coordinates from publication"
37,"Jackson Creek",42.99,-122.66,"Table 1 coordinates from publication"
