WKT,site,stream,latitude,longitude
"POINT (-115.8273542 43.8225982)",1.0,Mores Creek,43.8225982,-115.8273542
"POINT (-115.5397184 43.6767909)",2.0,Sheep Creek,43.6767909,-115.5397184
"POINT (-115.5131594 43.6841841)",3.0,East Fork Sheep Creek,43.6841841,-115.5131594
"POINT (-115.4593802 43.6900819)",4.0,Roaring River,43.6900819,-115.4593802
"POINT (-115.1234083 43.7664015)",5.0,Yuba River,43.7664015,-115.1234083
"POINT (-115.6067172 43.9507515)",6.0,Crooked River,43.9507515,-115.6067172
"POINT (-115.4563428 43.937356)",7.0,Bear Creek and River,43.937356,-115.4563428
"POINT (-115.2987689 43.9113005)",8.0,Lodgepole Creek,43.9113005,-115.2987689
"POINT (-115.2069339 43.9717363)",9.0,Johnson Creek (North Fork),43.9717363,-115.2069339
"POINT (-115.2047956 44.0174004)",10.0,Ballentyne Creek,44.0174004,-115.2047956
"POINT (-115.1945466 44.0520225)",11.0,McLeod Creek,44.0520225,-115.1945466
"POINT (-115.5790054 43.5979447)",12.0,Rattlesnake Creek,43.5979447,-115.5790054
"POINT (-115.257 43.7146687)",13.0,Elk Creek,43.7146687,-115.257
"POINT (-114.9733879 43.6233573)",14.0,Skeleton Creek,43.6233573,-114.9733879
"POINT (-114.9332194 43.5347005)",15.0,Boardman Creek,43.5347005,-114.9332194
"POINT (-114.9691623 43.5383646)",16.0,Smoky Dome Creek,43.5383646,-114.9691623
"POINT (-114.8656821 43.763935)",17.0,Emma Creek,43.763935,-114.8656821
"POINT (-114.925999 43.8231681)",18.0,Johnson Creek (South Fork),43.8231681,-114.925999
"POINT (-114.7247969 43.732877)",19.0,Big Smoky Creek,43.732877,-114.7247969
"POINT (-114.7235079 43.7661309)",20.0,Upper Big Smoky Creek,43.7661309,-114.7235079
"POINT (-114.7543962 43.7519334)",21.0,West Fork Big Smoky Creek,43.7519334,-114.7543962
