Name ,Lat,Long
Huntley Pond Inlet,43.833335,-74.109645
Blue Ledge Tributary,43.827879,-74.11428
Calamity Brook,44.094643,-74.052333
Dix-Elk Tributaries,44.031812,-73.819923
Snyder Brook,44.016922,-73.918258
Slide Brook,44.025756,-73.962799
Durgin Brook,43.938767,-73.950262
Platt Creek,43.87098,-73.756224
Gulf Brook,43.956899,-73.868552
Unnamed Brook 2,43.92742,-73.737515
Vanderwhacker at Brook,43.947723,-73.990356
Nate Pond Brook,43.854936,-74.111677
Unnamed Brook 1,43.876517,-74.060259
Shanty Bottom Brook,43.821666,-73.724342
