"site_id","site_name","lat","lon","locality_label"
1,"Buck Run Upper",38.5418,-79.9455944,"User-mapped coordinate"
2,"Buck Run Middle",38.5404392,-79.9383749,"User-mapped coordinate"
3,"Black Run 1 Upper",38.561004,-79.927332,"User-mapped coordinate"
4,"Black Run 1 Middle",38.5561007,-79.9265441,"User-mapped coordinate"
5,"Upper Rocky",38.4877602,-79.9811807,"User-mapped coordinate"
6,"Lower Rocky",38.4853,-79.9621474,"User-mapped coordinate"
7,"Oates Run",38.4539926,-79.9550531,"User-mapped coordinate"
8,"Spruce Lower",38.4594474,-79.9597438,"User-mapped coordinate"
9,"Spruce Upper",38.4594233,-79.9693078,"User-mapped coordinate"
10,"Black Run 2 Lower",38.4435186,-79.9655373,"User-mapped coordinate"
11,"Black Run 2 Upper",38.4449671,-79.9755932,"User-mapped coordinate"
12,"Lamothe Hollow",38.4778684,-79.951124,"Mean of pre- and post-restoration user-mapped coordinates"
13,"Beaver Creek 1",38.5185054,-79.9443357,"Mean of pre- and post-restoration user-mapped coordinates"
14,"Beaver Creek 2 after restoration",38.5220759,-79.9402474,"User-mapped coordinate"
