"site_id","site_name","locality_label","lat","lon"
1,"Buck Run Upper","Estimated upper Buck Run sample reach upstream of main-stem confluence",38.5418,-79.9392
2,"Buck Run Middle","Estimated middle Buck Run sample reach near partially passable culvert",38.5396,-79.9358
3,"Black Run 1 Upper","Estimated upper Black Run 1 sample reach",38.5604,-79.9248
4,"Black Run 1 Middle","Estimated middle Black Run 1 sample reach",38.556,-79.9256
5,"Upper Rocky","Estimated upper Rocky Run sample reach",38.4886,-79.9638
6,"Lower Rocky","Estimated lower Rocky Run sample reach near confluence",38.4853,-79.9588
7,"Oates Run","Estimated Oates Run sample reach upstream of impassable culvert",38.4549,-79.9528
8,"Spruce Lower","Estimated lower Spruce Run sample reach",38.466,-79.9485
9,"Spruce Upper","Estimated upper Spruce Run sample reach near partially passable culvert",38.469,-79.953
10,"Black Run 2 Lower","Estimated lower Black Run 2 sample reach",38.4453,-79.9591
11,"Black Run 2 Upper","Estimated upper Black Run 2 sample reach",38.4409,-79.9648
12,"Lamothe Hollow","Estimated Lamothe Hollow pre-restoration culvert site",38.4734,-79.944
13,"Lamothe Hollow after restoration","Estimated Lamothe Hollow post-restoration culvert site",38.4734,-79.944
14,"Beaver Creek 1 before restoration","Estimated Beaver Creek 1 pre-restoration site at upper sampled culvert reach",38.527,-79.9391
15,"Beaver Creek 1 after restoration","Estimated Beaver Creek 1 post-restoration site at upper sampled culvert reach",38.527,-79.9391
16,"Beaver Creek 2 after restoration","Estimated Beaver Creek 2 post-restoration site at lower sampled culvert reach",38.5208,-79.9369
