"site","pop","site_name","lat","lon"
1,"AFP","Acid Factory Brook",41.633769,-71.721953
2,"BAK","Baker Brook",41.542195,-71.693075
3,"BHU","Breakheart Brook above Breakheart Pond",41.604672,-71.697832
4,"BRH","Beaver River at Hillsdale Road",41.522293,-71.640094
5,"BRO","Beaver River at Old Mountain Road",41.538449,-71.640852
6,"BRP","Beaver River at Punchbowl Trail",41.512152,-71.64156
7,"BRU","Brushy Brook",41.528783,-71.736417
8,"FRC","Falls River",41.588722,-71.735044
9,"MBC","Meadow Brook Carolina Management Area",41.457545,-71.689147
10,"MBP","Meadow Brook at Pine Hill Road",41.471734,-71.688469
11,"UTA","Unnamed tributary to Wood River below Alton Dam",41.437903,-71.723342
12,"UTB","Unnamed tributary to Breakheart Pond (above dam)",41.595471,-71.699931
13,"UTB2","Unnamed tributary to Breakheart Pond (below dam)",41.59587,-71.700343
14,"WR","Wood River upstream of Frying Pan Pond",41.565066,-71.714549
