Fish_ID	Cluster_ID	Reach_ID	Sfo_C113a	Sfo_C113b	Sfo_C88a	Sfo_C88b	Sfo_D100a	Sfo_D100b	Sfo_D75a	Sfo_D75b	Sfo_C115a	Sfo_C115b	Sfo_C129a	Sfo_C129b	Sfo_C24a	Sfo_C24b	Ssa_D237a	Ssa_D237b
Ind-474	KentDown	K01	132	152	183	183	215	233	181	181	228	354	223	232	116	116	291	433
Ind-475	KentDown	K01	132	148	183	183	211	269	176	181	228	228	223	223	116	116	300	304
Ind-476	KentDown	K01	128	132	183	183	211	215	176	181	228	358	223	223	116	119	304	420
Ind-477	KentDown	K01	132	132	183	183	219	228	176	214	242	354	232	232	116	119	321	458
Ind-478	KentDown	K02	128	132	180	183	215	219	176	176	246	354	232	232	119	119	416	416
Ind-479	KentDown	K02	132	152	183	192	219	219	181	181	228	248	232	232	116	116	416	433
Ind-480	KentDown	K02	132	132	183	183	219	269	181	214	228	242	232	232	116	119	300	416
Ind-481	KentDown	K02	132	152	183	183	211	215	181	181	242	308	223	232	116	119	424	441
Ind-482	KentDown	K02	128	132	183	183	219	219	181	181	228	242	232	232	116	116	300	433
Ind-483	KentDown	K03	128	132	183	183	215	228	181	193	228	246	223	232	116	116	433	433
Ind-484	KentDown	K03	132	132	183	183	228	237	181	181	240	242	223	232	116	119	291	433
Ind-485	KentDown	K03	132	152	183	183	269	269	214	214	242	242	232	232	116	119	295	433
Ind-486	KentDown	K03	132	152	183	183	269	269	214	214	242	246	232	232	116	119	291	291
Ind-487	KentDown	K03	132	152	183	183	211	215	181	181	242	358	223	223	119	119	424	441
Ind-488	KentDown	K04	132	132	183	183	219	219	176	181	228	228	223	232	116	119	295	420
Ind-489	KentDown	K04	132	132	183	183	219	228	181	185	240	242	223	232	116	116	291	433
Ind-490	KentDown	K04	132	132	183	183	228	237	181	185	240	242	223	232	116	119	291	433
Ind-491	KentDown	K04	132	132	183	183	215	237	185	214	242	246	223	232	116	116	291	416
Ind-492	KentDown	K05	132	152	183	183	219	228	176	181	246	358	223	232	116	116	304	486
Ind-493	KentDown	K05	132	148	183	192	219	219	176	181	242	248	223	232	116	119	291	300
Ind-494	KentDown	K06	132	132	183	183	228	228	176	181	242	358	223	223	116	119	300	433
Ind-495	KentDown	K06	132	132	180	183	215	215	176	176	242	246	226	232	110	113	295	433
Ind-496	KentDown	K06	132	132	183	183	215	237	181	185	242	246	223	232	116	116	291	416
Ind-497	KentDown	K07	132	132	183	183	219	224	176	181	238	242	223	223	116	122	304	433
Ind-498	KentDown	K07	132	132	183	183	211	269	181	197	242	242	223	232	116	116	304	433
Ind-499	KentDown	K07	132	148	183	183	224	228	181	181	242	308	223	223	116	122	304	433
Ind-500	KentDown	K08	132	152	183	192	215	219	181	181	242	246	232	232	119	119	300	433
Ind-501	KentDown	K08	132	132	183	183	211	228	181	181	242	242	223	223	116	116	291	300
Ind-502	KentDown	K08	132	152	183	183	219	228	185	197	240	242	232	232	116	119	291	433
Ind-503	KentDown	K09	132	132	183	183	219	219	181	181	242	242	223	236	116	116	300	300
Ind-504	KentDown	K09	132	148	183	183	228	228	181	181	242	242	223	232	116	116	433	433
Ind-505	KentDown	K09	132	132	183	183	219	228	181	214	228	242	223	232	116	116	291	433
Ind-506	KentDown	K10	132	132	183	183	219	228	181	181	242	246	223	223	116	116	291	300
Ind-507	KentDown	K10	132	152	183	183	219	269	181	214	242	246	223	232	116	116	291	433
