Sample,Reach,Sfo_C113_1,Sfo_C113_2,Sfo_C115_1,Sfo_C115_2,Sfo_C129_1,Sfo_C129_2,Sfo_C38_1,Sfo_C38_2,Sfo_C88_1,Sfo_C88_2,Sfo_D91_1,Sfo_D91_2,Sfo_B52_1,Sfo_B52_2,Sfo_C24_1,Sfo_C24_2,Sfo_C28_1,Sfo_C28_2,Sfo_C79_1,Sfo_C79_2,Sfo_C86_1,Sfo_C86_2,Sfo_D75_1,Sfo_D75_2
BS-01-001,1,151,151,235,321,230,233,143,149,181,187,236,236,221,227,116,119,167,187,120,123,110,116,180,216
BS-01-002,1,133,133,321,337,230,230,140,143,181,184,232,236,217,227,113,116,179,183,120,120,101,101,176,180
BS-01-003,1,133,145,235,235,230,230,140,143,184,190,232,236,217,221,116,116,167,179,120,120,113,119,176,208
BS-01-004,1,130,133,235,309,233,233,143,143,181,190,220,232,221,221,113,116,175,179,120,120,101,101,176,200
BS-01-005,1,133,151,243,305,233,233,143,143,184,184,216,228,215,223,116,116,179,187,120,120,101,116,176,176
BS-01-006,1,133,151,305,333,224,233,143,143,184,187,232,232,223,225,116,116,179,187,120,120,101,113,176,220
BS-01-007,1,142,145,235,313,230,230,143,143,184,193,232,236,215,223,110,116,179,179,120,120,101,101,172,176
BS-01-008,1,133,151,305,305,230,233,143,143,184,190,216,264,219,221,116,116,167,183,120,120,101,101,176,180
BS-01-009,1,130,142,235,305,224,230,143,143,190,199,236,236,203,215,110,116,179,179,120,120,101,101,172,212
BS-01-010,1,133,145,235,237,230,230,140,143,190,190,232,236,215,221,113,116,167,187,120,120,101,119,176,200
BS-01-011,1,133,133,305,313,230,230,143,143,184,190,232,232,217,223,116,116,179,187,120,120,119,119,180,180
BS-01-012,1,130,133,301,305,230,230,143,149,184,184,232,232,215,223,113,113,179,187,120,120,101,110,176,244
BS-01-013,1,133,154,305,309,233,233,140,143,184,184,232,232,215,227,119,119,175,187,120,123,101,101,180,216
BS-01-014,1,124,139,229,241,221,230,143,143,184,190,220,236,221,223,116,116,171,179,120,120,101,113,176,176
BS-01-015,1,124,145,301,321,224,230,149,149,184,184,216,224,223,225,113,116,183,187,120,120,101,119,180,204
BS-01-016,1,124,124,235,239,230,233,143,143,184,184,228,232,221,221,113,113,179,179,120,120,101,110,176,200
BS-01-017,1,130,151,305,321,230,230,143,143,181,187,228,244,215,221,116,119,175,183,120,120,101,113,176,176
BS-01-018,1,124,151,235,321,230,230,140,143,184,193,228,232,227,227,116,116,179,183,120,120,116,119,176,212
BS-01-019,1,133,133,241,305,233,233,143,146,190,193,232,236,203,223,116,116,167,187,120,120,110,113,176,176
BS-01-020,1,133,151,301,309,230,230,143,146,181,193,232,240,221,225,113,113,179,183,120,120,113,113,176,212
BS-02-001,2,133,151,229,305,233,236,143,143,184,184,232,232,215,221,113,113,179,179,120,123,101,101,176,212
BS-02-002,2,142,154,243,329,230,230,143,149,190,190,216,228,221,223,113,119,179,187,120,123,101,101,200,212
BS-02-003,2,145,151,237,301,233,233,143,143,190,193,220,220,221,221,113,116,167,187,120,120,113,119,176,184
BS-02-004,2,133,145,235,321,230,230,143,146,184,184,232,232,221,221,116,119,179,185,120,120,101,116,208,212
BS-02-005,2,139,139,237,237,230,230,143,143,190,190,220,220,215,215,113,119,167,179,120,120,101,101,176,212
BS-02-006,2,124,133,305,337,233,233,143,143,181,184,236,236,215,221,116,116,179,179,120,120,101,113,176,176
BS-02-007,2,139,145,237,309,230,230,143,149,184,187,244,244,215,221,116,119,167,203,120,120,101,101,176,180
BS-02-008,2,124,142,301,309,230,233,140,143,184,190,232,236,215,217,113,119,179,179,120,120,101,101,176,176
BS-02-009,2,145,151,305,309,224,230,143,143,181,184,228,232,221,223,116,119,179,179,120,123,101,113,176,212
BS-02-010,2,136,151,305,305,230,230,143,143,184,193,228,232,223,227,113,116,183,187,120,120,101,116,176,188
BS-02-012,2,124,133,305,305,221,230,143,143,184,190,232,232,225,227,116,116,179,187,120,120,101,119,176,216
BS-02-013,2,133,133,241,243,230,233,143,143,184,193,220,236,223,223,113,116,187,187,120,120,101,113,176,200
BS-02-014,2,142,142,229,317,230,233,140,146,184,184,236,240,203,215,110,113,179,191,120,120,101,116,200,220
BS-02-017,2,133,133,305,305,224,230,143,146,184,190,232,264,203,215,113,116,167,179,120,120,101,119,176,176
BS-02-018,2,124,124,305,305,233,233,143,143,181,184,232,236,219,223,116,116,187,187,120,120,119,119,176,220
BS-02-020,2,124,151,301,305,224,233,140,143,184,190,220,232,215,221,116,116,179,191,120,120,101,101,176,212
BS-02-021,2,151,151,313,321,224,230,143,146,184,193,232,236,215,221,113,116,175,179,120,120,116,119,176,180
BS-02-022,2,133,139,235,241,233,236,143,143,190,193,220,232,217,225,113,116,175,179,120,120,101,101,176,212
BS-02-024,2,133,145,237,309,230,236,143,149,181,190,236,244,215,217,113,116,179,183,120,123,101,101,176,224
BS-02-029,2,130,133,235,321,233,233,143,149,181,184,228,232,221,221,116,119,167,187,120,120,101,101,216,244
BS-02-031,2,130,133,305,309,230,233,143,146,184,193,220,236,215,225,113,116,179,187,120,120,101,113,208,216
BS-02-032,2,142,145,229,229,233,233,143,143,184,190,232,232,215,217,113,116,179,191,120,120,101,101,176,212
BS-02-034,2,142,151,301,305,230,230,140,143,190,193,220,232,221,221,113,113,179,179,120,120,101,113,184,208
BS-02-035,2,133,154,235,239,230,233,143,143,184,193,216,232,219,221,113,116,179,179,120,120,101,101,176,176
BS-02-036,2,130,145,305,309,233,233,143,143,181,193,232,236,215,223,113,116,167,179,120,120,101,101,176,200
BS-03-001,3,151,151,235,321,224,230,143,143,181,184,232,244,215,215,116,119,179,187,120,120,101,113,176,176
BS-03-002,3,133,133,235,337,230,233,143,143,190,196,216,232,221,223,113,116,185,187,120,120,113,113,176,212
BS-03-003,3,133,151,309,321,224,230,146,149,187,190,216,232,215,221,113,119,179,187,120,120,113,113,176,216
BS-03-005,3,124,130,237,321,230,233,143,143,184,190,220,228,223,223,116,119,179,179,120,123,101,113,176,176
BS-03-006,3,124,154,305,309,230,233,146,149,184,190,220,220,219,221,116,119,167,179,120,120,113,113,176,176
BS-03-007,3,124,133,229,305,233,233,143,149,190,193,232,236,215,223,116,116,179,187,120,120,101,101,180,244
BS-03-008,3,124,124,241,305,221,230,143,143,184,190,220,220,221,223,113,116,179,179,120,120,101,113,176,176
