WKT,site_id,site_name,lat,lon
"POINT (-76.3112976 41.4707161)",1.0,FLAG,41.4707161,-76.3112976
"POINT (-76.493385 41.4066445)",2.0,CONK,41.4066445,-76.493385
"POINT (-76.4757956 41.4665473)",3.0,MILA,41.4665473,-76.4757956
"POINT (-76.4987189 41.4647752)",4.0,BEAR,41.4647752,-76.4987189
"POINT (-76.5172432 41.4623463)",5.0,USCO,41.4623463,-76.5172432
"POINT (-76.5214948 41.4599761)",6.0,DSCO,41.4599761,-76.5214948
"POINT (-76.5227082 41.4512408)",7.0,DPOL,41.4512408,-76.5227082
"POINT (-76.5183155 41.4393765)",8.0,UPOL,41.4393765,-76.5183155
"POINT (-76.5298744 41.4475445)",9.0,DSHA,41.4475445,-76.5298744
"POINT (-76.5306942 41.4392519)",10.0,USHA,41.4392519,-76.5306942
"POINT (-76.5811441 41.4614493)",11.0,DOUB,41.4614493,-76.5811441
"POINT (-76.5795275 41.4565245)",12.0,DSEA,41.4565245,-76.5795275
"POINT (-76.5771419 41.4481702)",13.0,USEA,41.4481702,-76.5771419
"POINT (-76.5043882 41.5074879)",14.0,YELL,41.5074879,-76.5043882
"POINT (-76.5156495 41.5022824)",15.0,ROCK,41.5022824,-76.5156495
"POINT (-76.5545089 41.5521194)",16.0,LEV,41.5521194,-76.5545089
"POINT (-76.5561854 41.5477294)",17.0,STRB,41.5477294,-76.5561854
"POINT (-76.6388273 41.4681043)",18.0,SCAR,41.4681043,-76.6388273
"POINT (-76.6423386 41.5665453)",19.0,UNT,41.5665453,-76.6423386
"POINT (-76.6449587 41.5091795)",20.0,LICK,41.5091795,-76.6449587
"POINT (-76.7505222 41.5305)",21.0,USWE,41.5305,-76.7505222
"POINT (-76.7425795 41.5301766)",22.0,DSWE,41.5301766,-76.7425795
"POINT (-76.7147142 41.5126602)",23.0,DRHO,41.5126602,-76.7147142
"POINT (-76.7291484 41.4900766)",24.0,SWAM,41.4900766,-76.7291484
"POINT (-76.7464117 41.4788439)",25.0,MIHI,41.4788439,-76.7464117
"POINT (-76.7105978 41.408249)",26.0,HUCK,41.408249,-76.7105978
"POINT (-76.665644 41.3773415)",27.0,BRUN,41.3773415,-76.665644
"POINT (-76.7114757 41.3341264)",28.0,GRAN,41.3341264,-76.7114757
"POINT (-76.7812647 41.3818369)",29.0,SNAK,41.3818369,-76.7812647
"POINT (-76.7979199 41.3438989)",30.0,SSR,41.3438989,-76.7979199
"POINT (-76.8123239 41.3484289)",31.0,RED,41.3484289,-76.8123239
"POINT (-76.8455506 41.3563701)",32.0,DSLB,41.3563701,-76.8455506
"POINT (-76.9159491 41.3731968)",33.0,JACO,41.3731968,-76.9159491
