WKT,site,lat,lon
"POINT (-84.0703791 38.9382709)",1,38.9382709,-84.0703791
"POINT (-83.9366668 39.1212855)",2,39.1212855,-83.9366668
"POINT (-84.0389268 39.0122986)",3,39.0122986,-84.0389268
"POINT (-84.0201661 38.9652883)",4,38.9652883,-84.0201661
"POINT (-84.0989892 39.1399619)",5,39.1399619,-84.0989892
"POINT (-84.0502865 39.1309481)",6,39.1309481,-84.0502865
"POINT (-84.045134 39.3260182)",7,39.3260182,-84.045134
"POINT (-83.910794 39.2001236)",8,39.2001236,-83.910794
"POINT (-84.0913047 39.2887543)",9,39.2887543,-84.0913047
"POINT (-84.2562802 39.2697794)",10,39.2697794,-84.2562802
"POINT (-84.233529 39.2656606)",11,39.2656606,-84.233529
"POINT (-84.1771506 39.1478562)",12,39.1478562,-84.1771506
"POINT (-83.7396766 39.2609946)",13,39.2609946,-83.7396766
"POINT (-83.7167297 39.3905812)",14,39.3905812,-83.7167297
"POINT (-83.7595339 39.4682016)",15,39.4682016,-83.7595339
"POINT (-84.2495204 39.2963596)",16,39.2963596,-84.2495204
"POINT (-84.1976068 39.4300677)",17,39.4300677,-84.1976068
"POINT (-84.0255082 39.46134)",18,39.46134,-84.0255082
"POINT (-83.9137113 39.4674854)",19,39.4674854,-83.9137113
"POINT (-83.9642486 39.5451575)",20,39.5451575,-83.9642486
"POINT (-83.8030246 39.5690733)",21,39.5690733,-83.8030246
"POINT (-83.8444954 39.5711627)",22,39.5711627,-83.8444954
"POINT (-83.7481408 39.6959204)",23,39.6959204,-83.7481408
"POINT (-83.6910578 39.7242574)",24,39.7242574,-83.6910578
"POINT (-83.632895 39.7829371)",25,39.7829371,-83.632895
"POINT (-83.6056826 39.8750938)",26,39.8750938,-83.6056826
"POINT (-83.6625286 39.8827924)",27,39.8827924,-83.6625286
"POINT (-83.9836783 39.0714563)",28,39.0714563,-83.9836783
"POINT (-83.7211338 39.6526407)",29,39.6526407,-83.7211338
