Unique.ID	Cohort	FS.Family.ID	Drainage	River	Sample.Number	Section	Fish.Number	Species	Vial.Number	Sex	Length	C113.1	C113.2	C88.1	C88.2	D100.1	D100.2	D75.1	D75.2	C24.1	C24.2	C115.1	C115.2	C129.1	C129.2	D237.1	D237.2	B52.1	B52.2	C86.1	C86.2	D91a.1	D91a.2	C38.1	C38.2
90	2001	1	WEST	WEST.BROOK	36	15	15	BKT	36.15.15	U	67	128	132	180	189	219	224	176	181	116	116	240	242	232	232	276	424	218	218	100	115	230	230	139	145
17	2001	1	WEST	WEST.BROOK	36	29	9	BKT	36.29.9	U	60	132	145	180	189	224	237	176	181	116	116	242	244	232	232	276	424	222	222	100	115	230	230	139	142
140	2001	1	WEST	WEST.BROOK	38	30	17	BKT	38.30.17	M	85	145	145	180	189	224	237	176	181	116	116	242	244	232	239	408	424	218	222	100	118	230	230	139	142
793	2001	1	WEST	WEST.BROOK	40	30	23	BKT	2073	U	119	128	132	180	189	224	237	176	181	116	116	242	242	232	239	276	424	222	222	100	118	230	230	139	145
348	2001	1	WEST	WEST.BROOK	36	32	10	BKT	36.32.10	U	67	128	132	180	189	224	237	176	181	116	116	242	242	232	239	408	424	218	222	100	118	230	230	142	145
141	2001	1	WEST	WEST.BROOK	38	33	5	BKT	38.33.5	U	79	145	145	180	183	219	224	176	181	116	116	242	242	232	239	408	424	222	222	100	118	230	234	142	145
295	2001	1	WEST	WEST.BROOK	36	34	10	BKT	36.34.10	U	72	132	145	180	183	219	224	176	181	116	116	242	244	232	232	408	424	218	218	100	115	230	234	139	145
756	2001	1	WEST	WEST.BROOK	40	38	7	BKT	40.38.7	U	119	145	145	180	189	219	224	176	181	116	116	242	244	232	232	408	424	222	222	100	115	230	230	145	145
2009	2001	1	WEST	WEST.BROOK	45	40	6	BKT	45.A.40.6	F	152	132	145	180	189	224	237	176	181	116	116	242	244	232	239	276	424	222	222	100	118	230	230	142	145
493	2001	1	WEST	WEST.BROOK	37	40	7	BKT	37.40.7	F	65	128	145	180	183	224	237	176	181	116	116	242	244	232	239	408	424	222	222	100	115	230	234	139	145
569	2001	1	WEST	WEST.BROOK	38	40	6	BKT	38.40.6	M	99	128	132	180	183	219	224	176	181	116	116	242	244	232	239	276	424	218	218	100	115	230	234	139	145
237	2001	1	WEST	WEST.BROOK	36	41	10	BKT	36.41.10	U	59	132	145	180	183	224	237	176	181	116	116	242	242	232	239	276	424	218	222	100	118	230	234	142	145
353	2001	1	WEST	WEST.BROOK	36	41	9	BKT	36.41.9	U	66	145	145	180	189	224	237	176	181	116	116	242	244	232	239	276	424	218	222	100	118	230	230	142	145
531	2001	1	WEST	WEST.BROOK	36	41	5	BKT	36.41.5	U	73	145	145	180	189	224	237	176	181	116	116	242	242	232	232	408	424	218	218	100	115	230	230	139	142
376	2001	1	WEST	WEST.BROOK	37	44	5	BKT	37.44.5	M	91	132	145	180	183	224	237	176	181	116	116	242	244	232	239	408	424	222	222	100	118	230	234	139	142
565	2001	1	WEST	WEST.BROOK	36	44	10	BKT	36.44.10	U	67	128	132	180	183	224	237	176	181	116	116	242	242	232	232	276	424	222	222	100	118	230	234	142	145
301	2001	1	WEST	WEST.BROOK	36	45	11	BKT	36.45.11	U	60	128	145	180	189	219	224	176	181	116	116	242	242	232	239	408	424	222	222	100	118	230	230	145	145
291	2001	1	WEST	WEST.BROOK	35	46	6	BKT	3102	M	62	145	145	180	189	224	237	176	181	116	116	242	244	232	239	408	424	222	222	100	115	230	230	142	145
696	2001	1	WEST	WEST.BROOK	40	46	11	BKT	40.46.11	U	112	132	145	180	189	224	237	176	181	116	116	242	242	232	239	408	424	218	222	100	115	230	230	139	142
678	2001	1	WEST	WEST.BROOK	40	47	7	BKT	2659	F	119	128	132	180	183	219	224	176	181	116	116	242	244	232	239	408	424	218	222	100	118	230	234	139	142
272	2001	2	WEST	WEST.BROOK	36	3	5	BKT	36.3.5	U	60	145	152	183	183	224	228	176	214	116	116	242	242	236	236	280	330	222	222	100	115	230	234	145	145
219	2001	2	WEST	WEST.BROOK	40	6	19	BKT	40.6.19	F	105	132	152	183	183	224	224	176	226	116	116	240	242	219	236	330	408	222	222	100	115	234	247	145	145
251	2001	2	WEST	WEST.BROOK	37	7	5	BKT	37.7.5	U	81	152	152	183	183	224	228	176	176	116	116	242	242	226	232	330	408	222	222	100	115	234	247	145	145
428	2001	2	WEST	WEST.BROOK	40	8	6	BKT	40.8.6	M	106	132	152	183	183	224	228	176	226	116	119	240	242	232	236	280	280	222	222	100	115	230	234	145	145
433	2001	2	WEST	WEST.BROOK	37	8	20	BKT	37.8.20	U	67	145	152	183	183	224	224	176	214	116	119	242	242	232	236	280	280	222	222	100	115	234	247	145	145
500	2001	2	WEST	WEST.BROOK	37	8	15	BKT	37.8.15	U	68	132	145	183	183	224	228	176	214	116	119	242	242	226	232	280	280	222	222	100	115	234	247	145	145
6902	2001	2	WEST	WEST.BROOK	41	8	7	BKT	41.8.7	U	122	145	152	183	183	224	228	176	226	116	116	240	242	219	226	330	408	222	222	100	115	234	247	145	145
546	2001	2	WEST	WEST.BROOK	37	9	2	BKT	3032	U	67	132	145	183	183	224	224	176	176	116	119	240	242	219	226	280	408	222	222	100	115	234	247	145	145
1076	2001	2	WEST	WEST.BROOK	41	13	5	BKT	2091	F	118	132	152	183	183	224	224	176	176	116	116	242	242	226	232	280	280	222	222	100	115	234	247	145	145
384	2001	2	WEST	WEST.BROOK	35	15	5	BKT	3000	U	57	132	145	183	183	224	224	176	176	116	119	240	242	226	232	280	408	222	222	100	115	230	234	145	145
6870	2001	2	WEST	WEST.BROOK	37	15	5	BKT	37.15.5	U	73	132	145	183	183	224	224	176	176	116	119	240	242	219	236	330	408	222	222	100	115	230	234	145	145
70	2001	2	WEST	WEST.BROOK	36	16	22	BKT	36.16.22	U	63	145	152	183	183	224	224	176	226	116	116	242	242	226	232	280	280	222	222	100	115	234	247	145	145
499	2001	2	WEST	WEST.BROOK	37	16	15	BKT	3040	U	61	145	152	183	183	224	224	176	176	116	119	240	242	226	232	330	408	222	222	100	115	230	234	145	145
120	2001	2	WEST	WEST.BROOK	36	17	8	BKT	36.17.8	U	64	132	152	183	183	224	224	176	226	116	116	240	242	226	226	280	408	222	222	100	115	230	234	145	145
99	2001	2	WEST	WEST.BROOK	36	18	19	BKT	36.18.19	U	58	138	152	183	183	224	228	176	214	116	116	242	242	226	226	330	408	222	222	100	115	230	234	145	145
373	2001	2	WEST	WEST.BROOK	37	18	16	BKT	37.18.16	U	64	145	152	183	183	224	228	176	214	116	116	242	242	226	232	280	280	222	222	100	115	234	247	145	145
102	2001	2	WEST	WEST.BROOK	36	19	20	BKT	36.19.20	U	60	132	152	183	183	224	224	214	226	116	116	242	242	236	236	280	280	222	222	100	115	234	247	145	145
213	2001	2	WEST	WEST.BROOK	37	19	6	BKT	3042	F	71	145	152	183	183	224	228	176	226	116	116	242	242	226	232	280	408	222	222	100	115	234	247	145	145
326	2001	2	WEST	WEST.BROOK	37	19	7	BKT	3043	U	62	132	145	183	183	224	224	214	226	116	116	242	242	219	236	280	330	222	222	100	115	230	234	145	145
2	2001	2	WEST	WEST.BROOK	36	20	11	BKT	36.20.11	U	57	132	145	183	183	224	228	176	226	116	116	242	242	236	236	280	330	222	222	100	115	234	247	145	145
72	2001	2	WEST	WEST.BROOK	36	20	7	BKT	36.20.7	U	63	152	152	183	183	224	228	176	176	116	119	242	242	236	236	280	280	222	222	100	115	230	234	145	145
829	2001	2	WEST	WEST.BROOK	40	20	28	BKT	2063	U	90	132	145	183	183	224	228	176	214	116	116	242	242	219	226	280	330	222	222	100	115	234	247	145	145
826	2001	2	WEST	WEST.BROOK	40	30	20	BKT	2072	M	112	132	145	183	183	224	228	214	226	116	116	240	242	219	226	330	408	222	222	100	115	234	247	145	145
1264	2001	3	WEST	WB.JIMMY	41	2	5	BKT	93	U	103	145	152	183	183	211	219	222	226	113	116	242	242	232	232	280	355	218	224	100	100	230	251	139	142
530	2001	3	WEST	WEST.BROOK	36	2	13	BKT	36.2.13	U	74	145	152	180	183	219	228	222	226	113	116	242	306	232	239	280	330	218	224	100	100	222	230	139	139
573	2001	3	WEST	WEST.BROOK	36	4	4	BKT	3012	M	63	132	145	183	183	219	219	176	226	113	116	242	242	232	232	280	355	220	224	100	100	230	230	139	139
335	2001	3	WEST	WEST.BROOK	38	9	7	BKT	38.9.7	F	79	132	145	183	183	219	219	176	226	116	116	242	306	232	232	280	355	218	224	100	100	230	251	142	145
6838	2001	3	WEST	WEST.BROOK	36	9	8	BKT	36.9.8	U	64	152	152	183	183	211	219	176	214	113	116	242	306	232	239	280	330	220	224	100	100	230	230	139	142
577	2001	3	WEST	WEST.BROOK	40	13	15	BKT	40.13.15	M	121	132	152	180	183	211	228	176	214	113	116	240	304	232	232	280	355	218	224	100	100	222	230	139	145
46	2001	3	WEST	WEST.BROOK	36	15	23	BKT	36.15.23	U	60	132	145	183	183	219	228	176	226	113	116	238	240	232	239	280	355	218	220	100	100	230	251	139	142
97	2001	3	WEST	WEST.BROOK	36	16	16	BKT	36.16.16	U	65	145	152	183	183	219	219	214	222	113	116	242	306	232	239	280	330	218	224	100	100	230	230	142	145
