Vial #,Date,Source water,Zone,Easting,Northing,TL,,Latitude,Longitude,Latitudeddmmss,Longitudeddmmss,UTM waypoint Garmin
1,7/26/21,South Fork Bishop Creek,11S,375501,4136678,95,,37.36848389,-118.406018,"-37å¼ -22' -6.542"" S","118å¼ 24' 21.665"" W",11 S 375501 4136678
2,7/26/21,South Fork Bishop Creek,11S,375501,4136678,89,,37.36848389,-118.406018,"-37å¼ -22' -6.542"" S","118å¼ 24' 21.665"" W",11 S 375501 4136678
3,7/27/21,Lower Rock Creek,11S,359769,4146085,136,,37.4509991,-118.585413,"-37å¼ -27' -3.597"" S","118å¼ 35' 7.487"" W",11 S 359769 4146085
4,7/27/21,Lower Rock Creek,11S,359769,4146085,111,,37.4509991,-118.585413,"-37å¼ -27' -3.597"" S","118å¼ 35' 7.487"" W",11 S 359769 4146085
5,7/27/21,Lower Rock Creek,11S,359769,4146085,93,,37.4509991,-118.585413,"-37å¼ -27' -3.597"" S","118å¼ 35' 7.487"" W",11 S 359769 4146085
6,7/27/21,Lower Rock Creek,11S,359769,4146085,86,,37.4509991,-118.585413,"-37å¼ -27' -3.597"" S","118å¼ 35' 7.487"" W",11 S 359769 4146085
7,7/27/21,Lower Rock Creek,11S,359769,4146085,130,,37.4509991,-118.585413,"-37å¼ -27' -3.597"" S","118å¼ 35' 7.487"" W",11 S 359769 4146085
8,7/27/21,Lower Rock Creek,11S,359723,4146173,159,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
9,7/27/21,Lower Rock Creek,11S,359723,4146173,127,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
10,7/27/21,Lower Rock Creek,11S,359723,4146173,145,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
11,7/27/21,Lower Rock Creek,11S,359723,4146173,155,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
12,7/27/21,Lower Rock Creek,11S,359723,4146173,146,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
13,7/27/21,Lower Rock Creek,11S,359723,4146173,135,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
14,7/27/21,Lower Rock Creek,11S,359723,4146173,127,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
15,7/27/21,Lower Rock Creek,11S,359723,4146173,204,,37.45178503,-118.5859496,"-37å¼ -27' -6.426"" S","118å¼ 35' 9.419"" W",11 S 359723 4146173
16,7/27/21,Lower Rock Creek,11S,359732,4146213,128,,37.45214681,-118.5858555,"-37å¼ -27' -7.728"" S","118å¼ 35' 9.08"" W",11 S 359732 4146213
17,7/27/21,Lower Rock Creek,11S,359732,4146213,95,,37.45214681,-118.5858555,"-37å¼ -27' -7.728"" S","118å¼ 35' 9.08"" W",11 S 359732 4146213
18,7/27/21,Horton Creek,11S,369786,4140172,360,,37.39918309,-118.4711559,"-37å¼ -23' -57.059"" S","118å¼ 28' 16.161"" W",11 S 369786 4140172
19,7/27/21,Horton Creek,11S,369786,4140172,237,,37.39918309,-118.4711559,"-37å¼ -23' -57.059"" S","118å¼ 28' 16.161"" W",11 S 369786 4140172
20,7/27/21,Horton Creek,11S,369786,4140172,163,,37.39918309,-118.4711559,"-37å¼ -23' -57.059"" S","118å¼ 28' 16.161"" W",11 S 369786 4140172
21,7/28/21,Lower Hot Creek,11S,342942,4174784,346,,37.70684928,-118.7817274,"-37å¼ -42' -24.657"" S","118å¼ 46' 54.219"" W",11 S 342942 4174784
22,7/28/21,Lower Hot Creek,11S,342942,4174784,159,,37.70684928,-118.7817274,"-37å¼ -42' -24.657"" S","118å¼ 46' 54.219"" W",11 S 342942 4174784
23,7/28/21,Lower Hot Creek,11S,342942,4174784,148,,37.70684928,-118.7817274,"-37å¼ -42' -24.657"" S","118å¼ 46' 54.219"" W",11 S 342942 4174784
24,7/28/21,Lower Hot Creek,11S,342942,4174784,210,,37.70684928,-118.7817274,"-37å¼ -42' -24.657"" S","118å¼ 46' 54.219"" W",11 S 342942 4174784
25,7/28/21,Lower Hot Creek,11S,342942,4174784,80,,37.70684928,-118.7817274,"-37å¼ -42' -24.657"" S","118å¼ 46' 54.219"" W",11 S 342942 4174784
26,7/28/21,Lower Hot Creek,11S,342730,4174920,133,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
27,7/28/21,Lower Hot Creek,11S,342730,4174920,151,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
28,7/28/21,Lower Hot Creek,11S,342730,4174920,210,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
29,7/28/21,Lower Hot Creek,11S,342730,4174920,206,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
30,7/28/21,Lower Hot Creek,11S,342730,4174920,196,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
31,7/28/21,Lower Hot Creek,11S,342730,4174920,137,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
32,7/28/21,Lower Hot Creek,11S,342730,4174920,143,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
33,7/28/21,Lower Hot Creek,11S,342730,4174920,165,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
34,7/28/21,Lower Hot Creek,11S,342730,4174920,177,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
35,7/28/21,Lower Hot Creek,11S,342730,4174920,134,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
36,7/28/21,Lower Hot Creek,11S,342730,4174920,155,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
37,7/28/21,Lower Hot Creek,11S,342730,4174920,123,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
38,7/28/21,Lower Hot Creek,11S,342730,4174920,290,,37.70803814,-118.7841607,"-37å¼ -42' -28.937"" S","118å¼ 47' 2.979"" W",11 S 342730 4174920
39,7/28/21,Lower Hot Creek,11S,342524,4175026,181,,37.70895771,-118.7865196,"-37å¼ -42' -32.248"" S","118å¼ 47' 11.471"" W",11 S 342524 4175026
40,7/28/21,Lower Hot Creek,11S,342524,4175026,193,,37.70895771,-118.7865196,"-37å¼ -42' -32.248"" S","118å¼ 47' 11.471"" W",11 S 342524 4175026
41,7/28/21,Lower Hot Creek,11S,342344,417895,248,,3.779607075,-118.4197373,"-3å¼ -46' -46.585"" S","118å¼ 25' 11.054"" W",11 N 342344 417895
42,7/29/21,Lower Horton Creek,11S,365389,4140359,220,,37.40023963,-118.5208515,"-37å¼ -24' -0.863"" S","118å¼ 31' 15.065"" W",11 S 365389 4140359
43,7/29/21,Lower Horton Creek,11S,365389,4140359,169,,37.40023963,-118.5208515,"-37å¼ -24' -0.863"" S","118å¼ 31' 15.065"" W",11 S 365389 4140359
44,7/29/21,Lower Horton Creek,11S,365389,4140359,137,,37.40023963,-118.5208515,"-37å¼ -24' -0.863"" S","118å¼ 31' 15.065"" W",11 S 365389 4140359
