GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
WS_DC01,Deep #1,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC02,Deep #2,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC03,Deep #3,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC04,Deep #4,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC05,Deep #5,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC06,Deep #6,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC07,Deep #7,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.167892 -119.8800002,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC08,Deep #8,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.166394 -119.881956,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC09,Deep #9,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.166394 -119.881956,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC10,Deep #10,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.166394 -119.881956,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC11,Deep #11,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.165699 -119.883437,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC12,Deep #12,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.165699 -119.883437,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC13,Deep #13,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.165699 -119.883437,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC14,Deep #14,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.16599 -119.886449,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_DC15,Deep #15,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Deep Creek, OR",42.16599 -119.886449,7/9/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_TMC01,Twentymile Creek #1,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.71281 -119.964148,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_TMC02,Twentymile Creek #2,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.06324 -119.96069,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WS_TMC03,Twentymile Creek #3,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Twentymile Creek, OR",42.06324 -119.96069,8/5/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
