label,Name,Great Basin,Catostomini,Major Basin,Minor Basin,,
C_WallCanyon_OSX61,C. sp. Wall Canyon,Yes,Yes,Northwest Lakes,Surprise Valley,,
C_ardens_USU_UBL,C. ardens Bear,Yes,Yes,Bonneville,Upper Bear Lake,,
C_ardens_USU_USD,C. ardens Sevier,Yes,Yes,Bonneville,Sevier Delta,"JX488772, JX488840, JX488949 cytb nd2 irbp",
C_ardens_US1243,C. ardens Upper Snake,No,Yes,Other,"Upper Snake, Palisades Reservoir","MH603009, MH603029 cytb nd2",
C_ardens_70154,C. ardens Utah Lake,Yes,Yes,Bonneville,Utah Lake,"MH603008, MH603028 cytb and nd2",
Ch_muriei_LS952,Ch. muriei,No,Yes,Other,"Upper Snake, Palisades Reservoir","MH603021, MH603041 cytb nd2",
Ch_liorus_mictus_BYU56945,Ch. liorus mictus,Yes,Yes,Bonneville,,,
C_macrocheilus-NAFF2190,C. macrocheilus Harney-Malheur,Yes,Yes,Northwest Lakes,Harney-Malheur,"JN024929, COI",
C_macrocheilus_OS15886,C. macrocheilus Columbia,No,Yes,Other,"Columbia, Hood River",,
C_macrocheilus_DNA-Pal1,C. macrocheilus Lower Snake,No,Yes,Other,"Snake, Palouse River","KJ441278 ,KJ441329 cytb and nd2",
C_tsiltcoosensis_OSX113,C. tsiltcoosensis,No,Yes,Other,,,
C_columbianus_OS17548,C. columbianus Harney-Malheur,Yes,Yes,Northwest Lakes,Harney-Malheur,,Note: Checked fishnet2 and OS 17548 was collected from Harney County
C_columbianus_BYU-227313,C. columbianus Lower Snake,No,Yes,Other,Lower Snake,,"KJ441281, KJ441332 cytb nd2"
C_tahoensis_OS112221BB,C. tahoensis,Yes,Yes,Lahontan,,,
C_bernardiniBRK0507_2,C. bernardini,No,Yes,Other,,,
C_leopoldi,C. leopoldi,No,Yes,Other,,,
C_cahita_BRK0511_6,C. cahita,No,Yes,Other,,,
C_wigginsi_JEB0511_1,C. wigginsi,No,Yes,Other,,,
C_insignis_MSB49603_2,C. insignis,No,Yes,Other,,,
X_texanus_OSX97,X. texanus,No,Yes,Other,,,
C_latipinnis_MSB49601,C. latipinnis,No,Yes,Other,,,
C_catostom_1_2,C. catostomus,No,Yes,Other,,,
C_commersoni_UAIC11156_03,C. commersoni,No,Yes,Other,,,
C_platyrhyn_BYU58618,P. virescens UNK,Yes,Yes,Bonneville,,,
P_platyrhyn_BYU-112236,P. platyrhynchus Sevier,Yes,Yes,Bonneville,Sevier,"KJ441255, KJ441306",
P_platyrhyn_BYU-114410,P. platyrhynchus Bear,Yes,Yes,Bonneville,Bear,"KJ441250, KJ441301",
P_platyrhyn_BYU-145159,P. platyrhynchus Upper Snake,No,Yes,Other,"Snake, Black Rock","KJ441252, KJ441303",
P_platyrhyn_BYU-112062,"P. platyrhynchus ""Fremont""",No,Yes,Other,,"KJ441248, KJ441299 cytb and nd2",
P_clarkii_MSB49600,P. clarkii,Yes,Yes,Other,White River,"(MSB49600 Gila River, ca. 700 meters downstream of confluence with Moonhull Canyon and ca. 8.8 road miles south of Riverside on Forest Road 89 at the U.S. Forest Service ""Bird Area,"" Gila National Forest.)",
P_disco_yar_UAIC12776_01_2,P. discobolus jarrovii,No,Yes,Other,,UAIC 12776.01-2,
P_discobolus_BYU57986,P. discobolus,No,Yes,Other,,BYU 57986 ( northern Bonneville and upper Snake River basins now P. virescens),
P_discobolus_DNAEC1,"P. discobolus ""LCR""",No,Yes,Other,,"KJ441257,  KJ441308 Little Colorado River, East Cleak Ck",
P_lahontan_BYU-112324,P. lahontan,Yes,Yes,Lahontan,Walker,"KJ441271, KJ441322, cytb and ND2",
P_bondi_BYU-227389,P. bondi,No,Yes,Other,,"KJ441275, KJ441326, cytb and ND2",
P_jordani_BYU-227335,P. jordani,No,Yes,Other,,"KJ441276, KJ441327 cytb and nd2",
P_virescens_BYU-57477,P. virescens Weber,Yes,Yes,Bonneville,Weber,"KJ441265, KJ441316, cytb and nd2",
P_virescens_BYU-227225,P. virescens Upper Snake,No,Yes,Other,"Snake, Tin Cup Ck","KJ441267,  KJ441318",
P_santa_UAIC12384_01,P. santaanae,No,Yes,Other,,,
C_plebius_DAN0521_10,P. plebius,No,Yes,Other,,,
P_plebius_BRK07-29,"P. plebius ""sth. Mex.""",No,Yes,Other,,"KJ441240, KJ441291 cytb and nd2",
P_nebuliferus,P. nebuliferus,No,Yes,Other,,,
Car_carpio_UAIC11219_08,Car. carpio,No,No,Other,,,
Car_velifer_TU108_16,Car. velifer,No,No,Other,,,
Car_cyprinus_TU157_01,Car. cyprinus,No,No,Other,,,
I_cyprinellus_TU107_15,I. cyprinellus,No,No,Other,,,
I_niger_TU121_01,I. niger,No,No,Other,,,
Cyc_elonga_UAIC11371_01,Cyc. elongatus,No,No,Other,,,
Cyc_merdion_UNL1_30,Cyc. meridionalis,No,No,Other,,,
Myxocyprinus_UAIC11698_01,Myx. asiaticus,No,No,Other,,,
E_oblongus_1_2,E. oblongus,No,No,Other,,,
E_tenuis_UAIC12370_04,E. tenuis,No,No,Other,,,
Min_melano_1,Min. melanops,No,No,Other,,,
M_carinatu_UAIC11005_03,Mox. carinatum,No,No,Other,,,
M_erythrur_UAIC12237_03,Mox. erythrurum,No,No,Other,,,
M_robustum_UAIC11916_01,Mox. robustum,No,No,Other,,,
T_atripinn_UAIC13463_01,T. atripinnis,No,No,Other,,,
T_rhothoeca_UAIC11009_05,T. rhothoeca,No,No,Other,,,
C_microps_OS17571_1,C. microps,No,Yes,Other,,,
C_occ_lac_OS1943BB,C. occ. lacusanserinus,No,Yes,Other,,,
C_occ_mnio_UAIC13448_01_2,C. occ. mniotiltus,No,Yes,Other,,,
C_occ_occ_UAIC11546_02_1,C. occ. occidentalis,No,Yes,Other,,,
C_occ_hum_OS15623_1,C. occ. humboldtianus,No,Yes,Other,,,
C_rimiculus_OS15908,C. rimiculus,No,Yes,Other,,,
D_luxatus_OS15922,D. luxatus,No,Yes,Other,,,
C_snyderi_OS15900,C. snyderi,No,Yes,Other,,,
Ch_brevirostris_OS15963,Ch. brevirostris,No,Yes,Other,,,
C_fumeventris1,C. fumeiventris,Yes,Yes,Death Valley,Owens Valley,,
C_warnerensis_OS14251_2,C. warnerensis,Yes,Yes,Northwest Lakes,Warner Lakes,,
Chasmistes_cujus,Ch. cujus,Yes,Yes,Lahontan,"Pyramid Lake, Winnemuca Lake",,
