Species	Location	Group
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	DeepCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	TwentymileCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WarnerSucker	HoneyCreek	1
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
WallCanyonSucker	WallCanyon	2
OwensSucker	SouthFork	4
OwensSucker	SouthFork	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	LowerRockCreek	4
OwensSucker	HortonCreek	4
OwensSucker	HortonCreek	4
OwensSucker	HortonCreek	4
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHotCreek	3
OwensSucker	LowerHortonCreek	4
OwensSucker	LowerHortonCreek	4
OwensSucker	LowerHortonCreek	4
