INDV,POP,SPECIES,LIB,INDEX,LAT,LONG,CYTB,BODY
DOC_001,DOC,megalops,1,2,29.885438,-100.993321,N,Devils River
DOC_002,DOC,megalops,1,2,29.885438,-100.993321,N,Devils River
DOC_003,DOC,megalops,1,4,29.885438,-100.993321,N,Devils River
DOC_004,DOC,megalops,1,4,29.885438,-100.993321,N,Devils River
DOC_005,DOC,megalops,1,4,29.885438,-100.993321,N,Devils River
DOC_006,DOC,megalops,1,4,29.885438,-100.993321,Y,Devils River
DOC_007,DOC,megalops,1,7,29.885438,-100.993321,N,Devils River
DOC_008,DOC,megalops,1,7,29.885438,-100.993321,Y,Devils River
DOC_009,DOC,megalops,1,7,29.885438,-100.993321,N,Devils River
DOC_010,DOC,megalops,1,7,29.885438,-100.993321,N,Devils River
DOC_011,DOC,amabilis,1,7,29.885438,-100.993321,Y,Devils River
DOC_012,DOC,amabilis,1,10,29.885438,-100.993321,N,Devils River
DOC_013,DOC,megalops,1,10,29.885438,-100.993321,N,Devils River
DOC_014,DOC,megalops,1,10,29.885438,-100.993321,N,Devils River
DOC_015,DOC,megalops,2,2,29.885438,-100.993321,N,Devils River
DOC_016,DOC,megalops,2,2,29.885438,-100.993321,Y,Devils River
DOC_017,DOC,megalops,2,2,29.885438,-100.993321,Y,Devils River
DOC_018,DOC,amabilis,2,4,29.885438,-100.993321,Y,Devils River
DOC_019,DOC,megalops,2,4,29.885438,-100.993321,Y,Devils River
DOC_020,DOC,amabilis,2,4,29.885438,-100.993321,Y,Devils River
DOC_021,DOC,megalops,2,7,29.885438,-100.993321,N,Devils River
DOC_022,DOC,amabilis,2,7,29.885438,-100.993321,Y,Devils River
DOC_023,DOC,megalops,2,7,29.885438,-100.993321,N,Devils River
DOC_024,DOC,megalops,2,7,29.885438,-100.993321,N,Devils River
DOC_025,DOC,megalops,2,10,29.885438,-100.993321,N,Devils River
DOC_027,DOC,megalops,2,10,29.885438,-100.993321,N,Devils River
DRB_001,DRB,amabilis,1,2,29.966411,-101.149364,Y,Devils River
DRB_002,DRB,amabilis,1,2,29.966411,-101.149364,N,Devils River
DRB_003,DRB,amabilis,1,2,29.966411,-101.149364,N,Devils River
DRB_004,DRB,amabilis,1,2,29.966411,-101.149364,N,Devils River
DRB_005,DRB,amabilis,1,2,29.966411,-101.149364,Y,Devils River
DRB_006,DRB,amabilis,1,4,29.966411,-101.149364,Y,Devils River
DRB_007,DRB,megalops,1,4,29.966411,-101.149364,Y,Devils River
DRB_008,DRB,amabilis,1,4,29.966411,-101.149364,N,Devils River
DRB_009,DRB,amabilis,1,4,29.966411,-101.149364,Y,Devils River
DRB_010,DRB,amabilis,1,7,29.966411,-101.149364,N,Devils River
DRB_011,DRB,amabilis,1,7,29.966411,-101.149364,N,Devils River
DRB_012,DRB,amabilis,1,7,29.966411,-101.149364,N,Devils River
DRB_013,DRB,amabilis,1,10,29.966411,-101.149364,Y,Devils River
DRB_014,DRB,amabilis,1,10,29.966411,-101.149364,N,Devils River
DRB_015,DRB,amabilis,2,2,29.966411,-101.149364,N,Devils River
DRB_016,DRB,amabilis,2,2,29.966411,-101.149364,Y,Devils River
DRB_017,DRB,amabilis,2,4,29.966411,-101.149364,Y,Devils River
DRB_018,DRB,amabilis,2,4,29.966411,-101.149364,Y,Devils River
DRB_019,DRB,amabilis,2,7,29.966411,-101.149364,Y,Devils River
DRB_020,DRB,amabilis,2,10,29.966411,-101.149364,Y,Devils River
DRP_001,DRP,megalops,1,2,29.684148,-101.002392,N,Devils River
DRP_002,DRP,megalops,1,2,29.684148,-101.002392,N,Devils River
DRP_003,DRP,megalops,1,2,29.684148,-101.002392,N,Devils River
DRP_004,DRP,megalops,1,4,29.684148,-101.002392,N,Devils River
DRP_005,DRP,megalops,1,4,29.684148,-101.002392,N,Devils River
DRP_006,DRP,megalops,1,4,29.684148,-101.002392,N,Devils River
DRP_007,DRP,megalops,1,7,29.684148,-101.002392,N,Devils River
