"study_code","folder_path","has_data_dir","expected_rdata_exists","n_rdata_files","expected_rdata","loaded_rdata_file","coords_object","fst_object","n_sites","fst_nrow","fst_ncol","fst_symmetric","fst_has_negative","coords_signature","fst_signature","combined_signature","plots_ok","plot_issue","load_issue"
"AGCH-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AGCH-1",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AGCH-1/data/AGCH-1.RData","AGCH-1.RData","AGCH_1_coords","AGCH_1_fst",13,13,13,TRUE,FALSE,"f8928bd2bf836bdc627c865653b57349","b19d90d41960afe5bd7114b1062e5f84","81cc0d8f52ef9d571666f7ad14af395f",TRUE,NA,NA
"AMNA-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMNA-1",TRUE,TRUE,2,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMNA-1/data/AMNA-1.RData","AMNA-1.RData","AMNA_1_coords","AMNA_1_fst",5,5,5,TRUE,FALSE,"193af0c4a24e4148169e822b3cff3c7d","f5fb4ddaf72c748d66b3a4a173be2294","f152e0a8830fb3a9c56d91714d8a61db",TRUE,NA,NA
"AMPE-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMPE-1",TRUE,FALSE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMPE-1/data/AMPE-1.RData","AMPE_1.RData","AMPE_1_coords","AMPE_1_fst",16,16,16,TRUE,FALSE,"ea468fb0474d9d83dd27b5ce107e5825","b8648d60b63564cab77a943323a962ad","f6d0df703e025649a83b770c44981eaa",TRUE,NA,NA
"AMRU-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMRU-1",TRUE,FALSE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/AMRU-1/data/AMRU-1.RData","AMRU_1.RData","AMRU_1_coords","AMRU_1_fst",22,22,22,TRUE,FALSE,"b57b4ace612a2624a6eddd3df0bd58e6","595e1ae9faf8c58a21b0e8b892f7c652","e2fe3fc9ca2aa6960d6203a627a55785",TRUE,NA,NA
"APGR-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/APGR-1",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/APGR-1/data/APGR-1.RData","APGR-1.RData","APGR_1_coords","APGR_1_fst",6,6,6,TRUE,FALSE,"483140ce27d2a76a2069959db743595e","3db7f94161b775bc37f6c1bf73897049","0da95330f67fe251e13cd0bdd9899d00",TRUE,NA,NA
"APGR-2","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/APGR-2",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/APGR-2/data/APGR-2.RData","APGR-2.RData","APGR_2_coords","APGR_2_fst",4,4,4,TRUE,FALSE,"fe2c0ef9fe3627404246b3189008c14e","e817e932fcecd17607993b62a4f4a86a","78ed33075655068bfa4571f64ab581f1",TRUE,NA,NA
"ARIN-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/ARIN-1",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/ARIN-1/data/ARIN-1.RData","ARIN-1.RData","ARIN_1_coords","ARIN_1_fst",15,15,15,TRUE,FALSE,"47bf4d9fda377983117ae44116786a5b","0e0c28d0124ba6afdcd56637af0478ee","55611611f96592feb3486e1db7846475",TRUE,NA,NA
"CAAN-1","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-1",TRUE,FALSE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-1/data/CAAN-1.RData","CAAN_1.RData","CAAN_1_coords","CAAN_1_fst",20,20,20,TRUE,FALSE,"442db2510873f73ec942ff7574d04fc3","803d38c0e5c299e19e8a015ea2414a94","ed6763921cd01079bfdee0b6567d541e",TRUE,NA,NA
"CAAN-2","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-2",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-2/data/CAAN-2.RData","CAAN-2.RData","CAAN_2_coords","CAAN_2_fst",13,13,13,TRUE,FALSE,"07a0c5bc4ccd08b2eb09aed9b0ccd46b","668ee98b44afa4c8bc275e26c1879756","ba9ba8442c17555933c8db2b20c59a81",TRUE,NA,NA
"CAAN-3","/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-3",TRUE,TRUE,1,"/Users/johnmccall/Library/CloudStorage/OneDrive-TheOhioStateUniversity/Spring_2026/Landgen_DGS/DGS-Patterns-of-Fish-Diversity/DGS-Patterns-of-Fish-Diversity/Objective 2/Data/CAAN-3/data/CAAN-3.RData","CAAN-3.RData","CAAN_3_coords","CAAN_3_fst",6,6,6,TRUE,FALSE,"cb0c608078b31b65e2e86605fcc76651","f31fc4abf6a5bc1f3d5b9f7e6e69cc13","122e492824716a9847a6f4a3abbcc1fa",TRUE,NA,NA
