"coords_signature","n","study_code","n_sites"
"483140ce27d2a76a2069959db743595e",6,"APGR-1",6
"483140ce27d2a76a2069959db743595e",6,"DOCE-1",6
"483140ce27d2a76a2069959db743595e",6,"ICPU-3",6
"483140ce27d2a76a2069959db743595e",6,"LEMA-1",6
"483140ce27d2a76a2069959db743595e",6,"NOAT-2",6
"483140ce27d2a76a2069959db743595e",6,"PIVI-1",6
"c1614af52e4ea94730e9c061c6d3ac67",2,"CYGI-1",4
"c1614af52e4ea94730e9c061c6d3ac67",2,"ETTA-1",4
"cb0c608078b31b65e2e86605fcc76651",5,"CAAN-3",6
"cb0c608078b31b65e2e86605fcc76651",5,"CYLU-2",6
"cb0c608078b31b65e2e86605fcc76651",5,"CYVE-1",6
"cb0c608078b31b65e2e86605fcc76651",5,"LECY-1",6
"cb0c608078b31b65e2e86605fcc76651",5,"LEME-3",6
"f56cdfbb66eaba61d920d7a7976edbd4",3,"LEMA-3",12
"f56cdfbb66eaba61d920d7a7976edbd4",3,"LEME-1",12
"f56cdfbb66eaba61d920d7a7976edbd4",3,"PINO-2",12
"fb0845f9807374320e799c768e64c6f3",2,"PEFL-2",8
"fb0845f9807374320e799c768e64c6f3",2,"PEFL-3",8
"fe2c0ef9fe3627404246b3189008c14e",2,"APGR-2",4
"fe2c0ef9fe3627404246b3189008c14e",2,"POAN-1",4
