"Study_ID","Functional_Trait_ID","Common_name","Spp","Family","River_distances?","Marker_type","DOI","Notes","functionalgroup_number","functionalgroup_name"
"ACDE-1",NA,"Gulf Sturgeon","Acipenser oxyrinchus","Acipenseridae","N","SSRs","doi/10.1111/j.1439-0426.2004.00572.x","species name modified to match fishtraits","5","Headwater and spring specialists"
"ACFU-1",NA,"Lake Sturgeon","Acipenser fulvescens","Acipenseridae","N","SSRs","DOI: 10.1577/T05-213.1",NA,"5","Headwater and spring specialists"
"ACOX-1",NA,"Atlantic sturgeon","Acipenser oxyrinchus","Acipenseridae","N","SSRs","https://doi.org/10.3390/d15030325",NA,"5","Headwater and spring specialists"
"AGCH-1",NA,"Longfin dace","Agosia chrysogaster","Leuciscidae","N",NA,"doi: 10.1111/mec.14079",NA,"2","Large-bodied open-water specialists"
"AMNA-1",NA,"Yellow Bullhead","Ameiurus natalis","Ictaluridae","N",NA,"doi: 10.1111/mec.14079",NA,"3","Large river migratory generalists"
"AMNE-1",NA,"Brown Bullhead","Ameiurus nebulosus","Ictaluridae","N","SNPs","DOI: 10.1111/mec.15406",NA,"3","Large river migratory generalists"
"AMPE-1",NA,"Eastern Sand Darter","Ammocrypta pellucida","Leuciscidae","N",NA,"doi: 10.1002/ece3.1392",NA,"5","Headwater and spring specialists"
"AMRU-1",NA,"Nothern Rockbass","Ambloplites rupestris","Centrarchidae","N",NA,"WI Thesis",NA,"3","Large river migratory generalists"
"AMRU-2",NA,"Nothern Rockbass","Ambloplites rupestris","Centrarchidae","N","SNPs","DOI: 10.1111/mec.15406",NA,"3","Large river migratory generalists"
"APGR-1",NA,"Freshwater Drum","Aplodinotus grunniens","Sciaenidae","N",NA,"DOI: 10.1111/mec.16317",NA,"4","Riffle-adapted benthic specialists"
"APGR-2",NA,"Freshwater Drum","Aplodinotus grunniens","Sciaenidae","N",NA,"https://doi.org/10.1093/tafafs/vnaf052",NA,"4","Riffle-adapted benthic specialists"
"ARIN-1",NA,"Sacromento Perch","Archoplites interruptus","Centrarchidae","N",NA,"DOI: 10.1002/tafs.10296",NA,"4","Riffle-adapted benthic specialists"
"CAAN-1",NA,"Central Stoneroller","Campostoma anomalum","Leuciscidae","Y",NA,"Arkansas Thesis",NA,"1","Slow-water generalists"
"CAAN-2",NA,"Central Stoneroller","Campostoma anomalum","Leuciscidae","N","SNPs","DOI: 10.1111/mec.16806",NA,"1","Slow-water generalists"
"CAAN-3",NA,"Central Stoneroller","Campostoma anomalum","Leuciscidae","Y",NA,"https://doi.org/10.1111/j.1095-8312.2012.01973.x",NA,"1","Slow-water generalists"
"CACO-1",NA,"White Sucker","Catostomus commersonii","Catostomidae","N","SNPs","DOI: 10.1111/mec.15406",NA,"5","Headwater and spring specialists"
"CADI-1",NA,"Bluehead Sucker","Catostomus discobolus","Catostomidae","N",NA,"doi: 10.1111/mec.12156",NA,"2","Large-bodied open-water specialists"
"CAFU-1",NA,"Owens Sucker","Catostomus fumeiventris","Catostomidae","N","SNPs","DOI: 10.1002/tafs.10407",NA,"3","Large river migratory generalists"
"CAIN-1",NA,"Sonora sucker","Catostomus insignis","Catostomidae","N",NA,"doi: 10.1111/mec.14079",NA,"5","Headwater and spring specialists"
"CAMI-1",NA,"Modoc Sucker","Catostomus microps","Catostomidae","N",NA,"doi:10.3996/022010-JFWM-003",NA,"3","Large river migratory generalists"
"CAOC-1",NA,"Sacramento Sucker","Moxostoma occidentalis","Catostomidae","N",NA,"doi:10.3996/022010-JFWM-003","Changed genus to match fishtraits","5","Headwater and spring specialists"
"CAOL-1",NA,"Largescale Stoneroller","Campostoma oligolepis","Leuciscidae","N","SNPs","DOI: 10.1111/mec.16806",NA,"2","Large-bodied open-water specialists"
"CAPL-1",NA,"Mountain Sucker","Catostomus platyrhynchus","Catostomidae","N",NA,"http://dx.doi.org/10.1016/j.scitotenv.2016.04.056",NA,"5","Headwater and spring specialists"
"CAPL-2",NA,"Mountain Sucker","Catostomus platyrhynchus","Catostomidae","N",NA,"DOI 10.1007/s10592-016-0820-y","""Pantosteus jordani"" reclassified as ""Catostomus platyrhynchus""","5","Headwater and spring specialists"
"CARI-1",NA,"Klamath Smallscale Sucker","Catostomus rimiculus","Catostomidae","N",NA,"https://doi.org/10.1007/s10592-024-01651-5",NA,"5","Headwater and spring specialists"
"CASA-1",NA,"Santa Ana Sucker","Catostomus santaanae","Catostomidae","N",NA,"DOI: 10.1111/mec.14445",NA,"2","Large-bodied open-water specialists"
"CATA-1",NA,"Tahoe sucker","Catostomus tahoensis","Catostomidae","N",NA,"http://dx.doi.org/10.1016/j.scitotenv.2016.04.056",NA,"4","Riffle-adapted benthic specialists"
"CAWA-1",NA,"Warner Sucker","Catostomus warnerensis","Catostomidae","N","SNPs","DOI: 10.1002/tafs.10407",NA,"3","Large river migratory generalists"
"CAWA-2",NA,"Warner Sucker","Catostomus warnerensis","Catostomidae","N","SSRs","DOI: 10.1111/eff.12305",NA,"3","Large river migratory generalists"
"CHER-1",NA,"Southern Redbelly Dace","Phoxinus erythrogaster","Leuciscidae","N","SNPs","DOI: 10.1111/mec.16806","Using previously recognized genus to match fishtraits","3","Large river migratory generalists"
"CHSA-1",NA,"Clinch Dace","Chrosomus saylori","Leuciscidae","N",NA,"https://doi.org/10.3390/fishes8070365",NA,"3","Large river migratory generalists"
"COAS-1",NA,"Prickly Sculpin","Cottus asper","Cottidae","N",NA,"doi:10.1093/jhered/esw045",NA,"3","Large river migratory generalists"
"COAS-2",NA,"Prickly Sculpin","Cottus asper","Cottidae","N",NA,"https://doi.org/10.11646/zootaxa.5154.5.1",NA,"3","Large river migratory generalists"
"COBA-1",NA,"Mottled Sculpin","Cottus bairdii","Cottidae","N",NA,"doi: 10.1111/j.1600-0633.2011.00525.x",NA,"1","Slow-water generalists"
"COBA-2",NA,"Mottled Sculpin","Cottus bairdii","Cottidae","N",NA,"doi:10.1111/jfb.13101",NA,"1","Slow-water generalists"
"COBA-3",NA,"Mottled Sculpin","Cottus bairdii","Cottidae","N",NA,"DOI 10.1007/s10592-007-9401-4",NA,"1","Slow-water generalists"
"COBA-4",NA,"Mottled Sculpin","Cottus bairdii","Cottidae","N","SSRs","DOI 10.1007/s10592-017-0938-6",NA,"1","Slow-water generalists"
"COCA-1",NA,"Banded Sculpin","Cottus carolinae","Cottidae","N","SNPs","DOI: 10.1111/mec.16806",NA,"2","Large-bodied open-water specialists"
"COGR-1",NA,"Shoshone sculpin","Cottus greenei","Cottidae","N",NA,"https://doi.org/10.3390/fishes8010055",NA,"2","Large-bodied open-water specialists"
"COGU-1",NA,"Riffle Sculpin","Cottus gulosus","Cottidae","N",NA,"https://doi.org/10.11646/zootaxa.5154.5.1",NA,"2","Large-bodied open-water specialists"
"COHY-1",NA,"Ozark Sculpin","Cottus hypselurus","Cottidae","N","SNPs","DOI: 10.1111/mec.16806",NA,"1","Slow-water generalists"
"CYEL-1",NA,"Blue Sucker","Cycleptus elongatus","Catostomidae","N",NA,"DOI 10.1007/s10592-007-9401-4",NA,"1","Slow-water generalists"
"CYGA-1",NA,"Whitetail Shiner","Cyprinella galactura","Leuciscidae","N","SNPs","DOI: 10.1111/mec.16806",NA,"5","Headwater and spring specialists"
