Species,in_fishtraits,status
Agosia chrysogaster,TRUE,matched
Ambloplites rupestris,TRUE,matched
Ameiurus natalis,TRUE,matched
Ammocrypta pellucida,TRUE,matched
Aplodinotus grunniens,TRUE,matched
Archoplites interruptus,TRUE,matched
Campostoma anomalum,TRUE,matched
Catostomus insignis,TRUE,matched
Catostomus microps,TRUE,matched
Moxostoma occidentalis,TRUE,matched
Catostomus rimiculus,TRUE,matched
Catostomus santaanae,TRUE,matched
Salvelinus confluentus,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Cottus asper,TRUE,matched
Cottus bairdii,TRUE,matched
Cottus greenei,TRUE,matched
Cyprinella gibbsi,TRUE,matched
Cyprinella lutrensis,TRUE,matched
Cyprinodon diabolis,TRUE,matched
Dorosoma cepedianum,TRUE,matched
Etheostoma akatulo,TRUE,matched
Etheostoma boschungi,TRUE,matched
Etheostoma caeruleum,TRUE,matched
Etheostoma oophylax,TRUE,matched
Etheostoma chienense,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Etheostoma fonticola,TRUE,matched
Etheostoma lemniscatum,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Etheostoma nigrum,TRUE,matched
Etheostoma nuchale,TRUE,matched
Etheostoma olmstedi,TRUE,matched
Etheostoma raneyi,TRUE,matched
Etheostoma sagitta,TRUE,matched
Etheostoma swaini,TRUE,matched
Etheostoma tecumsehi,TRUE,matched
Etheostoma tuscumbia,TRUE,matched
Fundulus grandis,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Fundulus notatus,TRUE,matched
Fundulus olivaceus,TRUE,matched
Gasterosteus aculeatus,TRUE,matched
Gila nigra,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Gila orcuttii,TRUE,matched
Gila robusta,TRUE,matched
Hybognathus placitus,TRUE,matched
Ictalurus punctatus,TRUE,matched
Ictiobus bubalus,TRUE,matched
Lampetra richardsoni,TRUE,matched
Lepisosteus oculatus,TRUE,matched
Lepomis auritus,TRUE,matched
Lepomis macrochirus,TRUE,matched
Lota lota,TRUE,matched
Macrhybopsis aestivalis,TRUE,matched
Macrhybopsis tetranema,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Meda fulgida,TRUE,matched
Micropterus cataractae,TRUE,matched
Micropterus dolomieu,TRUE,matched
Moxostoma duquesnei,TRUE,matched
Etheostoma rubrum,TRUE,matched
Notropis atherinoides,TRUE,matched
Notropis girardi,TRUE,matched
Notropis jemezanus,TRUE,matched
Novumbra hubbsi,TRUE,matched
Oncorhynchus clarkii,TRUE,matched
Oncorhynchus mykiss,TRUE,matched
Pantosteus clarkii,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Pantosteus discobolus,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
Perca flavescens,TRUE,matched
Pimephales vigilax,TRUE,matched
Polyodon spathula,TRUE,matched
Rhinichthys cataractae,TRUE,matched
Rhinichthys osculus,TRUE,matched
Salvelinus confluentus,TRUE,matched
Salvelinus fontinalis,TRUE,matched
Sander vitreus,TRUE,matched
Semotilus atromaculatus,TRUE,matched
Gila bicolor,TRUE,matched
Tiaroga cobitis,FALSE,NOT MATCHED -- manually assigned (see Section 6b)
