"Species","Functional_Group","MAXTL","LONGEVITY","MATUAGE","FECUNDITY","SLOWCURR","MODCURR","FASTCURR","LARGERIV","SMALLRIV","SPRGSUBT","CREEK","SURWCOL","BENTHIC","FINESED","COARSESED","DEBRIS"
"Campostoma anomalum","1",22,5,2.5,4800,0,1,1,1,1,0,1,0,1,0,1,0
"Cottus bairdii","1",15,6,2,176,0,0,1,0,1,0,1,1,1,0,1,1
"Cottus hypselurus","1",14,6,2,176,0,0,1,1,1,0,0,0,1,0,1,1
"Cycleptus elongatus","1",93,11.5,6,149520,0,1,1,1,0,0,0,0,1,0,1,0
"Cyprinella whipplei","1",16,4,2,7474,0,1,1,1,1,0,0,1,1,1,1,0
"Etheostoma blennioides","1",17,5,1.5,2000,0,1,1,1,1,0,1,0,1,0,1,1
"Etheostoma cyanoprosopum","1",4.9,5,2,2700,0,1,1,0,1,0,0,0,1,0,1,0
"Etheostoma flabellare","1",8.4,4,1,467,0,0,1,1,1,0,1,0,1,0,1,0
"Etheostoma juliae","1",7.8,3,1,1000,0,0,1,1,1,0,0,0,1,0,1,0
"Etheostoma osburni","1",10,3,2,1000,0,1,1,1,1,0,1,0,1,0,1,0
"Gila cypha","1",38,30,4,10000,0,1,1,1,0,0,0,1,1,0,1,0
"Luxilus pilsbryi","1",13,4,2,1500,0,1,1,1,1,0,1,1,1,1,1,0
"Luxilus zonatus","1",13,3,2,1500,0,1,1,1,1,0,1,1,0,1,1,0
"Macrhybopsis aestivalis","1",7.6,1.5,1,796,0,1,1,1,1,0,0,0,1,1,1,0
"Micropterus cataractae","1",50,8,3,23800,0,1,1,1,0,0,0,1,1,1,1,1
"Micropterus dolomieu","1",69,15,3.5,27000,0,1,0,1,1,0,1,1,1,0,1,0
"Notropis percobromus","1",6,5,2,2700,0,0,1,0,1,0,0,1,0,0,1,0
"Oncorhynchus clarkii","1",99,5,3,2700,1,1,1,1,1,0,1,1,1,0,1,0
"Oncorhynchus mykiss","1",120,7,4,27000,0,1,1,1,1,0,1,1,1,0,1,0
"Rhinichthys cataractae","1",22.5,5,2.5,10000,0,0,1,1,1,0,1,0,1,0,1,0
"Rhinichthys klamathensis","1",15,5,2,2700,0,1,1,1,1,0,0,1,0,0,1,0
"Agosia chrysogaster","2",10,3,1,2500,0,1,0,0,1,0,1,0,1,1,1,0
"Campostoma oligolepis","2",22,5,2,1510,0,1,1,0,1,0,0,0,1,1,1,0
"Catostomus discobolus","2",40,7,2,8500,0,1,1,1,1,0,1,0,1,1,1,1
"Catostomus santaanae","2",25,3.5,1.5,16151,1,1,1,0,1,0,1,0,1,1,1,0
"Cottus carolinae","2",18,5,2,475,0,1,1,1,1,1,1,0,1,1,1,1
"Cottus greenei","2",9,5,2,500,0,0,1,0,1,0,1,0,1,0,1,0
"Cottus gulosus","2",11,6,2,499,1,1,0,0,1,0,1,0,1,1,1,0
"Cyprinella gibbsi","2",9.5,5,2,2700,0,1,0,0,1,0,0,0,0,1,1,0
"Cyprinella lutrensis","2",9,3,1.5,1200,1,1,1,1,1,0,1,0,1,1,1,0
"Etheostoma caeruleum","2",7.7,4,1,1462,0,1,1,1,1,0,1,0,1,1,1,0
"Etheostoma radiosum","2",8.5,4,1,2700,0,1,1,0,1,0,1,0,0,0,1,0
"Etheostoma rubrum","2",5.7,3,1,80,0,0,1,0,1,0,1,0,1,1,1,1
"Etheostoma spilotum","2",12,5,1,2700,1,1,0,0,1,0,1,0,1,0,1,0
"Etheostoma squamiceps","2",8.8,3,1,350,0,1,0,0,1,0,1,0,1,0,1,0
"Etheostoma swaini","2",7.8,3,1,90,0,1,0,0,1,0,1,0,1,1,1,1
"Etheostoma tecumsehi","2",6.4,5,1,2700,0,1,1,0,1,0,1,0,0,0,1,0
"Etheostoma variatum","2",11,3,2,1000,0,0,1,1,1,0,1,0,1,1,1,0
"Etheostoma zonale","2",7.8,4.5,1.5,300,0,1,1,1,1,0,1,0,1,1,1,1
"Lampetra richardsoni","2",15,7,6,3700,1,1,0,0,1,0,1,0,0,1,1,0
"Notropis girardi","2",5.7,3,2,3246,0,1,0,0,1,0,0,0,0,1,0,0
"Notropis nubilus","2",7.7,4,2,1021,0,1,0,0,1,0,1,0,1,0,1,0
"Noturus taylori","2",7,2,1,48,1,1,1,0,0,0,1,0,1,0,1,0
"Rhinichthys cobitis","2",6,2.5,1,1200,0,1,1,0,1,0,1,0,1,0,1,1
"Snyderichthys copei","2",15.2,8,2,2700,0,1,1,0,1,0,1,0,0,0,1,0
"Ambloplites rupestris","3",43,8,3,11000,1,0,0,1,1,0,1,1,1,1,1,1
"Ameiurus natalis","3",47,7,2.5,7000,1,0,0,1,1,0,1,1,1,1,1,1
"Ameiurus nebulosus","3",55,11,2.5,13000,1,0,0,1,1,0,1,0,1,1,1,1
"Catostomus fumeiventris","3",50,5,2,2700,1,1,0,0,1,0,1,0,1,1,1,1
"Catostomus microps","3",28,5,3,12590,1,0,0,0,1,0,1,0,1,1,1,0
"Catostomus warnerensis","3",35,9,3.5,15000,1,0,0,0,0,1,1,0,1,1,1,0
"Chrosomus saylori","3",4.6,5,2,2700,1,1,0,0,0,0,1,1,1,0,1,1
"Cottus asper","3",30,5,2,10980,1,0,0,0,1,0,1,0,1,0,0,0
"Cyprinodon nevadensis","3",6.5,1.5,0.5,1500,1,0,0,0,1,1,1,1,1,1,0,1
"Etheostoma boschungi","3",7.8,3,2,300,1,0,0,0,1,1,1,0,1,1,1,1
"Etheostoma fonticola","3",3.5,1.5,0.8,30,1,0,0,0,1,1,1,1,1,1,1,1
"Etheostoma nigrum","3",7.2,4,1,600,1,0,0,1,1,0,1,0,1,1,1,1
"Etheostoma nuchale","3",4.5,2,1,100,1,0,0,0,0,1,0,1,1,1,1,1
"Etheostoma olmstedi","3",11,3,1,1435,1,0,0,1,1,0,1,0,1,1,1,1
"Etheostoma oophylax","3",7.4,3,1.5,300,1,0,0,0,0,0,1,0,1,1,0,1
"Etheostoma pallididorsum","3",5.5,2,1,2700,1,0,0,0,0,1,1,1,1,1,1,1
"Etheostoma raneyi","3",5.3,2.8,0.8,52,1,0,0,0,0,0,1,0,0,1,0,0
"Etheostoma trisella","3",4.9,2.5,1,300,1,1,0,0,1,1,1,1,1,0,0,1
"Etheostoma tuscumbia","3",5.2,2.5,1,100,1,0,0,0,0,1,0,0,1,1,1,1
"Etheostoma zonistium","3",7.5,5,1,128,1,0,0,0,1,0,1,0,0,1,1,0
"Fundulus grandis","3",16.3,2,0.25,2700,1,0,0,1,1,0,1,1,0,1,0,1
"Fundulus julisia","3",9.4,3,1,300,1,0,0,0,0,1,1,1,1,1,0,1
"Fundulus notatus","3",8,3,1,170,1,0,0,0,1,0,1,1,1,1,1,1
"Fundulus olivaceus","3",9.7,3,1,239,1,0,0,0,1,0,1,1,0,1,1,1
"Gambusia affinis","3",4,1,0.3,315,1,0,0,0,1,0,1,1,1,1,1,1
"Gasterosteus aculeatus","3",11,2.5,1,250,1,0,0,0,1,0,1,1,1,1,1,1
"Gila pandora","3",18,5,1.5,6322,1,0,0,0,1,0,1,1,1,1,1,1
"Labidesthes sicculus","3",13,2,1,785,1,0,0,1,1,0,1,1,0,1,1,1
"Lepomis auritus","3",30.5,6,2,10000,1,0,0,1,1,0,1,1,1,1,1,1
"Lepomis cyanellus","3",31,8,2,10000,1,0,0,1,1,0,1,1,1,1,1,1
"Lepomis megalotis","3",24,7,2,22119,1,0,0,1,1,0,1,1,1,1,1,1
"Luxilus chrysocephalus","3",18,6,2,1150,1,0,0,1,1,0,1,1,1,1,1,0
"Notropis boops","3",9,3,1.5,800,1,1,1,0,1,0,1,1,0,1,1,1
"Oregonichthys crameri","3",9,2,1,300,1,1,0,0,1,0,0,1,1,1,1,1
"Perca flavescens","3",50,12,4,1e+05,1,0,0,1,1,0,1,1,1,1,1,1
