"study_code","fst","lon1","lat1","lon2","lat2","site_id1","site_id2","distance_km"
"ONCL-4",0.07,-106.22,36.82,-106.25,36.79,2,1,4.27817222536821
"ONCL-4",0.1,-105.28,36.87,-106.25,36.79,3,1,86.8862295742424
"ONCL-4",0.11,-105.28,36.87,-106.25,36.79,4,1,86.8862295742424
"ONCL-4",0.11,-105.59,36.78,-106.25,36.79,5,1,58.8523577250448
"ONCL-4",0.16,-105.46,36.94,-106.25,36.79,6,1,72.3124696312919
"ONCL-4",0.37,-105.34,36.74,-106.25,36.79,7,1,81.3420725964348
"ONCL-4",0.31,-105.52,36.66,-106.25,36.79,8,1,66.721782442677
"ONCL-4",0.41,-105.61,36.61,-106.25,36.79,9,1,60.534411384541
"ONCL-4",0.26,-105.48,36.58,-106.25,36.79,10,1,72.6045373573054
"ONCL-4",0.26,-105.48,36.58,-106.25,36.79,11,1,72.6045373573054
"ONCL-4",0.33,-105.52,36.57,-106.25,36.79,12,1,69.6211652580464
"ONCL-4",0.34,-105.52,36.57,-106.25,36.79,13,1,69.6211652580464
"ONCL-4",0.34,-105.41,36.27,-106.25,36.79,14,1,94.8494457429155
"ONCL-4",0.44,-105.45,36.26,-106.25,36.79,15,1,92.748690452689
"ONCL-4",0.38,-105.45,36.26,-106.25,36.79,16,1,92.748690452689
"ONCL-4",0.47,-105.48,36.24,-106.25,36.79,17,1,92.1645603927315
"ONCL-4",0.32,-105.47,36.06,-106.25,36.79,18,1,107.166886046935
"ONCL-4",0.39,-105.61,36.08,-106.25,36.79,19,1,97.6324629624995
"ONCL-4",0.53,-105.61,36.16,-106.25,36.79,20,1,90.5555558730626
"ONCL-4",0.35,-105.46,36.14,-106.25,36.79,21,1,101.180502830143
"ONCL-4",0.36,-105.4,36.19,-106.25,36.79,22,1,101.231937407958
"ONCL-4",0.35,-105.57,36.03,-106.25,36.79,23,1,104.2534106868
"ONCL-4",0.28,-106.27,36.54,-106.25,36.79,24,1,27.8871145809851
"ONCL-4",0.53,-106.47,36.13,-106.25,36.79,25,1,76.0652503222192
"ONCL-4",0.66,-106.44,36.06,-106.25,36.79,26,1,83.0261062704513
"ONCL-4",0.56,-105.76,35.68,-106.25,36.79,27,1,131.16330120938
"ONCL-4",0.45,-105.73,35.69,-106.25,36.79,28,1,131.049373450311
"ONCL-4",0.63,-105.51,35.92,-106.25,36.79,29,1,117.390927149351
"ONCL-4",0.53,-105.53,35.9,-106.25,36.79,30,1,118.250616952665
"ONCL-4",0.4,-105.59,35.59,-106.25,36.79,31,1,146.151109140559
"ONCL-4",0.37,-105.52,35.96,-106.25,36.79,32,1,113.215040787864
"ONCL-4",0.36,-105.13,36.97,-106.25,36.79,33,1,101.721450762921
"ONCL-4",0.36,-105.13,36.97,-106.25,36.79,34,1,101.721450762921
"ONCL-4",0.32,-105.13,36.97,-106.25,36.79,35,1,101.721450762921
"ONCL-4",0.49,-105.13,36.79,-106.25,36.79,36,1,99.8459127836862
"ONCL-4",0.53,-105.36,36.22,-106.25,36.79,37,1,101.823136207973
"ONCL-4",0.48,-105.35,36.22,-106.25,36.79,38,1,102.524448703775
"ONCL-4",0.49,-105.41,35.93,-106.25,36.79,39,1,121.800556931877
"ONCL-4",0.13,-105.28,36.87,-106.22,36.82,3,2,83.9239626293073
"ONCL-4",0.13,-105.28,36.87,-106.22,36.82,4,2,83.9239626293073
"ONCL-4",0.12,-105.59,36.78,-106.22,36.82,5,2,56.3324706976679
"ONCL-4",0.15,-105.46,36.94,-106.22,36.82,6,2,68.9789238875846
"ONCL-4",0.35,-105.34,36.74,-106.22,36.82,7,2,78.9645407730992
"ONCL-4",0.28,-105.52,36.66,-106.22,36.82,8,2,64.9350366388236
"ONCL-4",0.39,-105.61,36.61,-106.22,36.82,9,2,59.241157767796
"ONCL-4",0.21,-105.48,36.58,-106.22,36.82,10,2,71.2460703654774
"ONCL-4",0.24,-105.48,36.58,-106.22,36.82,11,2,71.2460703654774
"ONCL-4",0.32,-105.52,36.57,-106.22,36.82,12,2,68.3987295900542
"ONCL-4",0.34,-105.52,36.57,-106.22,36.82,13,2,68.3987295900542
"ONCL-4",0.28,-105.41,36.27,-106.22,36.82,14,2,94.8477680787296
"ONCL-4",0.38,-105.45,36.26,-106.22,36.82,15,2,92.8912668769141
"ONCL-4",0.32,-105.45,36.26,-106.22,36.82,16,2,92.8912668769141
"ONCL-4",0.41,-105.48,36.24,-106.22,36.82,17,2,92.4667296428198
