"study_code","fst","lon1","lat1","lon2","lat2","site_id1","site_id2","distance_km"
"SAFO-9",0.421566891181745,-82.21049,36.17373,-82.10446,36.19179,2,1,9.73663357139525
"SAFO-9",0.294643988031628,-82.09356,36.12929,-82.10446,36.19179,3,1,7.02609899438644
"SAFO-9",0.188482271468741,-82.04641,36.13995,-82.10446,36.19179,4,1,7.77936316488877
"SAFO-9",0.31355518479929,-81.97623,36.4715,-82.10446,36.19179,5,1,33.1928103343487
"SAFO-9",0.392603061527016,-81.65772,36.61068,-82.10446,36.19179,6,1,61.453954720195
"SAFO-9",0.641618180323526,-83.02765,35.80358,-82.10446,36.19179,7,1,93.7039328258763
"SAFO-9",0.355897854323108,-82.1020676,36.1481741,-82.10446,36.19179,8,1,4.86005738378964
"SAFO-9",0.61230404777214,-84.13839,35.27136,-82.10446,36.19179,9,1,210.419322091629
"SAFO-9",0.330434556501435,-84.13883,35.27077,-82.10446,36.19179,10,1,210.486621629163
"SAFO-9",0.517648640641937,-81.75301,36.47009,-82.10446,36.19179,11,1,44.1944837976331
"SAFO-9",0.426564595869124,-82.03939,36.22432,-82.10446,36.19179,12,1,6.87556123178968
"SAFO-9",0.379401430124054,-81.97535,36.47862,-82.10446,36.19179,13,1,33.9640715022857
"SAFO-9",0.453570883533645,-81.97776,36.46861,-82.10446,36.19179,14,1,32.8435629954077
"SAFO-9",0.442769758153285,-81.97548,36.48027,-82.10446,36.19179,15,1,34.1328108847148
"SAFO-9",0.554547429890054,-82.07703,36.43865,-82.10446,36.19179,16,1,27.590254339288
"SAFO-9",0.577777764492429,-81.68075,36.61062,-82.10446,36.19179,17,1,60.125176212563
"SAFO-9",0.599748392037583,-81.6842,36.60794,-82.10446,36.19179,18,1,59.6990872863415
"SAFO-9",0.396907373805509,-84.06616,35.35711,-82.10446,36.19179,19,1,200.053357793547
"SAFO-9",0.523512948693162,-84.08841,35.31263,-82.10446,36.19179,20,1,204.20538670562
"SAFO-9",0.477195233109689,-82.25484,36.15739,-82.10446,36.19179,21,1,14.0451958978085
"SAFO-9",0.347768818677266,-84.15451,35.28567,-82.10446,36.19179,22,1,210.911826082274
"SAFO-9",0.512158364943302,-84.06326,35.33046,-82.10446,36.19179,23,1,201.24392177108
"SAFO-9",0.520585754601283,-84.06039,35.31993,-82.10446,36.19179,24,1,201.587958544027
"SAFO-9",0.506530819049599,-84.06977,35.26967,-82.10446,36.19179,25,1,205.12165229042
"SAFO-9",0.236602956103938,-82.11887,36.14285,-82.10446,36.19179,26,1,5.5997729014724
"SAFO-9",0.371184713286232,-82.11659,36.13248,-82.10446,36.19179,27,1,6.69175717022982
"SAFO-9",0.253636195411509,-82.11473,36.1352,-82.10446,36.19179,28,1,6.36682725259719
"SAFO-9",0.514803819534277,-82.33594,36.13409,-82.10446,36.19179,29,1,21.7727753694653
"SAFO-9",0.563864678965259,-81.90506,36.55461,-82.10446,36.19179,30,1,44.1666010029652
"SAFO-9",0.295182077404555,-82.09474,36.12972,-82.10446,36.19179,31,1,6.96460629653722
"SAFO-9",0.351768998574255,-82.05173,36.22549,-82.10446,36.19179,32,1,6.04197159370439
"SAFO-9",0.244075333139435,-82.17293,36.16176,-82.10446,36.19179,33,1,7.00203891504769
"SAFO-9",0.487626054028995,-81.90466,36.56265,-82.10446,36.19179,34,1,45.0004014590591
"SAFO-9",0.521594263066149,-81.96416,36.54832,-82.10446,36.19179,35,1,41.6334558339642
"SAFO-9",0.362227431798349,-82.09393,36.12262,-82.10446,36.19179,36,1,7.75791575132885
"SAFO-9",0.271814809197375,-82.17514,36.16359,-82.10446,36.19179,37,1,7.08449848796316
"SAFO-9",0.266751826344142,-82.17506,36.16372,-82.10446,36.19179,38,1,7.07164382771699
"SAFO-9",0.37368746023487,-82.08698,36.2477,-82.10446,36.19179,39,1,6.41879950873125
"SAFO-9",0.437810408144794,-82.26069,36.14808,-82.10446,36.19179,40,1,14.8588650050791
"SAFO-9",0.356524629172767,-82.18287,36.17002,-82.10446,36.19179,41,1,7.45047130320774
"SAFO-9",0.356828668649361,-82.08323,36.24119,-82.10446,36.19179,42,1,5.82035290948374
"SAFO-9",0.305788656783241,-82.14892,36.16695,-82.10446,36.19179,43,1,4.85855148052791
"SAFO-9",0.381082000680504,-82.06922,36.23098,-82.10446,36.19179,44,1,5.38986369116816
"SAFO-9",0.40920951245003,-82.087,36.2492,-82.10446,36.19179,45,1,6.5804027940229
"SAFO-9",0.413269656192012,-81.87634,36.56077,-82.10446,36.19179,46,1,45.881999568291
"SAFO-9",0.284558051042482,-82.14414,36.17496,-82.10446,36.19179,47,1,4.02751480780679
"SAFO-9",0.413918898528727,-82.07484,36.2397,-82.10446,36.19179,48,1,5.95996241425414
"SAFO-9",0.404402578594857,-82.03356,36.23038,-82.10446,36.19179,49,1,7.68156398166686
"SAFO-9",0.42988321961487,-82.07496,36.23644,-82.10446,36.19179,50,1,5.63249315388486
"SAFO-9",0.365749987594685,-81.72522,36.54138,-82.10446,36.19179,51,1,51.6729555039606
"SAFO-9",0.424751789849009,-83.56931,35.71136,-82.10446,36.19179,52,1,142.424774159617
"SAFO-9",0.524137893304009,-81.99947,36.47321,-82.10446,36.19179,53,1,32.7117980412059
"SAFO-9",0.53872613272999,-82.53579,36.09033,-82.10446,36.19179,54,1,40.3870870927862
"SAFO-9",0.192090680016183,-82.38883,36.22825,-82.10446,36.19179,55,1,25.8622570788684
"SAFO-9",0.356792706850409,-81.98374,36.46864,-82.10446,36.19179,56,1,32.6650549889228
"SAFO-9",0.484228282317796,-82.00246,36.46886,-82.10446,36.19179,57,1,32.1711603780975
"SAFO-9",0.368843804065727,-82.59643,36.06788,-82.10446,36.19179,58,1,46.3341642298346
"SAFO-9",0.368198686024614,-81.72401,36.54296,-82.10446,36.19179,59,1,51.8765563943582
"SAFO-9",0.456151611028343,-82.53488,36.08992,-82.10446,36.19179,60,1,40.3214600587805
"SAFO-9",0.418004746431712,-81.71547,36.55017,-82.10446,36.19179,61,1,52.9835557320472
"SAFO-9",0.520094228670521,-82.00146,36.24522,-82.10446,36.19179,62,1,10.9975080362221
"SAFO-9",0.55877531305955,-81.99355,36.25685,-82.10446,36.19179,63,1,12.314807503973
"SAFO-9",0.383507229043889,-82.15692,36.38934,-82.10446,36.19179,64,1,22.48927694566
"SAFO-9",0.484281411640856,-82.11581,36.39837,-82.10446,36.19179,65,1,23.0189164821564
